‾	nadčrtano
👩🏻‍🦼	invalid, svetel ten kože, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku: svetel ten kože
👩🏼‍🦼	invalid, srednje svetel ten kože, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku: srednje svetel ten kože
👩🏽‍🦼	invalid, srednji ten kože, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku: srednji ten kože
👩🏾‍🦼	invalid, srednje temen ten kože, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku: srednje temen ten kože
👩🏿‍🦼	invalid, temen ten kože, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku: temen ten kože
👩‍🦼‍➡	invalid, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku, obrnjen v desno
👩🏻‍🦼‍➡	invalid, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku, obrnjen v desno
👩🏼‍🦼‍➡	invalid, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku, obrnjen v desno
👩🏽‍🦼‍➡	invalid, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku, obrnjen v desno
👩🏾‍🦼‍➡	invalid, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku, obrnjen v desno
👩🏿‍🦼‍➡	invalid, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku, obrnjen v desno
🧑‍🦽	invalid, oseba na ročnem invalidskem vozičku, voziček
🧑🏻‍🦽	invalid, oseba na ročnem invalidskem vozičku, oseba na ročnem invalidskem vozičku: svetel ten kože, svetel ten kože, voziček
🧑🏼‍🦽	invalid, oseba na ročnem invalidskem vozičku, oseba na ročnem invalidskem vozičku: srednje svetel ten kože, srednje svetel ten kože, voziček
🧑🏽‍🦽	invalid, oseba na ročnem invalidskem vozičku, oseba na ročnem invalidskem vozičku: srednji ten kože, srednji ten kože, voziček
🧑🏾‍🦽	invalid, oseba na ročnem invalidskem vozičku, oseba na ročnem invalidskem vozičku: srednje temen ten kože, srednje temen ten kože, voziček
🧑🏿‍🦽	invalid, oseba na ročnem invalidskem vozičku, oseba na ročnem invalidskem vozičku: temen ten kože, temen ten kože, voziček
🧑‍🦽‍➡	invalid, oseba na ročnem invalidskem vozičku, oseba na ročnem invalidskem vozičku, obrnjen v desno, voziček
🧑🏻‍🦽‍➡	invalid, oseba na ročnem invalidskem vozičku, oseba na ročnem invalidskem vozičku, obrnjen v desno, voziček
🧑🏼‍🦽‍➡	invalid, oseba na ročnem invalidskem vozičku, oseba na ročnem invalidskem vozičku, obrnjen v desno, voziček
🧑🏽‍🦽‍➡	invalid, oseba na ročnem invalidskem vozičku, oseba na ročnem invalidskem vozičku, obrnjen v desno, voziček
🧑🏾‍🦽‍➡	invalid, oseba na ročnem invalidskem vozičku, oseba na ročnem invalidskem vozičku, obrnjen v desno, voziček
🧑🏿‍🦽‍➡	invalid, oseba na ročnem invalidskem vozičku, oseba na ročnem invalidskem vozičku, obrnjen v desno, voziček
👨‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, voziček
👨🏻‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku: svetel ten kože, svetel ten kože, voziček
👨🏼‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku: srednje svetel ten kože, srednje svetel ten kože, voziček
👨🏽‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku: srednji ten kože, srednji ten kože, voziček
👨🏾‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku: srednje temen ten kože, srednje temen ten kože, voziček
👨🏿‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku: temen ten kože, temen ten kože, voziček
👨‍🦽‍➡	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku, obrnjen v desno, voziček
👨🏻‍🦽‍➡	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku, obrnjen v desno, voziček
👨🏼‍🦽‍➡	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku, obrnjen v desno, voziček
👨🏽‍🦽‍➡	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku, obrnjen v desno, voziček
👨🏾‍🦽‍➡	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku, obrnjen v desno, voziček
👨🏿‍🦽‍➡	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku, obrnjen v desno, voziček
👩‍🦽	invalid, voziček, ženska, ženska na ročnem invalidskem vozičku
👩🏻‍🦽	invalid, svetel ten kože, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku: svetel ten kože
👩🏼‍🦽	invalid, srednje svetel ten kože, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku: srednje svetel ten kože
👩🏽‍🦽	invalid, srednji ten kože, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku: srednji ten kože
👩🏾‍🦽	invalid, srednje temen ten kože, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku: srednje temen ten kože
👩🏿‍🦽	invalid, temen ten kože, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku: temen ten kože
👩‍🦽‍➡	invalid, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku, obrnjen v desno
👩🏻‍🦽‍➡	invalid, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku, obrnjen v desno
👩🏼‍🦽‍➡	invalid, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku, obrnjen v desno
👩🏽‍🦽‍➡	invalid, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku, obrnjen v desno
👩🏾‍🦽‍➡	invalid, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku, obrnjen v desno
👩🏿‍🦽‍➡	invalid, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku, obrnjen v desno
🏃	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, tek, tekač
🏃🏻	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, svetel ten kože, tek, tekač, tekač: svetel ten kože
🏃🏼	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, srednje svetel ten kože, tek, tekač, tekač: srednje svetel ten kože
🏃🏽	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, srednji ten kože, tek, tekač, tekač: srednji ten kože
🏃🏾	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, srednje temen ten kože, tek, tekač, tekač: srednje temen ten kože
🏃🏿	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, tek, tekač, tekač: temen ten kože, temen ten kože
🏃‍♂	fant, ki teče, maraton, moški, moški, ki teče, tek, tekač, šprint
🏃🏻‍♂	fant, ki teče, maraton, moški, moški, ki teče, moški, ki teče: svetel ten kože, svetel ten kože, tek, tekač, šprint
🏃🏼‍♂	fant, ki teče, maraton, moški, moški, ki teče, moški, ki teče: srednje svetel ten kože, srednje svetel ten kože, tek, tekač, šprint
🏃🏽‍♂	fant, ki teče, maraton, moški, moški, ki teče, moški, ki teče: srednji ten kože, srednji ten kože, tek, tekač, šprint
🏃🏾‍♂	fant, ki teče, maraton, moški, moški, ki teče, moški, ki teče: srednje temen ten kože, srednje temen ten kože, tek, tekač, šprint
🏃🏿‍♂	fant, ki teče, maraton, moški, moški, ki teče, moški, ki teče: temen ten kože, tek, tekač, temen ten kože, šprint
🏃‍♀	dekle, hitenje, hitrost, maraton, tek, tekačica, šprint, ženska, ženska, ki teče
🏃🏻‍♀	dekle, hitenje, hitrost, maraton, svetel ten kože, tek, tekačica, šprint, ženska, ženska, ki teče: svetel ten kože
🏃🏼‍♀	dekle, hitenje, hitrost, maraton, srednje svetel ten kože, tek, tekačica, šprint, ženska, ženska, ki teče: srednje svetel ten kože
🏃🏽‍♀	dekle, hitenje, hitrost, maraton, srednji ten kože, tek, tekačica, šprint, ženska, ženska, ki teče: srednji ten kože
🏃🏾‍♀	dekle, hitenje, hitrost, maraton, srednje temen ten kože, tek, tekačica, šprint, ženska, ženska, ki teče: srednje temen ten kože
🏃🏿‍♀	dekle, hitenje, hitrost, maraton, tek, tekačica, temen ten kože, šprint, ženska, ženska, ki teče: temen ten kože
🏃‍➡	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, tek, tekač, tekač, obrnjen v desno
🏃🏻‍➡	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, tek, tekač, tekač, obrnjen v desno
🏃🏼‍➡	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, tek, tekač, tekač, obrnjen v desno
🏃🏽‍➡	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, tek, tekač, tekač, obrnjen v desno
🏃🏾‍➡	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, tek, tekač, tekač, obrnjen v desno
🏃🏿‍➡	dirka, hitro, hitrost, maraton, naglica, oseba teče, pohiti, premikati se, prihajam, tek, tekač, tekač, obrnjen v desno
🏃‍♀‍➡	dekle, hitenje, hitrost, maraton, tek, tekačica, šprint, ženska, ženska, ki teče, obrnjen v desno
🏃🏻‍♀‍➡	dekle, hitenje, hitrost, maraton, tek, tekačica, šprint, ženska, ženska, ki teče, obrnjen v desno
🏃🏼‍♀‍➡	dekle, hitenje, hitrost, maraton, tek, tekačica, šprint, ženska, ženska, ki teče, obrnjen v desno
🏃🏽‍♀‍➡	dekle, hitenje, hitrost, maraton, tek, tekačica, šprint, ženska, ženska, ki teče, obrnjen v desno
🏃🏾‍♀‍➡	dekle, hitenje, hitrost, maraton, tek, tekačica, šprint, ženska, ženska, ki teče, obrnjen v desno
🏃🏿‍♀‍➡	dekle, hitenje, hitrost, maraton, tek, tekačica, šprint, ženska, ženska, ki teče, obrnjen v desno
🏃‍♂‍➡	fant, ki teče, maraton, moški, moški, ki teče, moški, ki teče, obrnjen v desno, tek, tekač, šprint
🏃🏻‍♂‍➡	fant, ki teče, maraton, moški, moški, ki teče, moški, ki teče, obrnjen v desno, tek, tekač, šprint
🏃🏼‍♂‍➡	fant, ki teče, maraton, moški, moški, ki teče, moški, ki teče, obrnjen v desno, tek, tekač, šprint
🏃🏽‍♂‍➡	fant, ki teče, maraton, moški, moški, ki teče, moški, ki teče, obrnjen v desno, tek, tekač, šprint
🏃🏾‍♂‍➡	fant, ki teče, maraton, moški, moški, ki teče, moški, ki teče, obrnjen v desno, tek, tekač, šprint
🏃🏿‍♂‍➡	fant, ki teče, maraton, moški, moški, ki teče, moški, ki teče, obrnjen v desno, tek, tekač, šprint
💃	ki pleše, ples, plesalka, tango, ženska, ženska, ki pleše
💃🏻	ki pleše, ples, plesalka, svetel ten kože, tango, ženska, ženska, ki pleše, ženska, ki pleše: svetel ten kože
💃🏼	ki pleše, ples, plesalka, srednje svetel ten kože, tango, ženska, ženska, ki pleše, ženska, ki pleše: srednje svetel ten kože
💃🏽	ki pleše, ples, plesalka, srednji ten kože, tango, ženska, ženska, ki pleše, ženska, ki pleše: srednji ten kože
💃🏾	ki pleše, ples, plesalka, srednje temen ten kože, tango, ženska, ženska, ki pleše, ženska, ki pleše: srednje temen ten kože
💃🏿	ki pleše, ples, plesalka, tango, temen ten kože, ženska, ženska, ki pleše, ženska, ki pleše: temen ten kože
🕺	moški, ples, plesalec, salsa, tango
🕺🏻	moški, ples, plesalec, plesalec: svetel ten kože, salsa, svetel ten kože, tango
🕺🏼	moški, ples, plesalec, plesalec: srednje svetel ten kože, salsa, srednje svetel ten kože, tango
🕺🏽	moški, ples, plesalec, plesalec: srednji ten kože, salsa, srednji ten kože, tango
🕺🏾	moški, ples, plesalec, plesalec: srednje temen ten kože, salsa, srednje temen ten kože, tango
🕺🏿	moški, ples, plesalec, plesalec: temen ten kože, salsa, tango, temen ten kože
🕴️	ki lebdi, moški, moški v poslovni obleki, moški v poslovni obleki, ki lebdi, obleka, posli
🕴🏻	ki lebdi, moški, moški v poslovni obleki, moški v poslovni obleki, ki lebdi, moški v poslovni obleki, ki lebdi: svetel ten kože, obleka, posli, svetel ten kože
🕴🏼	ki lebdi, moški, moški v poslovni obleki, moški v poslovni obleki, ki lebdi, moški v poslovni obleki, ki lebdi: srednje svetel ten kože, obleka, posli, srednje svetel ten kože
🕴🏽	ki lebdi, moški, moški v poslovni obleki, moški v poslovni obleki, ki lebdi, moški v poslovni obleki, ki lebdi: srednji ten kože, obleka, posli, srednji ten kože
🕴🏾	ki lebdi, moški, moški v poslovni obleki, moški v poslovni obleki, ki lebdi, moški v poslovni obleki, ki lebdi: srednje temen ten kože, obleka, posli, srednje temen ten kože
🕴🏿	ki lebdi, moški, moški v poslovni obleki, moški v poslovni obleki, ki lebdi, moški v poslovni obleki, ki lebdi: temen ten kože, obleka, posli, temen ten kože
👯	bestica, dekle, dve osebi, dvojnici, dvojčici, dvojčka, identični, najboljša prijateljica, par, plesalka, prijateljica, sorodna duša, uho, zabava, zajčica, zajčja ušesa, ženska, žur, žurerski ženski
👯‍♂	fantje, moška zabava, moški, plesalec, zabava, žur
👯‍♀	dekle, plesalec, zabava, ženska, ženska zabava, žur
🧖	dnevni velnes, oseba v parni savni, para, parna savna, razkošno, razvajanje, savna, sprostitev, sproščanje, toplice
🧖🏻	dnevni velnes, oseba v parni savni, oseba v parni savni: svetel ten kože, para, parna savna, razkošno, razvajanje, savna, sprostitev, sproščanje, svetel ten kože, toplice
🧖🏼	dnevni velnes, oseba v parni savni, oseba v parni savni: srednje svetel ten kože, para, parna savna, razkošno, razvajanje, savna, sprostitev, sproščanje, srednje svetel ten kože, toplice
🧖🏽	dnevni velnes, oseba v parni savni, oseba v parni savni: srednji ten kože, para, parna savna, razkošno, razvajanje, savna, sprostitev, sproščanje, srednji ten kože, toplice
🧖🏾	dnevni velnes, oseba v parni savni, oseba v parni savni: srednje temen ten kože, para, parna savna, razkošno, razvajanje, savna, sprostitev, sproščanje, srednje temen ten kože, toplice
🧖🏿	dnevni velnes, oseba v parni savni, oseba v parni savni: temen ten kože, para, parna savna, razkošno, razvajanje, savna, sprostitev, sproščanje, temen ten kože, toplice
🧖‍♂	moški v parni savni, parna savna, savna
🧖🏻‍♂	moški v parni savni, moški v parni savni: svetel ten kože, parna savna, savna, svetel ten kože
🧖🏼‍♂	moški v parni savni, moški v parni savni: srednje svetel ten kože, parna savna, savna, srednje svetel ten kože
🧖🏽‍♂	moški v parni savni, moški v parni savni: srednji ten kože, parna savna, savna, srednji ten kože
🧖🏾‍♂	moški v parni savni, moški v parni savni: srednje temen ten kože, parna savna, savna, srednje temen ten kože
🧖🏿‍♂	moški v parni savni, moški v parni savni: temen ten kože, parna savna, savna, temen ten kože
🧖‍♀	parna savna, savna, ženska v parni savni
🧖🏻‍♀	parna savna, savna, svetel ten kože, ženska v parni savni, ženska v parni savni: svetel ten kože
