‾	horná čiara
💇	holič, kaderníctvo, krása, nožnice, osoba, salón, strih, strihanie vlasov, strihať vlasy, vlasy, štýl, žena
💇🏻	holič, kaderníctvo, krása, nožnice, osoba, salón, strih, strihanie vlasov, strihanie vlasov: svetlý tón pleti, strihať vlasy, svetlý tón pleti, vlasy, štýl, žena
💇🏼	holič, kaderníctvo, krása, nožnice, osoba, salón, stredne svetlý tón pleti, strih, strihanie vlasov, strihanie vlasov: stredne svetlý tón pleti, strihať vlasy, vlasy, štýl, žena
💇🏽	holič, kaderníctvo, krása, nožnice, osoba, salón, stredný tón pleti, strih, strihanie vlasov, strihanie vlasov: stredný tón pleti, strihať vlasy, vlasy, štýl, žena
💇🏾	holič, kaderníctvo, krása, nožnice, osoba, salón, stredne tmavý tón pleti, strih, strihanie vlasov, strihanie vlasov: stredne tmavý tón pleti, strihať vlasy, vlasy, štýl, žena
💇🏿	holič, kaderníctvo, krása, nožnice, osoba, salón, strih, strihanie vlasov, strihanie vlasov: tmavý tón pleti, strihať vlasy, tmavý tón pleti, vlasy, štýl, žena
💇‍♂	holičstvo, kaderníctvo, krása, muž, muž u kaderníka, pánsky strih, strihanie, vlasy, účes
💇🏻‍♂	holičstvo, kaderníctvo, krása, muž, muž u kaderníka, muž u kaderníka: svetlý tón pleti, pánsky strih, strihanie, svetlý tón pleti, vlasy, účes
💇🏼‍♂	holičstvo, kaderníctvo, krása, muž, muž u kaderníka, muž u kaderníka: stredne svetlý tón pleti, pánsky strih, stredne svetlý tón pleti, strihanie, vlasy, účes
💇🏽‍♂	holičstvo, kaderníctvo, krása, muž, muž u kaderníka, muž u kaderníka: stredný tón pleti, pánsky strih, stredný tón pleti, strihanie, vlasy, účes
💇🏾‍♂	holičstvo, kaderníctvo, krása, muž, muž u kaderníka, muž u kaderníka: stredne tmavý tón pleti, pánsky strih, stredne tmavý tón pleti, strihanie, vlasy, účes
💇🏿‍♂	holičstvo, kaderníctvo, krása, muž, muž u kaderníka, muž u kaderníka: tmavý tón pleti, pánsky strih, strihanie, tmavý tón pleti, vlasy, účes
💇‍♀	strihanie, vlasy, účes, žena, žena u kaderníka
💇🏻‍♀	strihanie, svetlý tón pleti, vlasy, účes, žena, žena u kaderníka, žena u kaderníka: svetlý tón pleti
💇🏼‍♀	stredne svetlý tón pleti, strihanie, vlasy, účes, žena, žena u kaderníka, žena u kaderníka: stredne svetlý tón pleti
💇🏽‍♀	stredný tón pleti, strihanie, vlasy, účes, žena, žena u kaderníka, žena u kaderníka: stredný tón pleti
💇🏾‍♀	stredne tmavý tón pleti, strihanie, vlasy, účes, žena, žena u kaderníka, žena u kaderníka: stredne tmavý tón pleti
💇🏿‍♀	strihanie, tmavý tón pleti, vlasy, účes, žena, žena u kaderníka, žena u kaderníka: tmavý tón pleti
🚶	chodiaci človek, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka
🚶🏻	chodiaci človek, chodiaci človek: svetlý tón pleti, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka, svetlý tón pleti
🚶🏼	chodiaci človek, chodiaci človek: stredne svetlý tón pleti, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka, stredne svetlý tón pleti
🚶🏽	chodiaci človek, chodiaci človek: stredný tón pleti, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka, stredný tón pleti
🚶🏾	chodiaci človek, chodiaci človek: stredne tmavý tón pleti, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka, stredne tmavý tón pleti
🚶🏿	chodiaci človek, chodiaci človek: tmavý tón pleti, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka, tmavý tón pleti
🚶‍♂	chodec, chodiť, chôdza, kráčať, muž, pešo
🚶🏻‍♂	chodec, chodec: svetlý tón pleti, chodiť, chôdza, kráčať, muž, pešo, svetlý tón pleti
🚶🏼‍♂	chodec, chodec: stredne svetlý tón pleti, chodiť, chôdza, kráčať, muž, pešo, stredne svetlý tón pleti
🚶🏽‍♂	chodec, chodec: stredný tón pleti, chodiť, chôdza, kráčať, muž, pešo, stredný tón pleti
🚶🏾‍♂	chodec, chodec: stredne tmavý tón pleti, chodiť, chôdza, kráčať, muž, pešo, stredne tmavý tón pleti
🚶🏿‍♂	chodec, chodec: tmavý tón pleti, chodiť, chôdza, kráčať, muž, pešo, tmavý tón pleti
🚶‍♀	chodiť, chodkyňa, chôdza, kráčať, osoba, pešo, prechádzka, žena
🚶🏻‍♀	chodiť, chodkyňa, chodkyňa: svetlý tón pleti, chôdza, kráčať, osoba, pešo, prechádzka, svetlý tón pleti, žena
🚶🏼‍♀	chodiť, chodkyňa, chodkyňa: stredne svetlý tón pleti, chôdza, kráčať, osoba, pešo, prechádzka, stredne svetlý tón pleti, žena
🚶🏽‍♀	chodiť, chodkyňa, chodkyňa: stredný tón pleti, chôdza, kráčať, osoba, pešo, prechádzka, stredný tón pleti, žena
🚶🏾‍♀	chodiť, chodkyňa, chodkyňa: stredne tmavý tón pleti, chôdza, kráčať, osoba, pešo, prechádzka, stredne tmavý tón pleti, žena
🚶🏿‍♀	chodiť, chodkyňa, chodkyňa: tmavý tón pleti, chôdza, kráčať, osoba, pešo, prechádzka, tmavý tón pleti, žena
🚶‍➡	chodiaci človek, chodiaci človek smerom doprava, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka
🚶🏻‍➡	chodiaci človek, chodiaci človek smerom doprava, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka
🚶🏼‍➡	chodiaci človek, chodiaci človek smerom doprava, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka
🚶🏽‍➡	chodiaci človek, chodiaci človek smerom doprava, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka
🚶🏾‍➡	chodiaci človek, chodiaci človek smerom doprava, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka
🚶🏿‍➡	chodiaci človek, chodiaci človek smerom doprava, chodiť, chôdza, kráčajúci, kráčať, osoba, pešo, prechádzať sa, prechádzka
🚶‍♀‍➡	chodiť, chodkyňa, chodkyňa smerom doprava, chôdza, kráčať, osoba, pešo, prechádzka, žena
🚶🏻‍♀‍➡	chodiť, chodkyňa, chodkyňa smerom doprava, chôdza, kráčať, osoba, pešo, prechádzka, žena
🚶🏼‍♀‍➡	chodiť, chodkyňa, chodkyňa smerom doprava, chôdza, kráčať, osoba, pešo, prechádzka, žena
🚶🏽‍♀‍➡	chodiť, chodkyňa, chodkyňa smerom doprava, chôdza, kráčať, osoba, pešo, prechádzka, žena
🚶🏾‍♀‍➡	chodiť, chodkyňa, chodkyňa smerom doprava, chôdza, kráčať, osoba, pešo, prechádzka, žena
🚶🏿‍♀‍➡	chodiť, chodkyňa, chodkyňa smerom doprava, chôdza, kráčať, osoba, pešo, prechádzka, žena
🚶‍♂‍➡	chodec, chodec smerom doprava, chodiť, chôdza, kráčať, muž, pešo
🚶🏻‍♂‍➡	chodec, chodec smerom doprava, chodiť, chôdza, kráčať, muž, pešo
🚶🏼‍♂‍➡	chodec, chodec smerom doprava, chodiť, chôdza, kráčať, muž, pešo
🚶🏽‍♂‍➡	chodec, chodec smerom doprava, chodiť, chôdza, kráčať, muž, pešo
🚶🏾‍♂‍➡	chodec, chodec smerom doprava, chodiť, chôdza, kráčať, muž, pešo
🚶🏿‍♂‍➡	chodec, chodec smerom doprava, chodiť, chôdza, kráčať, muž, pešo
🧍	postoj, stojaci človek, státie, stáť
🧍🏻	postoj, stojaci človek, stojaci človek: svetlý tón pleti, státie, stáť, svetlý tón pleti
🧍🏼	postoj, stojaci človek, stojaci človek: stredne svetlý tón pleti, stredne svetlý tón pleti, státie, stáť
🧍🏽	postoj, stojaci človek, stojaci človek: stredný tón pleti, stredný tón pleti, státie, stáť
🧍🏾	postoj, stojaci človek, stojaci človek: stredne tmavý tón pleti, stredne tmavý tón pleti, státie, stáť
🧍🏿	postoj, stojaci človek, stojaci človek: tmavý tón pleti, státie, stáť, tmavý tón pleti
🧍‍♂	muž, postoj, stojaci, stojaci muž, státie
🧍🏻‍♂	muž, postoj, stojaci, stojaci muž: svetlý tón pleti, státie, svetlý tón pleti
🧍🏼‍♂	muž, postoj, stojaci, stojaci muž: stredne svetlý tón pleti, stredne svetlý tón pleti, státie
🧍🏽‍♂	muž, postoj, stojaci, stojaci muž: stredný tón pleti, stredný tón pleti, státie
🧍🏾‍♂	muž, postoj, stojaci, stojaci muž: stredne tmavý tón pleti, stredne tmavý tón pleti, státie
🧍🏿‍♂	muž, postoj, stojaci, stojaci muž: tmavý tón pleti, státie, tmavý tón pleti
🧍‍♀	postoj, stojaca, stojaca žena, státie, žena
🧍🏻‍♀	postoj, stojaca, stojaca žena: svetlý tón pleti, státie, svetlý tón pleti, žena
🧍🏼‍♀	postoj, stojaca, stojaca žena: stredne svetlý tón pleti, stredne svetlý tón pleti, státie, žena
🧍🏽‍♀	postoj, stojaca, stojaca žena: stredný tón pleti, stredný tón pleti, státie, žena
🧍🏾‍♀	postoj, stojaca, stojaca žena: stredne tmavý tón pleti, stredne tmavý tón pleti, státie, žena
🧍🏿‍♀	postoj, stojaca, stojaca žena: tmavý tón pleti, státie, tmavý tón pleti, žena
🧎	kľak, kľačanie, kľačať, kľačiaci človek, pokľak
🧎🏻	kľak, kľačanie, kľačať, kľačiaci človek, kľačiaci človek: svetlý tón pleti, pokľak, svetlý tón pleti
🧎🏼	kľak, kľačanie, kľačať, kľačiaci človek, kľačiaci človek: stredne svetlý tón pleti, pokľak, stredne svetlý tón pleti
🧎🏽	kľak, kľačanie, kľačať, kľačiaci človek, kľačiaci človek: stredný tón pleti, pokľak, stredný tón pleti
🧎🏾	kľak, kľačanie, kľačať, kľačiaci človek, kľačiaci človek: stredne tmavý tón pleti, pokľak, stredne tmavý tón pleti
🧎🏿	kľak, kľačanie, kľačať, kľačiaci človek, kľačiaci človek: tmavý tón pleti, pokľak, tmavý tón pleti
🧎‍♂	kľak, kľačať, kľačiaci, kľačiaci muž, muž, pokľak
🧎🏻‍♂	kľak, kľačať, kľačiaci, kľačiaci muž: svetlý tón pleti, muž, pokľak, svetlý tón pleti
🧎🏼‍♂	kľak, kľačať, kľačiaci, kľačiaci muž: stredne svetlý tón pleti, muž, pokľak, stredne svetlý tón pleti
🧎🏽‍♂	kľak, kľačať, kľačiaci, kľačiaci muž: stredný tón pleti, muž, pokľak, stredný tón pleti
🧎🏾‍♂	kľak, kľačať, kľačiaci, kľačiaci muž: stredne tmavý tón pleti, muž, pokľak, stredne tmavý tón pleti
🧎🏿‍♂	kľak, kľačať, kľačiaci, kľačiaci muž: tmavý tón pleti, muž, pokľak, tmavý tón pleti
🧎‍♀	kľak, kľačať, kľačiaca, kľačiaca žena, pokľak, žena
🧎🏻‍♀	kľak, kľačať, kľačiaca, kľačiaca žena: svetlý tón pleti, pokľak, svetlý tón pleti, žena
🧎🏼‍♀	kľak, kľačať, kľačiaca, kľačiaca žena: stredne svetlý tón pleti, pokľak, stredne svetlý tón pleti, žena
🧎🏽‍♀	kľak, kľačať, kľačiaca, kľačiaca žena: stredný tón pleti, pokľak, stredný tón pleti, žena
🧎🏾‍♀	kľak, kľačať, kľačiaca, kľačiaca žena: stredne tmavý tón pleti, pokľak, stredne tmavý tón pleti, žena
🧎🏿‍♀	kľak, kľačať, kľačiaca, kľačiaca žena: tmavý tón pleti, pokľak, tmavý tón pleti, žena
🧎‍➡	kľak, kľačanie, kľačať, kľačiaci človek, kľačiaci človek smerom doprava, pokľak
🧎🏻‍➡	kľak, kľačanie, kľačať, kľačiaci človek, kľačiaci človek smerom doprava, pokľak
🧎🏼‍➡	kľak, kľačanie, kľačať, kľačiaci človek, kľačiaci človek smerom doprava, pokľak
🧎🏽‍➡	kľak, kľačanie, kľačať, kľačiaci človek, kľačiaci človek smerom doprava, pokľak
🧎🏾‍➡	kľak, kľačanie, kľačať, kľačiaci človek, kľačiaci človek smerom doprava, pokľak
🧎🏿‍➡	kľak, kľačanie, kľačať, kľačiaci človek, kľačiaci človek smerom doprava, pokľak
🧎‍♀‍➡	kľak, kľačať, kľačiaca, kľačiaca žena smerom doprava, pokľak, žena
🧎🏻‍♀‍➡	kľak, kľačať, kľačiaca, kľačiaca žena smerom doprava, pokľak, žena
🧎🏼‍♀‍➡	kľak, kľačať, kľačiaca, kľačiaca žena smerom doprava, pokľak, žena
🧎🏽‍♀‍➡	kľak, kľačať, kľačiaca, kľačiaca žena smerom doprava, pokľak, žena
🧎🏾‍♀‍➡	kľak, kľačať, kľačiaca, kľačiaca žena smerom doprava, pokľak, žena
🧎🏿‍♀‍➡	kľak, kľačať, kľačiaca, kľačiaca žena smerom doprava, pokľak, žena
🧎‍♂‍➡	kľak, kľačať, kľačiaci, kľačiaci muž smerom doprava, muž, pokľak
🧎🏻‍♂‍➡	kľak, kľačať, kľačiaci, kľačiaci muž smerom doprava, muž, pokľak
🧎🏼‍♂‍➡	kľak, kľačať, kľačiaci, kľačiaci muž smerom doprava, muž, pokľak
🧎🏽‍♂‍➡	kľak, kľačať, kľačiaci, kľačiaci muž smerom doprava, muž, pokľak
🧎🏾‍♂‍➡	kľak, kľačať, kľačiaci, kľačiaci muž smerom doprava, muž, pokľak
🧎🏿‍♂‍➡	kľak, kľačať, kľačiaci, kľačiaci muž smerom doprava, muž, pokľak
🧑‍🦯	handicap, hendikep, pomôcka, postihnutie, človek s bielou palicou
🧑🏻‍🦯	handicap, hendikep, pomôcka, postihnutie, svetlý tón pleti, človek s bielou palicou, človek s bielou palicou: svetlý tón pleti
🧑🏼‍🦯	handicap, hendikep, pomôcka, postihnutie, stredne svetlý tón pleti, človek s bielou palicou, človek s bielou palicou: stredne svetlý tón pleti
🧑🏽‍🦯	handicap, hendikep, pomôcka, postihnutie, stredný tón pleti, človek s bielou palicou, človek s bielou palicou: stredný tón pleti
🧑🏾‍🦯	handicap, hendikep, pomôcka, postihnutie, stredne tmavý tón pleti, človek s bielou palicou, človek s bielou palicou: stredne tmavý tón pleti
🧑🏿‍🦯	handicap, hendikep, pomôcka, postihnutie, tmavý tón pleti, človek s bielou palicou, človek s bielou palicou: tmavý tón pleti
🧑‍🦯‍➡	handicap, hendikep, pomôcka, postihnutie, človek s bielou palicou, človek s bielou palicou smerom doprava
🧑🏻‍🦯‍➡	handicap, hendikep, pomôcka, postihnutie, človek s bielou palicou, človek s bielou palicou smerom doprava
🧑🏼‍🦯‍➡	handicap, hendikep, pomôcka, postihnutie, človek s bielou palicou, človek s bielou palicou smerom doprava
🧑🏽‍🦯‍➡	handicap, hendikep, pomôcka, postihnutie, človek s bielou palicou, človek s bielou palicou smerom doprava
🧑🏾‍🦯‍➡	handicap, hendikep, pomôcka, postihnutie, človek s bielou palicou, človek s bielou palicou smerom doprava
🧑🏿‍🦯‍➡	handicap, hendikep, pomôcka, postihnutie, človek s bielou palicou, človek s bielou palicou smerom doprava
👨‍🦯	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, pomôcka, postihnutie, postihnutý, slepý, uľahčenie
👨🏻‍🦯	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, muž s bielou palicou: svetlý tón pleti, pomôcka, postihnutie, postihnutý, slepý, svetlý tón pleti, uľahčenie
👨🏼‍🦯	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, muž s bielou palicou: stredne svetlý tón pleti, pomôcka, postihnutie, postihnutý, slepý, stredne svetlý tón pleti, uľahčenie
👨🏽‍🦯	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, muž s bielou palicou: stredný tón pleti, pomôcka, postihnutie, postihnutý, slepý, stredný tón pleti, uľahčenie
👨🏾‍🦯	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, muž s bielou palicou: stredne tmavý tón pleti, pomôcka, postihnutie, postihnutý, slepý, stredne tmavý tón pleti, uľahčenie
👨🏿‍🦯	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, muž s bielou palicou: tmavý tón pleti, pomôcka, postihnutie, postihnutý, slepý, tmavý tón pleti, uľahčenie
👨‍🦯‍➡	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, muž s bielou palicou smerom doprava, pomôcka, postihnutie, postihnutý, slepý, uľahčenie
👨🏻‍🦯‍➡	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, muž s bielou palicou smerom doprava, pomôcka, postihnutie, postihnutý, slepý, uľahčenie
👨🏼‍🦯‍➡	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, muž s bielou palicou smerom doprava, pomôcka, postihnutie, postihnutý, slepý, uľahčenie
👨🏽‍🦯‍➡	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, muž s bielou palicou smerom doprava, pomôcka, postihnutie, postihnutý, slepý, uľahčenie
👨🏾‍🦯‍➡	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, muž s bielou palicou smerom doprava, pomôcka, postihnutie, postihnutý, slepý, uľahčenie
👨🏿‍🦯‍➡	handicap, handicapovaný, hendikep, muž, muž so slepeckou palicou, muž s bielou palicou, muž s bielou palicou smerom doprava, pomôcka, postihnutie, postihnutý, slepý, uľahčenie
👩‍🦯	handicap, hendikep, pomôcka, postihnutie, slepá, žena, žena so slepeckou palicou
