‾	oorheendruk, oorstreep, vinkulum
🤵🏾‍♂	man, man in pak, man in pak: medium-donker velkleur, medium-donker velkleur, pak
🤵🏿‍♂	donker velkleur, man, man in pak, man in pak: donker velkleur, pak
🤵‍♀	pak, vrou, vrou in pak
🤵🏻‍♀	ligte velkleur, pak, vrou, vrou in pak, vrou in pak: ligte velkleur
🤵🏼‍♀	medium-ligte velkleur, pak, vrou, vrou in pak, vrou in pak: medium-ligte velkleur
🤵🏽‍♀	medium velkleur, pak, vrou, vrou in pak, vrou in pak: medium velkleur
🤵🏾‍♀	medium-donker velkleur, pak, vrou, vrou in pak, vrou in pak: medium-donker velkleur
🤵🏿‍♀	donker velkleur, pak, vrou, vrou in pak, vrou in pak: donker velkleur
👰	bruid, bruid met sluier, huwelik, persoon, persoon met sluier, sluier, troue
👰🏻	bruid, bruid met sluier, huwelik, ligte velkleur, persoon, persoon met sluier, persoon met sluier: ligte velkleur, sluier, troue
👰🏼	bruid, bruid met sluier, huwelik, medium-ligte velkleur, persoon, persoon met sluier, persoon met sluier: medium-ligte velkleur, sluier, troue
👰🏽	bruid, bruid met sluier, huwelik, medium velkleur, persoon, persoon met sluier, persoon met sluier: medium velkleur, sluier, troue
👰🏾	bruid, bruid met sluier, huwelik, medium-donker velkleur, persoon, persoon met sluier, persoon met sluier: medium-donker velkleur, sluier, troue
👰🏿	bruid, bruid met sluier, donker velkleur, huwelik, persoon, persoon met sluier, persoon met sluier: donker velkleur, sluier, troue
👰‍♂	man, man met sluier, sluier
👰🏻‍♂	ligte velkleur, man, man met sluier, man met sluier: ligte velkleur, sluier
👰🏼‍♂	man, man met sluier, man met sluier: medium-ligte velkleur, medium-ligte velkleur, sluier
👰🏽‍♂	man, man met sluier, man met sluier: medium velkleur, medium velkleur, sluier
👰🏾‍♂	man, man met sluier, man met sluier: medium-donker velkleur, medium-donker velkleur, sluier
👰🏿‍♂	donker velkleur, man, man met sluier, man met sluier: donker velkleur, sluier
👰‍♀	sluier, vrou, vrou met sluier
👰🏻‍♀	ligte velkleur, sluier, vrou, vrou met sluier, vrou met sluier: ligte velkleur
👰🏼‍♀	medium-ligte velkleur, sluier, vrou, vrou met sluier, vrou met sluier: medium-ligte velkleur
👰🏽‍♀	medium velkleur, sluier, vrou, vrou met sluier, vrou met sluier: medium velkleur
👰🏾‍♀	medium-donker velkleur, sluier, vrou, vrou met sluier, vrou met sluier: medium-donker velkleur
👰🏿‍♀	donker velkleur, sluier, vrou, vrou met sluier, vrou met sluier: donker velkleur
🤰	baba, swanger, swanger vrou, verwagtend, vrou
🤰🏻	baba, ligte velkleur, swanger, swanger vrou: ligte velkleur, verwagtend, vrou
🤰🏼	baba, medium-ligte velkleur, swanger, swanger vrou: medium-ligte velkleur, verwagtend, vrou
🤰🏽	baba, medium velkleur, swanger, swanger vrou: medium velkleur, verwagtend, vrou
🤰🏾	baba, medium-donker velkleur, swanger, swanger vrou: medium-donker velkleur, verwagtend, vrou
🤰🏿	baba, donker velkleur, swanger, swanger vrou: donker velkleur, verwagtend, vrou
🫃	maag, man, ooreet, opgeblaas, pens, swanger, swanger man, vet, vol
🫃🏻	ligte velkleur, maag, man, ooreet, opgeblaas, pens, swanger, swanger man: ligte velkleur, vet, vol
🫃🏼	maag, man, medium-ligte velkleur, ooreet, opgeblaas, pens, swanger, swanger man: medium-ligte velkleur, vet, vol
🫃🏽	maag, man, medium velkleur, ooreet, opgeblaas, pens, swanger, swanger man: medium velkleur, vet, vol
🫃🏾	maag, man, medium-donker velkleur, ooreet, opgeblaas, pens, swanger, swanger man: medium-donker velkleur, vet, vol
🫃🏿	donker velkleur, maag, man, ooreet, opgeblaas, pens, swanger, swanger man: donker velkleur, vet, vol
🫄	maag, ooreet, opgeblaas, swanger, swanger persoon, swanger vrou, vol
🫄🏻	ligte velkleur, maag, ooreet, opgeblaas, swanger, swanger persoon, swanger persoon: ligte velkleur, swanger vrou, vol
🫄🏼	maag, medium-ligte velkleur, ooreet, opgeblaas, swanger, swanger persoon, swanger persoon: medium-ligte velkleur, swanger vrou, vol
🫄🏽	maag, medium velkleur, ooreet, opgeblaas, swanger, swanger persoon, swanger persoon: medium velkleur, swanger vrou, vol
🫄🏾	maag, medium-donker velkleur, ooreet, opgeblaas, swanger, swanger persoon, swanger persoon: medium-donker velkleur, swanger vrou, vol
🫄🏿	donker velkleur, maag, ooreet, opgeblaas, swanger, swanger persoon, swanger persoon: donker velkleur, swanger vrou, vol
🤱	baba, bors, borsvoed, borsvoeding, ma soog kind, voeding
🤱🏻	baba, bors, borsvoed, borsvoed: ligte velkleur, borsvoeding, ligte velkleur, ma soog kind, voeding
🤱🏼	baba, bors, borsvoed, borsvoed: medium-ligte velkleur, borsvoeding, ma soog kind, medium-ligte velkleur, voeding
🤱🏽	baba, bors, borsvoed, borsvoed: medium velkleur, borsvoeding, ma soog kind, medium velkleur, voeding
🤱🏾	baba, bors, borsvoed, borsvoed: medium-donker velkleur, borsvoeding, ma soog kind, medium-donker velkleur, voeding
🤱🏿	baba, bors, borsvoed, borsvoed: donker velkleur, borsvoeding, donker velkleur, ma soog kind, voeding
👩‍🍼	baba, bottel, bottelbaba, ma, mamma, suigeling, voedend, voer, vrou, vrou wat baba voed
👩🏻‍🍼	baba, bottel, bottelbaba, ligte velkleur, ma, mamma, suigeling, voedend, voer, vrou, vrou wat baba voed, vrou wat baba voed: ligte velkleur
👩🏼‍🍼	baba, bottel, bottelbaba, ma, mamma, medium-ligte velkleur, suigeling, voedend, voer, vrou, vrou wat baba voed, vrou wat baba voed: medium-ligte velkleur
👩🏽‍🍼	baba, bottel, bottelbaba, ma, mamma, medium velkleur, suigeling, voedend, voer, vrou, vrou wat baba voed, vrou wat baba voed: medium velkleur
👩🏾‍🍼	baba, bottel, bottelbaba, ma, mamma, medium-donker velkleur, suigeling, voedend, voer, vrou, vrou wat baba voed, vrou wat baba voed: medium-donker velkleur
👩🏿‍🍼	baba, bottel, bottelbaba, donker velkleur, ma, mamma, suigeling, voedend, voer, vrou, vrou wat baba voed, vrou wat baba voed: donker velkleur
👨‍🍼	baba, iemand wat baba voed, man, man wat baba voed, pa, pasgebore, persoon, suigeling, vader, voedend
👨🏻‍🍼	baba, iemand wat baba voed, ligte velkleur, man, man wat baba voed, man wat baba voed: ligte velkleur, pa, pasgebore, persoon, suigeling, vader, voedend
👨🏼‍🍼	baba, iemand wat baba voed, man, man wat baba voed, man wat baba voed: medium-ligte velkleur, medium-ligte velkleur, pa, pasgebore, persoon, suigeling, vader, voedend
👨🏽‍🍼	baba, iemand wat baba voed, man, man wat baba voed, man wat baba voed: medium velkleur, medium velkleur, pa, pasgebore, persoon, suigeling, vader, voedend
👨🏾‍🍼	baba, iemand wat baba voed, man, man wat baba voed, man wat baba voed: medium-donker velkleur, medium-donker velkleur, pa, pasgebore, persoon, suigeling, vader, voedend
👨🏿‍🍼	baba, donker velkleur, iemand wat baba voed, man, man wat baba voed, man wat baba voed: donker velkleur, pa, pasgebore, persoon, suigeling, vader, voedend
🧑‍🍼	baba, bottel, ma, man, pa, pasgebore, persoon, persoon wat baba voed, suigeling, voedend, vrou
🧑🏻‍🍼	baba, bottel, ligte velkleur, ma, man, pa, pasgebore, persoon, persoon wat baba voed, persoon wat baba voed: ligte velkleur, suigeling, voedend, vrou
🧑🏼‍🍼	baba, bottel, ma, man, medium-ligte velkleur, pa, pasgebore, persoon, persoon wat baba voed, persoon wat baba voed: medium-ligte velkleur, suigeling, voedend, vrou
🧑🏽‍🍼	baba, bottel, ma, man, medium velkleur, pa, pasgebore, persoon, persoon wat baba voed, persoon wat baba voed: medium velkleur, suigeling, voedend, vrou
🧑🏾‍🍼	baba, bottel, ma, man, medium-donker velkleur, pa, pasgebore, persoon, persoon wat baba voed, persoon wat baba voed: medium-donker velkleur, suigeling, voedend, vrou
🧑🏿‍🍼	baba, bottel, donker velkleur, ma, man, pa, pasgebore, persoon, persoon wat baba voed, persoon wat baba voed: donker velkleur, suigeling, voedend, vrou
👼	baba, baba-engel, engel, engeltjie, fantasie, gesig, heilig, kerk, sprokie
👼🏻	baba, baba-engel, baba-engel: ligte velkleur, engel, engeltjie, fantasie, gesig, heilig, kerk, ligte velkleur, sprokie
👼🏼	baba, baba-engel, baba-engel: medium-ligte velkleur, engel, engeltjie, fantasie, gesig, heilig, kerk, medium-ligte velkleur, sprokie
👼🏽	baba, baba-engel, baba-engel: medium velkleur, engel, engeltjie, fantasie, gesig, heilig, kerk, medium velkleur, sprokie
👼🏾	baba, baba-engel, baba-engel: medium-donker velkleur, engel, engeltjie, fantasie, gesig, heilig, kerk, medium-donker velkleur, sprokie
👼🏿	baba, baba-engel, baba-engel: donker velkleur, donker velkleur, engel, engeltjie, fantasie, gesig, heilig, kerk, sprokie
🎅	Kersfees, Kersvader, sprokie, vader, viering
🎅🏻	Kersfees, Kersvader, Kersvader: ligte velkleur, ligte velkleur, sprokie, vader, viering
🎅🏼	Kersfees, Kersvader, Kersvader: medium-ligte velkleur, medium-ligte velkleur, sprokie, vader, viering
🎅🏽	Kersfees, Kersvader, Kersvader: medium velkleur, medium velkleur, sprokie, vader, viering
🎅🏾	Kersfees, Kersvader, Kersvader: medium-donker velkleur, medium-donker velkleur, sprokie, vader, viering
🎅🏿	Kersfees, Kersvader, Kersvader: donker velkleur, donker velkleur, sprokie, vader, viering
🤶	Kersfees, Kersmoeder, Moeder Kersfees, mevrou, moeder, viering
🤶🏻	Kersfees, Kersmoeder, Moeder Kersfees: ligte velkleur, ligte velkleur, mevrou, moeder, viering
🤶🏼	Kersfees, Kersmoeder, Moeder Kersfees: medium-ligte velkleur, medium-ligte velkleur, mevrou, moeder, viering
🤶🏽	Kersfees, Kersmoeder, Moeder Kersfees: medium velkleur, medium velkleur, mevrou, moeder, viering
🤶🏾	Kersfees, Kersmoeder, Moeder Kersfees: medium-donker velkleur, medium-donker velkleur, mevrou, moeder, viering
🤶🏿	Kersfees, Kersmoeder, Moeder Kersfees: donker velkleur, donker velkleur, mevrou, moeder, viering
🧑‍🎄	Claus, Kersboom, Kersfees, Kersvader, Sinterklaas, feestyd, geseënde Kersfees, geskenke, mus, mx claus, persoon, vakansie
🧑🏻‍🎄	Claus, Kersboom, Kersfees, Kersvader, Sinterklaas, feestyd, geseënde Kersfees, geskenke, ligte velkleur, mus, mx claus, mx claus: ligte velkleur, persoon, vakansie
🧑🏼‍🎄	Claus, Kersboom, Kersfees, Kersvader, Sinterklaas, feestyd, geseënde Kersfees, geskenke, medium-ligte velkleur, mus, mx claus, mx claus: medium-ligte velkleur, persoon, vakansie
🧑🏽‍🎄	Claus, Kersboom, Kersfees, Kersvader, Sinterklaas, feestyd, geseënde Kersfees, geskenke, medium velkleur, mus, mx claus, mx claus: medium velkleur, persoon, vakansie
🧑🏾‍🎄	Claus, Kersboom, Kersfees, Kersvader, Sinterklaas, feestyd, geseënde Kersfees, geskenke, medium-donker velkleur, mus, mx claus, mx claus: medium-donker velkleur, persoon, vakansie
🧑🏿‍🎄	Claus, Kersboom, Kersfees, Kersvader, Sinterklaas, donker velkleur, feestyd, geseënde Kersfees, geskenke, mus, mx claus, mx claus: donker velkleur, persoon, vakansie
🦸	Batman, Superman, goed, goeie, held, heldin, superheld, superkrag, superkragte
🦸🏻	Batman, Superman, goed, goeie, held, heldin, ligte velkleur, superheld, superheld: ligte velkleur, superkrag, superkragte
🦸🏼	Batman, Superman, goed, goeie, held, heldin, medium-ligte velkleur, superheld, superheld: medium-ligte velkleur, superkrag, superkragte
🦸🏽	Batman, Superman, goed, goeie, held, heldin, medium velkleur, superheld, superheld: medium velkleur, superkrag, superkragte
🦸🏾	Batman, Superman, goed, goeie, held, heldin, medium-donker velkleur, superheld, superheld: medium-donker velkleur, superkrag, superkragte
🦸🏿	Batman, Superman, donker velkleur, goed, goeie, held, heldin, superheld, superheld: donker velkleur, superkrag, superkragte
🦸‍♂	goeie, held, man, manlike superheld, superkrag
🦸🏻‍♂	goeie, held, ligte velkleur, man, manlike superheld, manlike superheld: ligte velkleur, superkrag
🦸🏼‍♂	goeie, held, man, manlike superheld, manlike superheld: medium-ligte velkleur, medium-ligte velkleur, superkrag
🦸🏽‍♂	goeie, held, man, manlike superheld, manlike superheld: medium velkleur, medium velkleur, superkrag
🦸🏾‍♂	goeie, held, man, manlike superheld, manlike superheld: medium-donker velkleur, medium-donker velkleur, superkrag
🦸🏿‍♂	donker velkleur, goeie, held, man, manlike superheld, manlike superheld: donker velkleur, superkrag
🦸‍♀	goeie, held, heldin, superkrag, vroulike superheld
🦸🏻‍♀	goeie, held, heldin, ligte velkleur, superkrag, vroulike superheld, vroulike superheld: ligte velkleur
🦸🏼‍♀	goeie, held, heldin, medium-ligte velkleur, superkrag, vroulike superheld, vroulike superheld: medium-ligte velkleur
🦸🏽‍♀	goeie, held, heldin, medium velkleur, superkrag, vroulike superheld, vroulike superheld: medium velkleur
🦸🏾‍♀	goeie, held, heldin, medium-donker velkleur, superkrag, vroulike superheld, vroulike superheld: medium-donker velkleur
🦸🏿‍♀	donker velkleur, goeie, held, heldin, superkrag, vroulike superheld, vroulike superheld: donker velkleur
🦹	boos, krimineel, misdadig, misdadiger, persoon, skurk, sleg, superkrag, superkragte, superskurk, vampier
🦹🏻	boos, krimineel, ligte velkleur, misdadig, misdadiger, persoon, skurk, sleg, superkrag, superkragte, superskurk, superskurk: ligte velkleur, vampier
🦹🏼	boos, krimineel, medium-ligte velkleur, misdadig, misdadiger, persoon, skurk, sleg, superkrag, superkragte, superskurk, superskurk: medium-ligte velkleur, vampier
🦹🏽	boos, krimineel, medium velkleur, misdadig, misdadiger, persoon, skurk, sleg, superkrag, superkragte, superskurk, superskurk: medium velkleur, vampier
🦹🏾	boos, krimineel, medium-donker velkleur, misdadig, misdadiger, persoon, skurk, sleg, superkrag, superkragte, superskurk, superskurk: medium-donker velkleur, vampier
🦹🏿	boos, donker velkleur, krimineel, misdadig, misdadiger, persoon, skurk, sleg, superkrag, superkragte, superskurk, superskurk: donker velkleur, vampier
🦹‍♂	boos, krimineel, man, manlike superskurk, skurk, superkrag
🦹🏻‍♂	boos, krimineel, ligte velkleur, man, manlike superskurk, manlike superskurk: ligte velkleur, skurk, superkrag
🦹🏼‍♂	boos, krimineel, man, manlike superskurk, manlike superskurk: medium-ligte velkleur, medium-ligte velkleur, skurk, superkrag
🦹🏽‍♂	boos, krimineel, man, manlike superskurk, manlike superskurk: medium velkleur, medium velkleur, skurk, superkrag
🦹🏾‍♂	boos, krimineel, man, manlike superskurk, manlike superskurk: medium-donker velkleur, medium-donker velkleur, skurk, superkrag
🦹🏿‍♂	boos, donker velkleur, krimineel, man, manlike superskurk, manlike superskurk: donker velkleur, skurk, superkrag
🦹‍♀	boos, krimineel, skurk, superkrag, vrou, vroulike superskurk
🦹🏻‍♀	boos, krimineel, ligte velkleur, skurk, superkrag, vrou, vroulike superskurk, vroulike superskurk: ligte velkleur
🦹🏼‍♀	boos, krimineel, medium-ligte velkleur, skurk, superkrag, vrou, vroulike superskurk, vroulike superskurk: medium-ligte velkleur
🦹🏽‍♀	boos, krimineel, medium velkleur, skurk, superkrag, vrou, vroulike superskurk, vroulike superskurk: medium velkleur
🦹🏾‍♀	boos, krimineel, medium-donker velkleur, skurk, superkrag, vrou, vroulike superskurk, vroulike superskurk: medium-donker velkleur
🦹🏿‍♀	boos, donker velkleur, krimineel, skurk, superkrag, vrou, vroulike superskurk, vroulike superskurk: donker velkleur
🧙	fantasie, heks, magus, oproep, persoonmagus, rolspel, toorder, towenaar, towenares, towerspreuk
🧙🏻	fantasie, heks, ligte velkleur, magus, magus: ligte velkleur, oproep, persoonmagus, rolspel, toorder, towenaar, towenares, towerspreuk
🧙🏼	fantasie, heks, magus, magus: medium-ligte velkleur, medium-ligte velkleur, oproep, persoonmagus, rolspel, toorder, towenaar, towenares, towerspreuk
🧙🏽	fantasie, heks, magus, magus: medium velkleur, medium velkleur, oproep, persoonmagus, rolspel, toorder, towenaar, towenares, towerspreuk
🧙🏾	fantasie, heks, magus, magus: medium-donker velkleur, medium-donker velkleur, oproep, persoonmagus, rolspel, toorder, towenaar, towenares, towerspreuk
🧙🏿	donker velkleur, fantasie, heks, magus, magus: donker velkleur, oproep, persoonmagus, rolspel, toorder, towenaar, towenares, towerspreuk
🧙‍♂	manlike magus, towenaar
🧙🏻‍♂	ligte velkleur, manlike magus, manlike magus: ligte velkleur, towenaar
🧙🏼‍♂	manlike magus, manlike magus: medium-ligte velkleur, medium-ligte velkleur, towenaar
🧙🏽‍♂	manlike magus, manlike magus: medium velkleur, medium velkleur, towenaar
🧙🏾‍♂	manlike magus, manlike magus: medium-donker velkleur, medium-donker velkleur, towenaar
🧙🏿‍♂	donker velkleur, manlike magus, manlike magus: donker velkleur, towenaar
🧙‍♀	heks, towenares, vroulike magus
🧙🏻‍♀	heks, ligte velkleur, towenares, vroulike magus, vroulike magus: ligte velkleur
🧙🏼‍♀	heks, medium-ligte velkleur, towenares, vroulike magus, vroulike magus: medium-ligte velkleur
🧙🏽‍♀	heks, medium velkleur, towenares, vroulike magus, vroulike magus: medium velkleur
🧙🏾‍♀	heks, medium-donker velkleur, towenares, vroulike magus, vroulike magus: medium-donker velkleur
🧙🏿‍♀	donker velkleur, heks, towenares, vroulike magus, vroulike magus: donker velkleur
