‾	garis atas
💃🏼	menari, penari, perempuan, perempuan menari: ton kulit sederhana cerah, pesta, salsa, ton kulit sederhana cerah, wanita
💃🏽	menari, penari, perempuan, perempuan menari: ton kulit sederhana, pesta, salsa, ton kulit sederhana, wanita
💃🏾	menari, penari, perempuan, perempuan menari: ton kulit sederhana gelap, pesta, salsa, ton kulit sederhana gelap, wanita
💃🏿	menari, penari, perempuan, perempuan menari: ton kulit gelap, pesta, salsa, ton kulit gelap, wanita
🕺	elegan, flamenco, lelaki, lelaki menari, menari, penari, pesta, salsa, tango, tarian
🕺🏻	elegan, flamenco, lelaki, lelaki menari: ton kulit cerah, menari, penari, pesta, salsa, tango, tarian, ton kulit cerah
🕺🏼	elegan, flamenco, lelaki, lelaki menari: ton kulit sederhana cerah, menari, penari, pesta, salsa, tango, tarian, ton kulit sederhana cerah
🕺🏽	elegan, flamenco, lelaki, lelaki menari: ton kulit sederhana, menari, penari, pesta, salsa, tango, tarian, ton kulit sederhana
🕺🏾	elegan, flamenco, lelaki, lelaki menari: ton kulit sederhana gelap, menari, penari, pesta, salsa, tango, tarian, ton kulit sederhana gelap
🕺🏿	elegan, flamenco, lelaki, lelaki menari: ton kulit gelap, menari, penari, pesta, salsa, tango, tarian, ton kulit gelap
🕴️	lelaki memakai sut urusan terapung-apung, manusia, perniagaan, sut
🕴🏻	lelaki memakai sut urusan terapung-apung, lelaki memakai sut urusan terapung-apung: ton kulit cerah, manusia, perniagaan, sut, ton kulit cerah
🕴🏼	lelaki memakai sut urusan terapung-apung, lelaki memakai sut urusan terapung-apung: ton kulit sederhana cerah, manusia, perniagaan, sut, ton kulit sederhana cerah
🕴🏽	lelaki memakai sut urusan terapung-apung, lelaki memakai sut urusan terapung-apung: ton kulit sederhana, manusia, perniagaan, sut, ton kulit sederhana
🕴🏾	lelaki memakai sut urusan terapung-apung, lelaki memakai sut urusan terapung-apung: ton kulit sederhana gelap, manusia, perniagaan, sut, ton kulit sederhana gelap
🕴🏿	lelaki memakai sut urusan terapung-apung, lelaki memakai sut urusan terapung-apung: ton kulit gelap, manusia, perniagaan, sut, ton kulit gelap
👯	berparti, kembar, orang, orang dengan telinga arnab, penari, rakan karib, serupa, telinga arnab
👯‍♂	BFF, dua, kawan karib, lelaki berpesta, lelaki parti, orang, penari, saing, sama, telinga, teman sejiwa
👯‍♀	berpesta, penari, perempuan, perempuan berpesta, telinga arnab, wanita
🧖	bilik berwap, mandi wap, orang, orang dalam bilik berwap, santai, sauna, spa, tenang, wap
🧖🏻	bilik berwap, mandi wap, orang, orang dalam bilik berwap: ton kulit cerah, santai, sauna, spa, tenang, ton kulit cerah, wap
🧖🏼	bilik berwap, mandi wap, orang, orang dalam bilik berwap: ton kulit sederhana cerah, santai, sauna, spa, tenang, ton kulit sederhana cerah, wap
🧖🏽	bilik berwap, mandi wap, orang, orang dalam bilik berwap: ton kulit sederhana, santai, sauna, spa, tenang, ton kulit sederhana, wap
🧖🏾	bilik berwap, mandi wap, orang, orang dalam bilik berwap: ton kulit sederhana gelap, santai, sauna, spa, tenang, ton kulit sederhana gelap, wap
🧖🏿	bilik berwap, mandi wap, orang, orang dalam bilik berwap: ton kulit gelap, santai, sauna, spa, tenang, ton kulit gelap, wap
🧖‍♂	bilik wap, lelaki dalam bilik berwap, sauna
🧖🏻‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit cerah, sauna, ton kulit cerah
🧖🏼‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit sederhana cerah, sauna, ton kulit sederhana cerah
🧖🏽‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit sederhana, sauna, ton kulit sederhana
🧖🏾‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit sederhana gelap, sauna, ton kulit sederhana gelap
🧖🏿‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit gelap, sauna, ton kulit gelap
🧖‍♀	bilik wap, sauna, wanita dalam bilik berwap
🧖🏻‍♀	bilik wap, sauna, ton kulit cerah, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit cerah
🧖🏼‍♀	bilik wap, sauna, ton kulit sederhana cerah, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit sederhana cerah
🧖🏽‍♀	bilik wap, sauna, ton kulit sederhana, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit sederhana
🧖🏾‍♀	bilik wap, sauna, ton kulit sederhana gelap, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit sederhana gelap
🧖🏿‍♀	bilik wap, sauna, ton kulit gelap, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit gelap
🧗	bukit, gunung, orang memanjat, orang mendaki, panjat, pemanjat, pendaki
🧗🏻	bukit, gunung, orang memanjat, orang mendaki, orang mendaki: ton kulit cerah, panjat, pemanjat, pendaki, ton kulit cerah
🧗🏼	bukit, gunung, orang memanjat, orang mendaki, orang mendaki: ton kulit sederhana cerah, panjat, pemanjat, pendaki, ton kulit sederhana cerah
🧗🏽	bukit, gunung, orang memanjat, orang mendaki, orang mendaki: ton kulit sederhana, panjat, pemanjat, pendaki, ton kulit sederhana
🧗🏾	bukit, gunung, orang memanjat, orang mendaki, orang mendaki: ton kulit sederhana gelap, panjat, pemanjat, pendaki, ton kulit sederhana gelap
🧗🏿	bukit, gunung, orang memanjat, orang mendaki, orang mendaki: ton kulit gelap, panjat, pemanjat, pendaki, ton kulit gelap
🧗‍♂	lelaki mendaki, pendaki
🧗🏻‍♂	lelaki mendaki, lelaki mendaki: ton kulit cerah, pendaki, ton kulit cerah
🧗🏼‍♂	lelaki mendaki, lelaki mendaki: ton kulit sederhana cerah, pendaki, ton kulit sederhana cerah
🧗🏽‍♂	lelaki mendaki, lelaki mendaki: ton kulit sederhana, pendaki, ton kulit sederhana
🧗🏾‍♂	lelaki mendaki, lelaki mendaki: ton kulit sederhana gelap, pendaki, ton kulit sederhana gelap
🧗🏿‍♂	lelaki mendaki, lelaki mendaki: ton kulit gelap, pendaki, ton kulit gelap
🧗‍♀	pendaki, wanita mendaki
🧗🏻‍♀	pendaki, ton kulit cerah, wanita mendaki, wanita mendaki: ton kulit cerah
🧗🏼‍♀	pendaki, ton kulit sederhana cerah, wanita mendaki, wanita mendaki: ton kulit sederhana cerah
🧗🏽‍♀	pendaki, ton kulit sederhana, wanita mendaki, wanita mendaki: ton kulit sederhana
🧗🏾‍♀	pendaki, ton kulit sederhana gelap, wanita mendaki, wanita mendaki: ton kulit sederhana gelap
🧗🏿‍♀	pendaki, ton kulit gelap, wanita mendaki, wanita mendaki: ton kulit gelap
🤺	bermain pedang, orang, pemain pedang, sukan
🏇	joki, kuda, lumba, lumba kuda, menunggang, perlumbaan, sukan
🏇🏻	joki, kuda, lumba, lumba kuda: ton kulit cerah, menunggang, perlumbaan, sukan, ton kulit cerah
🏇🏼	joki, kuda, lumba, lumba kuda: ton kulit sederhana cerah, menunggang, perlumbaan, sukan, ton kulit sederhana cerah
🏇🏽	joki, kuda, lumba, lumba kuda: ton kulit sederhana, menunggang, perlumbaan, sukan, ton kulit sederhana
🏇🏾	joki, kuda, lumba, lumba kuda: ton kulit sederhana gelap, menunggang, perlumbaan, sukan, ton kulit sederhana gelap
🏇🏿	joki, kuda, lumba, lumba kuda: ton kulit gelap, menunggang, perlumbaan, sukan, ton kulit gelap
⛷️	pemain ski, salji, ski
🏂️	papan luncur salji, peluncur papan salji, salji, ski
🏂🏻	papan luncur salji, peluncur papan salji, peluncur papan salji: ton kulit cerah, salji, ski, ton kulit cerah
🏂🏼	papan luncur salji, peluncur papan salji, peluncur papan salji: ton kulit sederhana cerah, salji, ski, ton kulit sederhana cerah
🏂🏽	papan luncur salji, peluncur papan salji, peluncur papan salji: ton kulit sederhana, salji, ski, ton kulit sederhana
🏂🏾	papan luncur salji, peluncur papan salji, peluncur papan salji: ton kulit sederhana gelap, salji, ski, ton kulit sederhana gelap
🏂🏿	papan luncur salji, peluncur papan salji, peluncur papan salji: ton kulit gelap, salji, ski, ton kulit gelap
🏌️	PGA, birdi, bola, golf, hijau, pemain golf, sukan
🏌🏻	PGA, birdi, bola, golf, hijau, pemain golf, pemain golf: ton kulit cerah, sukan, ton kulit cerah
🏌🏼	PGA, birdi, bola, golf, hijau, pemain golf, pemain golf: ton kulit sederhana cerah, sukan, ton kulit sederhana cerah
🏌🏽	PGA, birdi, bola, golf, hijau, pemain golf, pemain golf: ton kulit sederhana, sukan, ton kulit sederhana
🏌🏾	PGA, birdi, bola, golf, hijau, pemain golf, pemain golf: ton kulit sederhana gelap, sukan, ton kulit sederhana gelap
🏌🏿	PGA, birdi, bola, golf, hijau, pemain golf, pemain golf: ton kulit gelap, sukan, ton kulit gelap
🏌‍♂	golf, lelaki, lelaki bermain golf
🏌🏻‍♂	golf, lelaki, lelaki bermain golf, lelaki bermain golf: ton kulit cerah, ton kulit cerah
🏌🏼‍♂	golf, lelaki, lelaki bermain golf, lelaki bermain golf: ton kulit sederhana cerah, ton kulit sederhana cerah
🏌🏽‍♂	golf, lelaki, lelaki bermain golf, lelaki bermain golf: ton kulit sederhana, ton kulit sederhana
🏌🏾‍♂	golf, lelaki, lelaki bermain golf, lelaki bermain golf: ton kulit sederhana gelap, ton kulit sederhana gelap
🏌🏿‍♂	golf, lelaki, lelaki bermain golf, lelaki bermain golf: ton kulit gelap, ton kulit gelap
🏌‍♀	golf, perempuan, wanita, wanita bermain golf
🏌🏻‍♀	golf, perempuan, ton kulit cerah, wanita, wanita bermain golf, wanita bermain golf: ton kulit cerah
🏌🏼‍♀	golf, perempuan, ton kulit sederhana cerah, wanita, wanita bermain golf, wanita bermain golf: ton kulit sederhana cerah
🏌🏽‍♀	golf, perempuan, ton kulit sederhana, wanita, wanita bermain golf, wanita bermain golf: ton kulit sederhana
🏌🏾‍♀	golf, perempuan, ton kulit sederhana gelap, wanita, wanita bermain golf, wanita bermain golf: ton kulit sederhana gelap
🏌🏿‍♀	golf, perempuan, ton kulit gelap, wanita, wanita bermain golf, wanita bermain golf: ton kulit gelap
🏄️	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, sukan
🏄🏻	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, peluncur air: ton kulit cerah, sukan, ton kulit cerah
🏄🏼	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, peluncur air: ton kulit sederhana cerah, sukan, ton kulit sederhana cerah
🏄🏽	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, peluncur air: ton kulit sederhana, sukan, ton kulit sederhana
🏄🏾	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, peluncur air: ton kulit sederhana gelap, sukan, ton kulit sederhana gelap
🏄🏿	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, peluncur air: ton kulit gelap, sukan, ton kulit gelap
🏄‍♂	lelaki, lelaki meluncur air, meluncur air
🏄🏻‍♂	lelaki, lelaki meluncur air, lelaki meluncur air: ton kulit cerah, meluncur air, ton kulit cerah
🏄🏼‍♂	lelaki, lelaki meluncur air, lelaki meluncur air: ton kulit sederhana cerah, meluncur air, ton kulit sederhana cerah
🏄🏽‍♂	lelaki, lelaki meluncur air, lelaki meluncur air: ton kulit sederhana, meluncur air, ton kulit sederhana
🏄🏾‍♂	lelaki, lelaki meluncur air, lelaki meluncur air: ton kulit sederhana gelap, meluncur air, ton kulit sederhana gelap
🏄🏿‍♂	lelaki, lelaki meluncur air, lelaki meluncur air: ton kulit gelap, meluncur air, ton kulit gelap
🏄‍♀	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, perempuan, sukan, wanita, wanita meluncur air
🏄🏻‍♀	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, perempuan, sukan, ton kulit cerah, wanita, wanita meluncur air: ton kulit cerah
🏄🏼‍♀	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, perempuan, sukan, ton kulit sederhana cerah, wanita, wanita meluncur air: ton kulit sederhana cerah
🏄🏽‍♀	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, perempuan, sukan, ton kulit sederhana, wanita, wanita meluncur air: ton kulit sederhana
🏄🏾‍♀	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, perempuan, sukan, ton kulit sederhana gelap, wanita, wanita meluncur air: ton kulit sederhana gelap
🏄🏿‍♀	lautan, meluncur, mengimbang badan, ombak, orang, pantai, peluncur air, perempuan, sukan, ton kulit gelap, wanita, wanita meluncur air: ton kulit gelap
🚣	berkanu, bot, dayung, kapal, kayuh, memancing, orang, orang mendayung sampan, sampan, sungai, tasik
🚣🏻	berkanu, bot, dayung, kapal, kayuh, memancing, orang, orang mendayung sampan: ton kulit cerah, sampan, sungai, tasik, ton kulit cerah
🚣🏼	berkanu, bot, dayung, kapal, kayuh, memancing, orang, orang mendayung sampan: ton kulit sederhana cerah, sampan, sungai, tasik, ton kulit sederhana cerah
🚣🏽	berkanu, bot, dayung, kapal, kayuh, memancing, orang, orang mendayung sampan: ton kulit sederhana, sampan, sungai, tasik, ton kulit sederhana
🚣🏾	berkanu, bot, dayung, kapal, kayuh, memancing, orang, orang mendayung sampan: ton kulit sederhana gelap, sampan, sungai, tasik, ton kulit sederhana gelap
🚣🏿	berkanu, bot, dayung, kapal, kayuh, memancing, orang, orang mendayung sampan: ton kulit gelap, sampan, sungai, tasik, ton kulit gelap
🚣‍♂	dayung sampan, lelaki, lelaki mendayung sampan, sampan
🚣🏻‍♂	dayung sampan, lelaki, lelaki mendayung sampan, lelaki mendayung sampan: ton kulit cerah, sampan, ton kulit cerah
🚣🏼‍♂	dayung sampan, lelaki, lelaki mendayung sampan, lelaki mendayung sampan: ton kulit sederhana cerah, sampan, ton kulit sederhana cerah
🚣🏽‍♂	dayung sampan, lelaki, lelaki mendayung sampan, lelaki mendayung sampan: ton kulit sederhana, sampan, ton kulit sederhana
🚣🏾‍♂	dayung sampan, lelaki, lelaki mendayung sampan, lelaki mendayung sampan: ton kulit sederhana gelap, sampan, ton kulit sederhana gelap
🚣🏿‍♂	dayung sampan, lelaki, lelaki mendayung sampan, lelaki mendayung sampan: ton kulit gelap, sampan, ton kulit gelap
🚣‍♀	dayung sampan, perempuan, sampan, wanita, wanita mendayung sampan
🚣🏻‍♀	dayung sampan, perempuan, sampan, ton kulit cerah, wanita, wanita mendayung sampan, wanita mendayung sampan: ton kulit cerah
🚣🏼‍♀	dayung sampan, perempuan, sampan, ton kulit sederhana cerah, wanita, wanita mendayung sampan, wanita mendayung sampan: ton kulit sederhana cerah
🚣🏽‍♀	dayung sampan, perempuan, sampan, ton kulit sederhana, wanita, wanita mendayung sampan, wanita mendayung sampan: ton kulit sederhana
🚣🏾‍♀	dayung sampan, perempuan, sampan, ton kulit sederhana gelap, wanita, wanita mendayung sampan, wanita mendayung sampan: ton kulit sederhana gelap
🚣🏿‍♀	dayung sampan, perempuan, sampan, ton kulit gelap, wanita, wanita mendayung sampan, wanita mendayung sampan: ton kulit gelap
🏊️	berenang, orang, perenang, sukan, sukan air, triatlon
🏊🏻	berenang, orang, perenang, perenang: ton kulit cerah, sukan, sukan air, ton kulit cerah, triatlon
🏊🏼	berenang, orang, perenang, perenang: ton kulit sederhana cerah, sukan, sukan air, ton kulit sederhana cerah, triatlon
🏊🏽	berenang, orang, perenang, perenang: ton kulit sederhana, sukan, sukan air, ton kulit sederhana, triatlon
🏊🏾	berenang, orang, perenang, perenang: ton kulit sederhana gelap, sukan, sukan air, ton kulit sederhana gelap, triatlon
🏊🏿	berenang, orang, perenang, perenang: ton kulit gelap, sukan, sukan air, ton kulit gelap, triatlon
🏊‍♂	berenang, lelaki, lelaki berenang
🏊🏻‍♂	berenang, lelaki, lelaki berenang: ton kulit cerah, ton kulit cerah
🏊🏼‍♂	berenang, lelaki, lelaki berenang: ton kulit sederhana cerah, ton kulit sederhana cerah
🏊🏽‍♂	berenang, lelaki, lelaki berenang: ton kulit sederhana, ton kulit sederhana
🏊🏾‍♂	berenang, lelaki, lelaki berenang: ton kulit sederhana gelap, ton kulit sederhana gelap
🏊🏿‍♂	berenang, lelaki, lelaki berenang: ton kulit gelap, ton kulit gelap
🏊‍♀	berenang, perempuan, wanita, wanita berenang
🏊🏻‍♀	berenang, perempuan, ton kulit cerah, wanita, wanita berenang: ton kulit cerah
🏊🏼‍♀	berenang, perempuan, ton kulit sederhana cerah, wanita, wanita berenang: ton kulit sederhana cerah
🏊🏽‍♀	berenang, perempuan, ton kulit sederhana, wanita, wanita berenang: ton kulit sederhana
🏊🏾‍♀	berenang, perempuan, ton kulit sederhana gelap, wanita, wanita berenang: ton kulit sederhana gelap
🏊🏿‍♀	berenang, perempuan, ton kulit gelap, wanita, wanita berenang: ton kulit gelap
⛹️	bola, bola keranjang, jaring, kejohanan, lantun, lontar, melantun, orang, orang melantun bola, pemain, perlawanan
⛹🏻	bola, bola keranjang, jaring, kejohanan, lantun, lontar, melantun, orang, orang melantun bola: ton kulit cerah, pemain, perlawanan, ton kulit cerah
⛹🏼	bola, bola keranjang, jaring, kejohanan, lantun, lontar, melantun, orang, orang melantun bola: ton kulit sederhana cerah, pemain, perlawanan, ton kulit sederhana cerah
⛹🏽	bola, bola keranjang, jaring, kejohanan, lantun, lontar, melantun, orang, orang melantun bola: ton kulit sederhana, pemain, perlawanan, ton kulit sederhana
⛹🏾	bola, bola keranjang, jaring, kejohanan, lantun, lontar, melantun, orang, orang melantun bola: ton kulit sederhana gelap, pemain, perlawanan, ton kulit sederhana gelap
⛹🏿	bola, bola keranjang, jaring, kejohanan, lantun, lontar, melantun, orang, orang melantun bola: ton kulit gelap, pemain, perlawanan, ton kulit gelap
⛹‍♂	bola, lelaki, lelaki melantun bola
⛹🏻‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit cerah, ton kulit cerah
⛹🏼‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit sederhana cerah, ton kulit sederhana cerah
⛹🏽‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit sederhana, ton kulit sederhana
⛹🏾‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit sederhana gelap, ton kulit sederhana gelap
⛹🏿‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit gelap, ton kulit gelap
⛹‍♀	bola, bola keranjang, jaring, kejohanan, lantun, lontar, pemain, perempuan, perlawanan, wanita, wanita melantun bola
⛹🏻‍♀	bola, bola keranjang, jaring, kejohanan, lantun, lontar, pemain, perempuan, perlawanan, ton kulit cerah, wanita, wanita melantun bola: ton kulit cerah
⛹🏼‍♀	bola, bola keranjang, jaring, kejohanan, lantun, lontar, pemain, perempuan, perlawanan, ton kulit sederhana cerah, wanita, wanita melantun bola: ton kulit sederhana cerah
⛹🏽‍♀	bola, bola keranjang, jaring, kejohanan, lantun, lontar, pemain, perempuan, perlawanan, ton kulit sederhana, wanita, wanita melantun bola: ton kulit sederhana
