‾	föléhúzás, fölülhúzás, fölülvonás
🧝🏼	fantasy, kobold, közepesen világos bőrtónus, manó, mese, mágikus, tünde, tünde: közepesen világos bőrtónus, varázslat, varázslatos
🧝🏽	fantasy, kobold, közepes bőrtónus, manó, mese, mágikus, tünde, tünde: közepes bőrtónus, varázslat, varázslatos
🧝🏾	fantasy, kobold, közepesen sötét bőrtónus, manó, mese, mágikus, tünde, tünde: közepesen sötét bőrtónus, varázslat, varázslatos
🧝🏿	fantasy, kobold, manó, mese, mágikus, sötét bőrtónus, tünde, tünde: sötét bőrtónus, varázslat, varázslatos
🧝‍♂	férfi tünde, mágikus
🧝🏻‍♂	férfi tünde, férfi tünde: világos bőrtónus, mágikus, világos bőrtónus
🧝🏼‍♂	férfi tünde, férfi tünde: közepesen világos bőrtónus, közepesen világos bőrtónus, mágikus
🧝🏽‍♂	férfi tünde, férfi tünde: közepes bőrtónus, közepes bőrtónus, mágikus
🧝🏾‍♂	férfi tünde, férfi tünde: közepesen sötét bőrtónus, közepesen sötét bőrtónus, mágikus
🧝🏿‍♂	férfi tünde, férfi tünde: sötét bőrtónus, mágikus, sötét bőrtónus
🧝‍♀	mágikus, női tünde
🧝🏻‍♀	mágikus, női tünde, női tünde: világos bőrtónus, világos bőrtónus
🧝🏼‍♀	közepesen világos bőrtónus, mágikus, női tünde, női tünde: közepesen világos bőrtónus
🧝🏽‍♀	közepes bőrtónus, mágikus, női tünde, női tünde: közepes bőrtónus
🧝🏾‍♀	közepesen sötét bőrtónus, mágikus, női tünde, női tünde: közepesen sötét bőrtónus
🧝🏿‍♀	mágikus, női tünde, női tünde: sötét bőrtónus, sötét bőrtónus
🧞	Dzsini, dzsinn, kívánság, lámpa, lámpás, lámpás szelleme, mese, olajlámpás, szellem, varázslámpás
🧞‍♂	dzsinn, férfi dzsinn
🧞‍♀	dzsinn, női dzsinn
🧟	csontváz, félelmetes, horror, ijesztő, sétáló halott, zombi, élőhalott, élőholt
🧟‍♂	férfi zombi, sétáló halott, élőhalott, élőholt
🧟‍♀	női zombi, sétáló halott, élőhalott, élőholt
🧌	képzelet, szörny, troll, tündérmese
💆	arc, arcmasszázs, fejfájás, feszültség, kozmetika, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon
💆🏻	arc, arcmasszázs, arcmasszázs: világos bőrtónus, fejfájás, feszültség, kozmetika, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon, világos bőrtónus
💆🏼	arc, arcmasszázs, arcmasszázs: közepesen világos bőrtónus, fejfájás, feszültség, kozmetika, közepesen világos bőrtónus, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon
💆🏽	arc, arcmasszázs, arcmasszázs: közepes bőrtónus, fejfájás, feszültség, kozmetika, közepes bőrtónus, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon
💆🏾	arc, arcmasszázs, arcmasszázs: közepesen sötét bőrtónus, fejfájás, feszültség, kozmetika, közepesen sötét bőrtónus, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon
💆🏿	arc, arcmasszázs, arcmasszázs: sötét bőrtónus, fejfájás, feszültség, kozmetika, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon, sötét bőrtónus
💆‍♂	arc, arcmasszázs, enyhít, fejfájás, feszültség, férfi, férfi arcmasszázson, kozmetika, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon
💆🏻‍♂	arc, arcmasszázs, enyhít, fejfájás, feszültség, férfi, férfi arcmasszázson, férfi arcmasszázson: világos bőrtónus, kozmetika, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon, világos bőrtónus
💆🏼‍♂	arc, arcmasszázs, enyhít, fejfájás, feszültség, férfi, férfi arcmasszázson, férfi arcmasszázson: közepesen világos bőrtónus, kozmetika, közepesen világos bőrtónus, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon
💆🏽‍♂	arc, arcmasszázs, enyhít, fejfájás, feszültség, férfi, férfi arcmasszázson, férfi arcmasszázson: közepes bőrtónus, kozmetika, közepes bőrtónus, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon
💆🏾‍♂	arc, arcmasszázs, enyhít, fejfájás, feszültség, férfi, férfi arcmasszázson, férfi arcmasszázson: közepesen sötét bőrtónus, kozmetika, közepesen sötét bőrtónus, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon
💆🏿‍♂	arc, arcmasszázs, enyhít, fejfájás, feszültség, férfi, férfi arcmasszázson, férfi arcmasszázson: sötét bőrtónus, kozmetika, masszázs, masszíroz, relaxáció, relaxál, szalon, szépségszalon, sötét bőrtónus
💆‍♀	arc, masszázs, nő, nő arcmasszázson
💆🏻‍♀	arc, masszázs, nő, nő arcmasszázson, nő arcmasszázson: világos bőrtónus, világos bőrtónus
💆🏼‍♀	arc, közepesen világos bőrtónus, masszázs, nő, nő arcmasszázson, nő arcmasszázson: közepesen világos bőrtónus
💆🏽‍♀	arc, közepes bőrtónus, masszázs, nő, nő arcmasszázson, nő arcmasszázson: közepes bőrtónus
💆🏾‍♀	arc, közepesen sötét bőrtónus, masszázs, nő, nő arcmasszázson, nő arcmasszázson: közepesen sötét bőrtónus
💆🏿‍♀	arc, masszázs, nő, nő arcmasszázson, nő arcmasszázson: sötét bőrtónus, sötét bőrtónus
💇	fodrász, fodrászat, haj, hajnyírás, hajvágás, nő fodrásznál, szépségápolás
💇🏻	fodrász, fodrászat, haj, hajnyírás, hajvágás, hajvágás: világos bőrtónus, nő fodrásznál, szépségápolás, világos bőrtónus
💇🏼	fodrász, fodrászat, haj, hajnyírás, hajvágás, hajvágás: közepesen világos bőrtónus, közepesen világos bőrtónus, nő fodrásznál, szépségápolás
💇🏽	fodrász, fodrászat, haj, hajnyírás, hajvágás, hajvágás: közepes bőrtónus, közepes bőrtónus, nő fodrásznál, szépségápolás
💇🏾	fodrász, fodrászat, haj, hajnyírás, hajvágás, hajvágás: közepesen sötét bőrtónus, közepesen sötét bőrtónus, nő fodrásznál, szépségápolás
💇🏿	fodrász, fodrászat, haj, hajnyírás, hajvágás, hajvágás: sötét bőrtónus, nő fodrásznál, szépségápolás, sötét bőrtónus
💇‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, haj, hajnyírás, hajvágás
💇🏻‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, férfi fodrásznál: világos bőrtónus, haj, hajnyírás, hajvágás, világos bőrtónus
💇🏼‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, férfi fodrásznál: közepesen világos bőrtónus, haj, hajnyírás, hajvágás, közepesen világos bőrtónus
💇🏽‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, férfi fodrásznál: közepes bőrtónus, haj, hajnyírás, hajvágás, közepes bőrtónus
💇🏾‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, férfi fodrásznál: közepesen sötét bőrtónus, haj, hajnyírás, hajvágás, közepesen sötét bőrtónus
💇🏿‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, férfi fodrásznál: sötét bőrtónus, haj, hajnyírás, hajvágás, sötét bőrtónus
💇‍♀	fodrász, fodrászat, haj, hajvágás, nő, nő fodrásznál
💇🏻‍♀	fodrász, fodrászat, haj, hajvágás, nő, nő fodrásznál, nő fodrásznál: világos bőrtónus, világos bőrtónus
💇🏼‍♀	fodrász, fodrászat, haj, hajvágás, közepesen világos bőrtónus, nő, nő fodrásznál, nő fodrásznál: közepesen világos bőrtónus
💇🏽‍♀	fodrász, fodrászat, haj, hajvágás, közepes bőrtónus, nő, nő fodrásznál, nő fodrásznál: közepes bőrtónus
💇🏾‍♀	fodrász, fodrászat, haj, hajvágás, közepesen sötét bőrtónus, nő, nő fodrásznál, nő fodrásznál: közepesen sötét bőrtónus
💇🏿‍♀	fodrász, fodrászat, haj, hajvágás, nő, nő fodrásznál, nő fodrásznál: sötét bőrtónus, sötét bőrtónus
🚶	férfi, gyaloglás, gyalogos, séta, sétáló, túra
🚶🏻	férfi, gyaloglás, gyalogos, gyalogos: világos bőrtónus, séta, sétáló, túra, világos bőrtónus
🚶🏼	férfi, gyaloglás, gyalogos, gyalogos: közepesen világos bőrtónus, közepesen világos bőrtónus, séta, sétáló, túra
🚶🏽	férfi, gyaloglás, gyalogos, gyalogos: közepes bőrtónus, közepes bőrtónus, séta, sétáló, túra
🚶🏾	férfi, gyaloglás, gyalogos, gyalogos: közepesen sötét bőrtónus, közepesen sötét bőrtónus, séta, sétáló, túra
🚶🏿	férfi, gyaloglás, gyalogos, gyalogos: sötét bőrtónus, séta, sétáló, sötét bőrtónus, túra
🚶‍♂	férfi, séta, sétáló, sétáló férfi, túra
🚶🏻‍♂	férfi, séta, sétáló, sétáló férfi: világos bőrtónus, túra, világos bőrtónus
🚶🏼‍♂	férfi, közepesen világos bőrtónus, séta, sétáló, sétáló férfi: közepesen világos bőrtónus, túra
🚶🏽‍♂	férfi, közepes bőrtónus, séta, sétáló, sétáló férfi: közepes bőrtónus, túra
🚶🏾‍♂	férfi, közepesen sötét bőrtónus, séta, sétáló, sétáló férfi: közepesen sötét bőrtónus, túra
🚶🏿‍♂	férfi, séta, sétáló, sétáló férfi: sötét bőrtónus, sötét bőrtónus, túra
🚶‍♀	gyalog, gyalogol, gyalogos, megy, nő, séta, sétáló, sétáló nő, túra
🚶🏻‍♀	gyalog, gyalogol, gyalogos, megy, nő, séta, sétáló, sétáló nő: világos bőrtónus, túra, világos bőrtónus
🚶🏼‍♀	gyalog, gyalogol, gyalogos, közepesen világos bőrtónus, megy, nő, séta, sétáló, sétáló nő: közepesen világos bőrtónus, túra
🚶🏽‍♀	gyalog, gyalogol, gyalogos, közepes bőrtónus, megy, nő, séta, sétáló, sétáló nő: közepes bőrtónus, túra
🚶🏾‍♀	gyalog, gyalogol, gyalogos, közepesen sötét bőrtónus, megy, nő, séta, sétáló, sétáló nő: közepesen sötét bőrtónus, túra
🚶🏿‍♀	gyalog, gyalogol, gyalogos, megy, nő, séta, sétáló, sétáló nő: sötét bőrtónus, sötét bőrtónus, túra
🚶‍➡	férfi, gyaloglás, gyalogos, jobbra néző gyalogos, séta, sétáló, túra
🚶🏻‍➡	férfi, gyaloglás, gyalogos, jobbra néző gyalogos, séta, sétáló, túra
🚶🏼‍➡	férfi, gyaloglás, gyalogos, jobbra néző gyalogos, séta, sétáló, túra
🚶🏽‍➡	férfi, gyaloglás, gyalogos, jobbra néző gyalogos, séta, sétáló, túra
🚶🏾‍➡	férfi, gyaloglás, gyalogos, jobbra néző gyalogos, séta, sétáló, túra
🚶🏿‍➡	férfi, gyaloglás, gyalogos, jobbra néző gyalogos, séta, sétáló, túra
🚶‍♀‍➡	gyalog, gyalogol, gyalogos, jobbra néző sétáló nő, megy, nő, séta, sétáló, túra
🚶🏻‍♀‍➡	gyalog, gyalogol, gyalogos, jobbra néző sétáló nő, megy, nő, séta, sétáló, túra
🚶🏼‍♀‍➡	gyalog, gyalogol, gyalogos, jobbra néző sétáló nő, megy, nő, séta, sétáló, túra
🚶🏽‍♀‍➡	gyalog, gyalogol, gyalogos, jobbra néző sétáló nő, megy, nő, séta, sétáló, túra
🚶🏾‍♀‍➡	gyalog, gyalogol, gyalogos, jobbra néző sétáló nő, megy, nő, séta, sétáló, túra
🚶🏿‍♀‍➡	gyalog, gyalogol, gyalogos, jobbra néző sétáló nő, megy, nő, séta, sétáló, túra
🚶‍♂‍➡	férfi, jobbra néző sétáló férfi, séta, sétáló, túra
🚶🏻‍♂‍➡	férfi, jobbra néző sétáló férfi, séta, sétáló, túra
🚶🏼‍♂‍➡	férfi, jobbra néző sétáló férfi, séta, sétáló, túra
🚶🏽‍♂‍➡	férfi, jobbra néző sétáló férfi, séta, sétáló, túra
🚶🏾‍♂‍➡	férfi, jobbra néző sétáló férfi, séta, sétáló, túra
🚶🏿‍♂‍➡	férfi, jobbra néző sétáló férfi, séta, sétáló, túra
🧍	áll, álló, álló ember
🧍🏻	világos bőrtónus, áll, álló, álló ember, álló ember: világos bőrtónus
🧍🏼	közepesen világos bőrtónus, áll, álló, álló ember, álló ember: közepesen világos bőrtónus
🧍🏽	közepes bőrtónus, áll, álló, álló ember, álló ember: közepes bőrtónus
🧍🏾	közepesen sötét bőrtónus, áll, álló, álló ember, álló ember: közepesen sötét bőrtónus
🧍🏿	sötét bőrtónus, áll, álló, álló ember, álló ember: sötét bőrtónus
🧍‍♂	férfi, áll, álló férfi
🧍🏻‍♂	férfi, világos bőrtónus, áll, álló férfi, álló férfi: világos bőrtónus
🧍🏼‍♂	férfi, közepesen világos bőrtónus, áll, álló férfi, álló férfi: közepesen világos bőrtónus
🧍🏽‍♂	férfi, közepes bőrtónus, áll, álló férfi, álló férfi: közepes bőrtónus
🧍🏾‍♂	férfi, közepesen sötét bőrtónus, áll, álló férfi, álló férfi: közepesen sötét bőrtónus
🧍🏿‍♂	férfi, sötét bőrtónus, áll, álló férfi, álló férfi: sötét bőrtónus
🧍‍♀	nő, áll, álló nő
🧍🏻‍♀	nő, világos bőrtónus, áll, álló nő, álló nő: világos bőrtónus
🧍🏼‍♀	közepesen világos bőrtónus, nő, áll, álló nő, álló nő: közepesen világos bőrtónus
🧍🏽‍♀	közepes bőrtónus, nő, áll, álló nő, álló nő: közepes bőrtónus
🧍🏾‍♀	közepesen sötét bőrtónus, nő, áll, álló nő, álló nő: közepesen sötét bőrtónus
🧍🏿‍♀	nő, sötét bőrtónus, áll, álló nő, álló nő: sötét bőrtónus
🧎	térdel, térdelő, térdelő ember
🧎🏻	térdel, térdelő, térdelő ember, térdelő ember: világos bőrtónus, világos bőrtónus
🧎🏼	közepesen világos bőrtónus, térdel, térdelő, térdelő ember, térdelő ember: közepesen világos bőrtónus
🧎🏽	közepes bőrtónus, térdel, térdelő, térdelő ember, térdelő ember: közepes bőrtónus
🧎🏾	közepesen sötét bőrtónus, térdel, térdelő, térdelő ember, térdelő ember: közepesen sötét bőrtónus
🧎🏿	sötét bőrtónus, térdel, térdelő, térdelő ember, térdelő ember: sötét bőrtónus
🧎‍♂	férfi, térdel, térdelő férfi
🧎🏻‍♂	férfi, térdel, térdelő férfi, térdelő férfi: világos bőrtónus, világos bőrtónus
🧎🏼‍♂	férfi, közepesen világos bőrtónus, térdel, térdelő férfi, térdelő férfi: közepesen világos bőrtónus
🧎🏽‍♂	férfi, közepes bőrtónus, térdel, térdelő férfi, térdelő férfi: közepes bőrtónus
🧎🏾‍♂	férfi, közepesen sötét bőrtónus, térdel, térdelő férfi, térdelő férfi: közepesen sötét bőrtónus
🧎🏿‍♂	férfi, sötét bőrtónus, térdel, térdelő férfi, térdelő férfi: sötét bőrtónus
🧎‍♀	nő, térdel, térdelő nő
🧎🏻‍♀	nő, térdel, térdelő nő, térdelő nő: világos bőrtónus, világos bőrtónus
🧎🏼‍♀	közepesen világos bőrtónus, nő, térdel, térdelő nő, térdelő nő: közepesen világos bőrtónus
🧎🏽‍♀	közepes bőrtónus, nő, térdel, térdelő nő, térdelő nő: közepes bőrtónus
🧎🏾‍♀	közepesen sötét bőrtónus, nő, térdel, térdelő nő, térdelő nő: közepesen sötét bőrtónus
🧎🏿‍♀	nő, sötét bőrtónus, térdel, térdelő nő, térdelő nő: sötét bőrtónus
🧎‍➡	jobbra néző térdelő ember, térdel, térdelő, térdelő ember
🧎🏻‍➡	jobbra néző térdelő ember, térdel, térdelő, térdelő ember
🧎🏼‍➡	jobbra néző térdelő ember, térdel, térdelő, térdelő ember
🧎🏽‍➡	jobbra néző térdelő ember, térdel, térdelő, térdelő ember
🧎🏾‍➡	jobbra néző térdelő ember, térdel, térdelő, térdelő ember
🧎🏿‍➡	jobbra néző térdelő ember, térdel, térdelő, térdelő ember
🧎‍♀‍➡	jobbra néző térdelő nő, nő, térdel, térdelő nő
🧎🏻‍♀‍➡	jobbra néző térdelő nő, nő, térdel, térdelő nő
🧎🏼‍♀‍➡	jobbra néző térdelő nő, nő, térdel, térdelő nő
🧎🏽‍♀‍➡	jobbra néző térdelő nő, nő, térdel, térdelő nő
🧎🏾‍♀‍➡	jobbra néző térdelő nő, nő, térdel, térdelő nő
🧎🏿‍♀‍➡	jobbra néző térdelő nő, nő, térdel, térdelő nő
🧎‍♂‍➡	férfi, jobbra néző térdelő férfi, térdel, térdelő férfi
🧎🏻‍♂‍➡	férfi, jobbra néző térdelő férfi, térdel, térdelő férfi
🧎🏼‍♂‍➡	férfi, jobbra néző térdelő férfi, térdel, térdelő férfi
🧎🏽‍♂‍➡	férfi, jobbra néző térdelő férfi, térdel, térdelő férfi
🧎🏾‍♂‍➡	férfi, jobbra néző térdelő férfi, térdel, térdelő férfi
🧎🏿‍♂‍➡	férfi, jobbra néző térdelő férfi, térdel, térdelő férfi
🧑‍🦯	akadálymentesség, ember fehér bottal, vak
