‾	trait suscrit
👳🏼‍♀	femme, femme avec turban, femme en turban, femme en turban : peau moyennement claire, peau moyennement claire, turban
👳🏽‍♀	femme, femme avec turban, femme en turban, femme en turban : peau légèrement mate, peau légèrement mate, turban
👳🏾‍♀	femme, femme avec turban, femme en turban, femme en turban : peau mate, peau mate, turban
👳🏿‍♀	femme, femme avec turban, femme en turban, femme en turban : peau foncée, peau foncée, turban
👲	casquette mao, chapeau, homme, homme avec casquette chinoise
👲🏻	casquette mao, chapeau, homme, homme avec casquette chinoise, homme avec casquette chinoise : peau claire, peau claire
👲🏼	casquette mao, chapeau, homme, homme avec casquette chinoise, homme avec casquette chinoise : peau moyennement claire, peau moyennement claire
👲🏽	casquette mao, chapeau, homme, homme avec casquette chinoise, homme avec casquette chinoise : peau légèrement mate, peau légèrement mate
👲🏾	casquette mao, chapeau, homme, homme avec casquette chinoise, homme avec casquette chinoise : peau mate, peau mate
👲🏿	casquette mao, chapeau, homme, homme avec casquette chinoise, homme avec casquette chinoise : peau foncée, peau foncée
🧕	bandana, femme avec foulard, femme avec un voile, foulard, hijab, mantilla, tichel, voile
🧕🏻	bandana, femme avec foulard, femme avec foulard : peau claire, femme avec un voile, foulard, hijab, mantilla, peau claire, tichel, voile
🧕🏼	bandana, femme avec foulard, femme avec foulard : peau moyennement claire, femme avec un voile, foulard, hijab, mantilla, peau moyennement claire, tichel, voile
🧕🏽	bandana, femme avec foulard, femme avec foulard : peau légèrement mate, femme avec un voile, foulard, hijab, mantilla, peau légèrement mate, tichel, voile
🧕🏾	bandana, femme avec foulard, femme avec foulard : peau mate, femme avec un voile, foulard, hijab, mantilla, peau mate, tichel, voile
🧕🏿	bandana, femme avec foulard, femme avec foulard : peau foncée, femme avec un voile, foulard, hijab, mantilla, peau foncée, tichel, voile
🤵	homme, marié, personne en smoking, personne mariée, smoking, élégant
🤵🏻	homme, marié, peau claire, personne en smoking, personne en smoking : peau claire, personne mariée, smoking, élégant
🤵🏼	homme, marié, peau moyennement claire, personne en smoking, personne en smoking : peau moyennement claire, personne mariée, smoking, élégant
🤵🏽	homme, marié, peau légèrement mate, personne en smoking, personne en smoking : peau légèrement mate, personne mariée, smoking, élégant
🤵🏾	homme, marié, peau mate, personne en smoking, personne en smoking : peau mate, personne mariée, smoking, élégant
🤵🏿	homme, marié, peau foncée, personne en smoking, personne en smoking : peau foncée, personne mariée, smoking, élégant
🤵‍♂	homme, homme en smoking, smoking
🤵🏻‍♂	homme, homme en smoking, homme en smoking : peau claire, peau claire, smoking
🤵🏼‍♂	homme, homme en smoking, homme en smoking : peau moyennement claire, peau moyennement claire, smoking
🤵🏽‍♂	homme, homme en smoking, homme en smoking : peau légèrement mate, peau légèrement mate, smoking
🤵🏾‍♂	homme, homme en smoking, homme en smoking : peau mate, peau mate, smoking
🤵🏿‍♂	homme, homme en smoking, homme en smoking : peau foncée, peau foncée, smoking
🤵‍♀	femme, femme en smoking, smoking
🤵🏻‍♀	femme, femme en smoking, femme en smoking : peau claire, peau claire, smoking
🤵🏼‍♀	femme, femme en smoking, femme en smoking : peau moyennement claire, peau moyennement claire, smoking
🤵🏽‍♀	femme, femme en smoking, femme en smoking : peau légèrement mate, peau légèrement mate, smoking
🤵🏾‍♀	femme, femme en smoking, femme en smoking : peau mate, peau mate, smoking
🤵🏿‍♀	femme, femme en smoking, femme en smoking : peau foncée, peau foncée, smoking
👰	mariage, mariée, mariée avec voile, personne mariée avec voile, voile
👰🏻	mariage, mariée, mariée avec voile, peau claire, personne mariée avec voile, personne mariée avec voile : peau claire, voile
👰🏼	mariage, mariée, mariée avec voile, peau moyennement claire, personne mariée avec voile, personne mariée avec voile : peau moyennement claire, voile
👰🏽	mariage, mariée, mariée avec voile, peau légèrement mate, personne mariée avec voile, personne mariée avec voile : peau légèrement mate, voile
👰🏾	mariage, mariée, mariée avec voile, peau mate, personne mariée avec voile, personne mariée avec voile : peau mate, voile
👰🏿	mariage, mariée, mariée avec voile, peau foncée, personne mariée avec voile, personne mariée avec voile : peau foncée, voile
👰‍♂	homme, homme avec voile, voile
👰🏻‍♂	homme, homme avec voile, homme avec voile : peau claire, peau claire, voile
👰🏼‍♂	homme, homme avec voile, homme avec voile : peau moyennement claire, peau moyennement claire, voile
👰🏽‍♂	homme, homme avec voile, homme avec voile : peau légèrement mate, peau légèrement mate, voile
👰🏾‍♂	homme, homme avec voile, homme avec voile : peau mate, peau mate, voile
👰🏿‍♂	homme, homme avec voile, homme avec voile : peau foncée, peau foncée, voile
👰‍♀	femme, femme avec voile, voile
👰🏻‍♀	femme, femme avec voile, femme avec voile : peau claire, peau claire, voile
👰🏼‍♀	femme, femme avec voile, femme avec voile : peau moyennement claire, peau moyennement claire, voile
👰🏽‍♀	femme, femme avec voile, femme avec voile : peau légèrement mate, peau légèrement mate, voile
👰🏾‍♀	femme, femme avec voile, femme avec voile : peau mate, peau mate, voile
👰🏿‍♀	femme, femme avec voile, femme avec voile : peau foncée, peau foncée, voile
🤰	enceinte, femme, femme enceinte
🤰🏻	enceinte, femme, femme enceinte : peau claire, peau claire
🤰🏼	enceinte, femme, femme enceinte : peau moyennement claire, peau moyennement claire
🤰🏽	enceinte, femme, femme enceinte : peau légèrement mate, peau légèrement mate
🤰🏾	enceinte, femme, femme enceinte : peau mate, peau mate
🤰🏿	enceinte, femme, femme enceinte : peau foncée, peau foncée
🫃	enceinte, grossesse, homme enceint, homme enceinte, personne enceinte, trop mangé, ventre
🫃🏻	enceinte, grossesse, homme enceint, homme enceinte, homme enceint : peau claire, peau claire, personne enceinte, trop mangé, ventre
🫃🏼	enceinte, grossesse, homme enceint, homme enceinte, homme enceint : peau moyennement claire, peau moyennement claire, personne enceinte, trop mangé, ventre
🫃🏽	enceinte, grossesse, homme enceint, homme enceinte, homme enceint : peau légèrement mate, peau légèrement mate, personne enceinte, trop mangé, ventre
🫃🏾	enceinte, grossesse, homme enceint, homme enceinte, homme enceint : peau mate, peau mate, personne enceinte, trop mangé, ventre
🫃🏿	enceinte, grossesse, homme enceint, homme enceinte, homme enceint : peau foncée, peau foncée, personne enceinte, trop mangé, ventre
🫄	enceinte, grossesse, personne enceinte, trop mangé, ventre
🫄🏻	enceinte, grossesse, peau claire, personne enceinte, personne enceinte : peau claire, trop mangé, ventre
🫄🏼	enceinte, grossesse, peau moyennement claire, personne enceinte, personne enceinte : peau moyennement claire, trop mangé, ventre
🫄🏽	enceinte, grossesse, peau légèrement mate, personne enceinte, personne enceinte : peau légèrement mate, trop mangé, ventre
🫄🏾	enceinte, grossesse, peau mate, personne enceinte, personne enceinte : peau mate, trop mangé, ventre
🫄🏿	enceinte, grossesse, peau foncée, personne enceinte, personne enceinte : peau foncée, trop mangé, ventre
🤱	allaitement, bébé, maman, nourrice, nourrir le bébé, sein, soins
🤱🏻	allaitement, allaitement : peau claire, bébé, maman, nourrice, nourrir le bébé, peau claire, sein, soins
🤱🏼	allaitement, allaitement : peau moyennement claire, bébé, maman, nourrice, nourrir le bébé, peau moyennement claire, sein, soins
🤱🏽	allaitement, allaitement : peau légèrement mate, bébé, maman, nourrice, nourrir le bébé, peau légèrement mate, sein, soins
🤱🏾	allaitement, allaitement : peau mate, bébé, maman, nourrice, nourrir le bébé, peau mate, sein, soins
🤱🏿	allaitement, allaitement : peau foncée, bébé, maman, nourrice, nourrir le bébé, peau foncée, sein, soins
👩‍🍼	allaitement, biberon, bébé, femme, femme allaitant un bébé, maman, mère, nounou, nouveau-né, personne
👩🏻‍🍼	allaitement, biberon, bébé, femme, femme allaitant un bébé, femme allaitant un bébé : peau claire, maman, mère, nounou, nouveau-né, peau claire, personne
👩🏼‍🍼	allaitement, biberon, bébé, femme, femme allaitant un bébé, femme allaitant un bébé : peau moyennement claire, maman, mère, nounou, nouveau-né, peau moyennement claire, personne
👩🏽‍🍼	allaitement, biberon, bébé, femme, femme allaitant un bébé, femme allaitant un bébé : peau légèrement mate, maman, mère, nounou, nouveau-né, peau légèrement mate, personne
👩🏾‍🍼	allaitement, biberon, bébé, femme, femme allaitant un bébé, femme allaitant un bébé : peau mate, maman, mère, nounou, nouveau-né, peau mate, personne
👩🏿‍🍼	allaitement, biberon, bébé, femme, femme allaitant un bébé, femme allaitant un bébé : peau foncée, maman, mère, nounou, nouveau-né, peau foncée, personne
👨‍🍼	allaitement, biberon, bébé, homme, homme allaitant un bébé, nouveau-né, papa, personne, père
👨🏻‍🍼	allaitement, biberon, bébé, homme, homme allaitant un bébé, homme allaitant un bébé : peau claire, nouveau-né, papa, peau claire, personne, père
👨🏼‍🍼	allaitement, biberon, bébé, homme, homme allaitant un bébé, homme allaitant un bébé : peau moyennement claire, nouveau-né, papa, peau moyennement claire, personne, père
👨🏽‍🍼	allaitement, biberon, bébé, homme, homme allaitant un bébé, homme allaitant un bébé : peau légèrement mate, nouveau-né, papa, peau légèrement mate, personne, père
👨🏾‍🍼	allaitement, biberon, bébé, homme, homme allaitant un bébé, homme allaitant un bébé : peau mate, nouveau-né, papa, peau mate, personne, père
👨🏿‍🍼	allaitement, biberon, bébé, homme, homme allaitant un bébé, homme allaitant un bébé : peau foncée, nouveau-né, papa, peau foncée, personne, père
🧑‍🍼	allaitement, biberon, bébé, homme, maman, mère, nounou, nouveau-né, papa, personne, personne allaitant un bébé, père
🧑🏻‍🍼	allaitement, biberon, bébé, homme, maman, mère, nounou, nouveau-né, papa, peau claire, personne, personne allaitant un bébé, personne allaitant un bébé : peau claire, père
🧑🏼‍🍼	allaitement, biberon, bébé, homme, maman, mère, nounou, nouveau-né, papa, peau moyennement claire, personne, personne allaitant un bébé, personne allaitant un bébé : peau moyennement claire, père
🧑🏽‍🍼	allaitement, biberon, bébé, homme, maman, mère, nounou, nouveau-né, papa, peau légèrement mate, personne, personne allaitant un bébé, personne allaitant un bébé : peau légèrement mate, père
🧑🏾‍🍼	allaitement, biberon, bébé, homme, maman, mère, nounou, nouveau-né, papa, peau mate, personne, personne allaitant un bébé, personne allaitant un bébé : peau mate, père
🧑🏿‍🍼	allaitement, biberon, bébé, homme, maman, mère, nounou, nouveau-né, papa, peau foncée, personne, personne allaitant un bébé, personne allaitant un bébé : peau foncée, père
👼	ailes, ange, auréole, bébé, bébé ange, fantastique, visage, église, émoticône
👼🏻	ailes, ange, auréole, bébé, bébé ange : peau claire, fantastique, peau claire, visage, église, émoticône
👼🏼	ailes, ange, auréole, bébé, bébé ange : peau moyennement claire, fantastique, peau moyennement claire, visage, église, émoticône
