‾	επάνω γραμμή
👷🏼‍♀	γυναίκα, δουλειά, εργάτρια, εργάτρια οικοδομής, εργάτρια οικοδομής: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καπέλο, κράνος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, οικοδομή, σκληρό καπέλο
👷🏽‍♀	γυναίκα, δουλειά, εργάτρια, εργάτρια οικοδομής, εργάτρια οικοδομής: μεσαίος τόνος δέρματος, καπέλο, κράνος, μεσαίος τόνος δέρματος, οικοδομή, σκληρό καπέλο
👷🏾‍♀	γυναίκα, δουλειά, εργάτρια, εργάτρια οικοδομής, εργάτρια οικοδομής: μεσαίος-σκούρος τόνος δέρματος, καπέλο, κράνος, μεσαίος-σκούρος τόνος δέρματος, οικοδομή, σκληρό καπέλο
👷🏿‍♀	γυναίκα, δουλειά, εργάτρια, εργάτρια οικοδομής, εργάτρια οικοδομής: σκούρος τόνος δέρματος, καπέλο, κράνος, οικοδομή, σκληρό καπέλο, σκούρος τόνος δέρματος
🫅	άτομο με στέμμα, βασιλιάς, ευγενής, μονάρχης
🫅🏻	άτομο με στέμμα, άτομο με στέμμα: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, βασιλιάς, ευγενής, μονάρχης
🫅🏼	άτομο με στέμμα, άτομο με στέμμα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, βασιλιάς, ευγενής, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μονάρχης
🫅🏽	άτομο με στέμμα, άτομο με στέμμα: μεσαίος τόνος δέρματος, βασιλιάς, ευγενής, μεσαίος τόνος δέρματος, μονάρχης
🫅🏾	άτομο με στέμμα, άτομο με στέμμα: μεσαίος-σκούρος τόνος δέρματος, βασιλιάς, ευγενής, μεσαίος-σκούρος τόνος δέρματος, μονάρχης
🫅🏿	άτομο με στέμμα, άτομο με στέμμα: σκούρος τόνος δέρματος, βασιλιάς, ευγενής, μονάρχης, σκούρος τόνος δέρματος
🤴	βασιλιάς, βασιλικός, παραμύθι, πρίγκιπας, στέμμα, φαντασία
🤴🏻	ανοιχτόχρωμος τόνος δέρματος, βασιλιάς, βασιλικός, παραμύθι, πρίγκιπας, πρίγκιπας: ανοιχτόχρωμος τόνος δέρματος, στέμμα, φαντασία
🤴🏼	βασιλιάς, βασιλικός, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, παραμύθι, πρίγκιπας, πρίγκιπας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, στέμμα, φαντασία
🤴🏽	βασιλιάς, βασιλικός, μεσαίος τόνος δέρματος, παραμύθι, πρίγκιπας, πρίγκιπας: μεσαίος τόνος δέρματος, στέμμα, φαντασία
🤴🏾	βασιλιάς, βασιλικός, μεσαίος-σκούρος τόνος δέρματος, παραμύθι, πρίγκιπας, πρίγκιπας: μεσαίος-σκούρος τόνος δέρματος, στέμμα, φαντασία
🤴🏿	βασιλιάς, βασιλικός, παραμύθι, πρίγκιπας, πρίγκιπας: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, στέμμα, φαντασία
👸	βασίλισσα, παραμύθι, πριγκίπισσα, στέμμα, φαντασία
👸🏻	ανοιχτόχρωμος τόνος δέρματος, βασίλισσα, παραμύθι, πριγκίπισσα, πριγκίπισσα: ανοιχτόχρωμος τόνος δέρματος, στέμμα, φαντασία
👸🏼	βασίλισσα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, παραμύθι, πριγκίπισσα, πριγκίπισσα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, στέμμα, φαντασία
👸🏽	βασίλισσα, μεσαίος τόνος δέρματος, παραμύθι, πριγκίπισσα, πριγκίπισσα: μεσαίος τόνος δέρματος, στέμμα, φαντασία
👸🏾	βασίλισσα, μεσαίος-σκούρος τόνος δέρματος, παραμύθι, πριγκίπισσα, πριγκίπισσα: μεσαίος-σκούρος τόνος δέρματος, στέμμα, φαντασία
👸🏿	βασίλισσα, παραμύθι, πριγκίπισσα, πριγκίπισσα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, στέμμα, φαντασία
👳	άτομο με τουρμπάνι, τουρμπάνι
👳🏻	άτομο με τουρμπάνι, άτομο με τουρμπάνι: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, τουρμπάνι
👳🏼	άτομο με τουρμπάνι, άτομο με τουρμπάνι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τουρμπάνι
👳🏽	άτομο με τουρμπάνι, άτομο με τουρμπάνι: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, τουρμπάνι
👳🏾	άτομο με τουρμπάνι, άτομο με τουρμπάνι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, τουρμπάνι
👳🏿	άτομο με τουρμπάνι, άτομο με τουρμπάνι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, τουρμπάνι
👳‍♂	άντρας, άντρας με τουρμπάνι, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏻‍♂	άντρας, άντρας με τουρμπάνι, άντρας με τουρμπάνι: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏼‍♂	άντρας, άντρας με τουρμπάνι, άντρας με τουρμπάνι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏽‍♂	άντρας, άντρας με τουρμπάνι, άντρας με τουρμπάνι: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏾‍♂	άντρας, άντρας με τουρμπάνι, άντρας με τουρμπάνι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏿‍♂	άντρας, άντρας με τουρμπάνι, άντρας με τουρμπάνι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳‍♀	γυναίκα, γυναίκα με τουρμπάνι, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα με τουρμπάνι, γυναίκα με τουρμπάνι: ανοιχτόχρωμος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏼‍♀	γυναίκα, γυναίκα με τουρμπάνι, γυναίκα με τουρμπάνι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏽‍♀	γυναίκα, γυναίκα με τουρμπάνι, γυναίκα με τουρμπάνι: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏾‍♀	γυναίκα, γυναίκα με τουρμπάνι, γυναίκα με τουρμπάνι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏿‍♀	γυναίκα, γυναίκα με τουρμπάνι, γυναίκα με τουρμπάνι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👲	άνδρας, άντρας με κινέζικο καπέλο, καπέλο, κινέζικο καπέλο
👲🏻	άνδρας, άντρας με κινέζικο καπέλο, άντρας με κινέζικο καπέλο: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, καπέλο, κινέζικο καπέλο
👲🏼	άνδρας, άντρας με κινέζικο καπέλο, άντρας με κινέζικο καπέλο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καπέλο, κινέζικο καπέλο, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👲🏽	άνδρας, άντρας με κινέζικο καπέλο, άντρας με κινέζικο καπέλο: μεσαίος τόνος δέρματος, καπέλο, κινέζικο καπέλο, μεσαίος τόνος δέρματος
👲🏾	άνδρας, άντρας με κινέζικο καπέλο, άντρας με κινέζικο καπέλο: μεσαίος-σκούρος τόνος δέρματος, καπέλο, κινέζικο καπέλο, μεσαίος-σκούρος τόνος δέρματος
👲🏿	άνδρας, άντρας με κινέζικο καπέλο, άντρας με κινέζικο καπέλο: σκούρος τόνος δέρματος, καπέλο, κινέζικο καπέλο, σκούρος τόνος δέρματος
🧕	γυναίκα με μαντίλα, μαντίλα, μαντίλα για το καφάλι, μαντίλα στο κεφάλι, μπαντάνα, χιτζάμπ
🧕🏻	ανοιχτόχρωμος τόνος δέρματος, γυναίκα με μαντίλα, γυναίκα με μαντίλα: ανοιχτόχρωμος τόνος δέρματος, μαντίλα, μαντίλα για το καφάλι, μαντίλα στο κεφάλι, μπαντάνα, χιτζάμπ
