‾	garis atas
🧝🏿	ajaib, dongeng, elf, fantasi, kurcaci: warna kulit gelap, makhluk gaib, mantra, manusia peri, mistis, peri, warna kulit gelap
🧝‍♂	ajaib, kurcaci pria
🧝🏻‍♂	ajaib, kurcaci pria, kurcaci pria: warna kulit cerah, warna kulit cerah
🧝🏼‍♂	ajaib, kurcaci pria, kurcaci pria: warna kulit cerah-sedang, warna kulit cerah-sedang
🧝🏽‍♂	ajaib, kurcaci pria, kurcaci pria: warna kulit sedang, warna kulit sedang
🧝🏾‍♂	ajaib, kurcaci pria, kurcaci pria: warna kulit gelap-sedang, warna kulit gelap-sedang
🧝🏿‍♂	ajaib, kurcaci pria, kurcaci pria: warna kulit gelap, warna kulit gelap
🧝‍♀	ajaib, kurcaci wanita
🧝🏻‍♀	ajaib, kurcaci wanita, kurcaci wanita: warna kulit cerah, warna kulit cerah
🧝🏼‍♀	ajaib, kurcaci wanita, kurcaci wanita: warna kulit cerah-sedang, warna kulit cerah-sedang
🧝🏽‍♀	ajaib, kurcaci wanita, kurcaci wanita: warna kulit sedang, warna kulit sedang
🧝🏾‍♀	ajaib, kurcaci wanita, kurcaci wanita: warna kulit gelap-sedang, warna kulit gelap-sedang
🧝🏿‍♀	ajaib, kurcaci wanita, kurcaci wanita: warna kulit gelap, warna kulit gelap
🧞	fantasi, gosok lampu, harapan, jin, jin bertubuh manusia, keinginan, mitos, permintaan
🧞‍♂	jin, jin pria
🧞‍♀	jin, jin wanita
🧟	apokalips, halloween, horor, kiamat, mayat hidup, seram, zombi, zombie
🧟‍♂	mayat berjalan, mayat hidup, zombi pria
🧟‍♀	mayat berjalan, mayat hidup, zombi wanita
🧌	dongeng, fantasi, monster, raksasa
💆	perempuan, pijat, pijit, pria dipijat, relaks, rileks, salon, santai, spa, tegang, tenang, terapi, wanita
💆🏻	perempuan, pijat, pijit, pria dipijat, pria dipijat: warna kulit cerah, relaks, rileks, salon, santai, spa, tegang, tenang, terapi, wanita, warna kulit cerah
💆🏼	perempuan, pijat, pijit, pria dipijat, pria dipijat: warna kulit cerah-sedang, relaks, rileks, salon, santai, spa, tegang, tenang, terapi, wanita, warna kulit cerah-sedang
💆🏽	perempuan, pijat, pijit, pria dipijat, pria dipijat: warna kulit sedang, relaks, rileks, salon, santai, spa, tegang, tenang, terapi, wanita, warna kulit sedang
💆🏾	perempuan, pijat, pijit, pria dipijat, pria dipijat: warna kulit gelap-sedang, relaks, rileks, salon, santai, spa, tegang, tenang, terapi, wanita, warna kulit gelap-sedang
💆🏿	perempuan, pijat, pijit, pria dipijat, pria dipijat: warna kulit gelap, relaks, rileks, salon, santai, spa, tegang, tenang, terapi, wanita, warna kulit gelap
💆‍♂	kepala, laki-laki, lelaki, pijat, pria dipijat kepalanya, relaks, santai
💆🏻‍♂	kepala, laki-laki, lelaki, pijat, pria dipijat kepalanya, pria dipijat kepalanya: warna kulit cerah, relaks, santai, warna kulit cerah
💆🏼‍♂	kepala, laki-laki, lelaki, pijat, pria dipijat kepalanya, pria dipijat kepalanya: warna kulit cerah-sedang, relaks, santai, warna kulit cerah-sedang
💆🏽‍♂	kepala, laki-laki, lelaki, pijat, pria dipijat kepalanya, pria dipijat kepalanya: warna kulit sedang, relaks, santai, warna kulit sedang
💆🏾‍♂	kepala, laki-laki, lelaki, pijat, pria dipijat kepalanya, pria dipijat kepalanya: warna kulit gelap-sedang, relaks, santai, warna kulit gelap-sedang
💆🏿‍♂	kepala, laki-laki, lelaki, pijat, pria dipijat kepalanya, pria dipijat kepalanya: warna kulit gelap, relaks, santai, warna kulit gelap
💆‍♀	kepala, perempuan, pijat, wanita dipijat
💆🏻‍♀	kepala, perempuan, pijat, wanita dipijat, wanita dipijat: warna kulit cerah, warna kulit cerah
💆🏼‍♀	kepala, perempuan, pijat, wanita dipijat, wanita dipijat: warna kulit cerah-sedang, warna kulit cerah-sedang
💆🏽‍♀	kepala, perempuan, pijat, wanita dipijat, wanita dipijat: warna kulit sedang, warna kulit sedang
💆🏾‍♀	kepala, perempuan, pijat, wanita dipijat, wanita dipijat: warna kulit gelap-sedang, warna kulit gelap-sedang
💆🏿‍♀	kepala, perempuan, pijat, wanita dipijat, wanita dipijat: warna kulit gelap, warna kulit gelap
💇	cantik, gaya rambut, kecantikan, orang potong rambut, perempuan, potong, rambut, salon, wanita
💇🏻	cantik, gaya rambut, kecantikan, orang potong rambut, orang potong rambut: warna kulit cerah, perempuan, potong, rambut, salon, wanita, warna kulit cerah
💇🏼	cantik, gaya rambut, kecantikan, orang potong rambut, orang potong rambut: warna kulit cerah-sedang, perempuan, potong, rambut, salon, wanita, warna kulit cerah-sedang
💇🏽	cantik, gaya rambut, kecantikan, orang potong rambut, orang potong rambut: warna kulit sedang, perempuan, potong, rambut, salon, wanita, warna kulit sedang
💇🏾	cantik, gaya rambut, kecantikan, orang potong rambut, orang potong rambut: warna kulit gelap-sedang, perempuan, potong, rambut, salon, wanita, warna kulit gelap-sedang
💇🏿	cantik, gaya rambut, kecantikan, orang potong rambut, orang potong rambut: warna kulit gelap, perempuan, potong, rambut, salon, wanita, warna kulit gelap
💇‍♂	kecantikan, pangkas rambut, pria, pria potong rambut, rambut, rambut pria dipangkas, tukan pangkas rambut
💇🏻‍♂	kecantikan, pangkas rambut, pria, pria potong rambut: warna kulit cerah, rambut, rambut pria dipangkas, tukan pangkas rambut, warna kulit cerah
💇🏼‍♂	kecantikan, pangkas rambut, pria, pria potong rambut: warna kulit cerah-sedang, rambut, rambut pria dipangkas, tukan pangkas rambut, warna kulit cerah-sedang
💇🏽‍♂	kecantikan, pangkas rambut, pria, pria potong rambut: warna kulit sedang, rambut, rambut pria dipangkas, tukan pangkas rambut, warna kulit sedang
💇🏾‍♂	kecantikan, pangkas rambut, pria, pria potong rambut: warna kulit gelap-sedang, rambut, rambut pria dipangkas, tukan pangkas rambut, warna kulit gelap-sedang
💇🏿‍♂	kecantikan, pangkas rambut, pria, pria potong rambut: warna kulit gelap, rambut, rambut pria dipangkas, tukan pangkas rambut, warna kulit gelap
💇‍♀	perempuan, potong, rambut, wanita potong rambut
💇🏻‍♀	perempuan, potong, rambut, wanita potong rambut, wanita potong rambut: warna kulit cerah, warna kulit cerah
💇🏼‍♀	perempuan, potong, rambut, wanita potong rambut, wanita potong rambut: warna kulit cerah-sedang, warna kulit cerah-sedang
💇🏽‍♀	perempuan, potong, rambut, wanita potong rambut, wanita potong rambut: warna kulit sedang, warna kulit sedang
💇🏾‍♀	perempuan, potong, rambut, wanita potong rambut, wanita potong rambut: warna kulit gelap-sedang, warna kulit gelap-sedang
💇🏿‍♀	perempuan, potong, rambut, wanita potong rambut, wanita potong rambut: warna kulit gelap, warna kulit gelap
🚶	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, pria
🚶🏻	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, orang berjalan kaki: warna kulit cerah, pria, warna kulit cerah
🚶🏼	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, orang berjalan kaki: warna kulit cerah-sedang, pria, warna kulit cerah-sedang
🚶🏽	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, orang berjalan kaki: warna kulit sedang, pria, warna kulit sedang
🚶🏾	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, orang berjalan kaki: warna kulit gelap-sedang, pria, warna kulit gelap-sedang
🚶🏿	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, orang berjalan kaki: warna kulit gelap, pria, warna kulit gelap
🚶‍♂	jalan, kaki, laki-laki, pria berjalan kaki
🚶🏻‍♂	jalan, kaki, laki-laki, pria berjalan kaki, pria berjalan kaki: warna kulit cerah, warna kulit cerah
🚶🏼‍♂	jalan, kaki, laki-laki, pria berjalan kaki, pria berjalan kaki: warna kulit cerah-sedang, warna kulit cerah-sedang
🚶🏽‍♂	jalan, kaki, laki-laki, pria berjalan kaki, pria berjalan kaki: warna kulit sedang, warna kulit sedang
🚶🏾‍♂	jalan, kaki, laki-laki, pria berjalan kaki, pria berjalan kaki: warna kulit gelap-sedang, warna kulit gelap-sedang
🚶🏿‍♂	jalan, kaki, laki-laki, pria berjalan kaki, pria berjalan kaki: warna kulit gelap, warna kulit gelap
🚶‍♀	jalan, kaki, perempuan, wanita, wanita berjalan kaki
🚶🏻‍♀	jalan, kaki, perempuan, wanita, wanita berjalan kaki, wanita berjalan kaki: warna kulit cerah, warna kulit cerah
🚶🏼‍♀	jalan, kaki, perempuan, wanita, wanita berjalan kaki, wanita berjalan kaki: warna kulit cerah-sedang, warna kulit cerah-sedang
🚶🏽‍♀	jalan, kaki, perempuan, wanita, wanita berjalan kaki, wanita berjalan kaki: warna kulit sedang, warna kulit sedang
🚶🏾‍♀	jalan, kaki, perempuan, wanita, wanita berjalan kaki, wanita berjalan kaki: warna kulit gelap-sedang, warna kulit gelap-sedang
🚶🏿‍♀	jalan, kaki, perempuan, wanita, wanita berjalan kaki, wanita berjalan kaki: warna kulit gelap, warna kulit gelap
🚶‍➡	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, orang berjalan kaki menghadap kanan, pria
🚶🏻‍➡	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, orang berjalan kaki menghadap kanan, pria
🚶🏼‍➡	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, orang berjalan kaki menghadap kanan, pria
🚶🏽‍➡	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, orang berjalan kaki menghadap kanan, pria
🚶🏾‍➡	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, orang berjalan kaki menghadap kanan, pria
🚶🏿‍➡	jalan, kaki, lelaki, melangkah, melenggang, orang berjalan kaki, orang berjalan kaki menghadap kanan, pria
🚶‍♀‍➡	jalan, kaki, perempuan, wanita, wanita berjalan kaki, wanita berjalan kaki menghadap kanan
🚶🏻‍♀‍➡	jalan, kaki, perempuan, wanita, wanita berjalan kaki, wanita berjalan kaki menghadap kanan
🚶🏼‍♀‍➡	jalan, kaki, perempuan, wanita, wanita berjalan kaki, wanita berjalan kaki menghadap kanan
🚶🏽‍♀‍➡	jalan, kaki, perempuan, wanita, wanita berjalan kaki, wanita berjalan kaki menghadap kanan
🚶🏾‍♀‍➡	jalan, kaki, perempuan, wanita, wanita berjalan kaki, wanita berjalan kaki menghadap kanan
🚶🏿‍♀‍➡	jalan, kaki, perempuan, wanita, wanita berjalan kaki, wanita berjalan kaki menghadap kanan
🚶‍♂‍➡	jalan, kaki, laki-laki, pria berjalan kaki, pria berjalan kaki menghadap kanan
🚶🏻‍♂‍➡	jalan, kaki, laki-laki, pria berjalan kaki, pria berjalan kaki menghadap kanan
🚶🏼‍♂‍➡	jalan, kaki, laki-laki, pria berjalan kaki, pria berjalan kaki menghadap kanan
🚶🏽‍♂‍➡	jalan, kaki, laki-laki, pria berjalan kaki, pria berjalan kaki menghadap kanan
🚶🏾‍♂‍➡	jalan, kaki, laki-laki, pria berjalan kaki, pria berjalan kaki menghadap kanan
🚶🏿‍♂‍➡	jalan, kaki, laki-laki, pria berjalan kaki, pria berjalan kaki menghadap kanan
🧍	berdiri, diri, orang berdiri
🧍🏻	berdiri, diri, orang berdiri, orang berdiri: warna kulit cerah, warna kulit cerah
🧍🏼	berdiri, diri, orang berdiri, orang berdiri: warna kulit cerah-sedang, warna kulit cerah-sedang
🧍🏽	berdiri, diri, orang berdiri, orang berdiri: warna kulit sedang, warna kulit sedang
🧍🏾	berdiri, diri, orang berdiri, orang berdiri: warna kulit gelap-sedang, warna kulit gelap-sedang
🧍🏿	berdiri, diri, orang berdiri, orang berdiri: warna kulit gelap, warna kulit gelap
🧍‍♂	berdiri, pria, pria berdiri
🧍🏻‍♂	berdiri, pria, pria berdiri: warna kulit cerah, warna kulit cerah
🧍🏼‍♂	berdiri, pria, pria berdiri: warna kulit cerah-sedang, warna kulit cerah-sedang
🧍🏽‍♂	berdiri, pria, pria berdiri: warna kulit sedang, warna kulit sedang
🧍🏾‍♂	berdiri, pria, pria berdiri: warna kulit gelap-sedang, warna kulit gelap-sedang
🧍🏿‍♂	berdiri, pria, pria berdiri: warna kulit gelap, warna kulit gelap
🧍‍♀	berdiri, wanita, wanita berdiri
🧍🏻‍♀	berdiri, wanita, wanita berdiri: warna kulit cerah, warna kulit cerah
🧍🏼‍♀	berdiri, wanita, wanita berdiri: warna kulit cerah-sedang, warna kulit cerah-sedang
🧍🏽‍♀	berdiri, wanita, wanita berdiri: warna kulit sedang, warna kulit sedang
🧍🏾‍♀	berdiri, wanita, wanita berdiri: warna kulit gelap-sedang, warna kulit gelap-sedang
🧍🏿‍♀	berdiri, wanita, wanita berdiri: warna kulit gelap, warna kulit gelap
🧎	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, simpuh
🧎🏻	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, orang berlutut: warna kulit cerah, simpuh, warna kulit cerah
🧎🏼	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, orang berlutut: warna kulit cerah-sedang, simpuh, warna kulit cerah-sedang
🧎🏽	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, orang berlutut: warna kulit sedang, simpuh, warna kulit sedang
🧎🏾	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, orang berlutut: warna kulit gelap-sedang, simpuh, warna kulit gelap-sedang
🧎🏿	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, orang berlutut: warna kulit gelap, simpuh, warna kulit gelap
🧎‍♂	berlutut, pria, pria berlutut
🧎🏻‍♂	berlutut, pria, pria berlutut: warna kulit cerah, warna kulit cerah
🧎🏼‍♂	berlutut, pria, pria berlutut: warna kulit cerah-sedang, warna kulit cerah-sedang
🧎🏽‍♂	berlutut, pria, pria berlutut: warna kulit sedang, warna kulit sedang
🧎🏾‍♂	berlutut, pria, pria berlutut: warna kulit gelap-sedang, warna kulit gelap-sedang
🧎🏿‍♂	berlutut, pria, pria berlutut: warna kulit gelap, warna kulit gelap
🧎‍♀	berlutut, wanita, wanita berlutut
🧎🏻‍♀	berlutut, wanita, wanita berlutut: warna kulit cerah, warna kulit cerah
🧎🏼‍♀	berlutut, wanita, wanita berlutut: warna kulit cerah-sedang, warna kulit cerah-sedang
🧎🏽‍♀	berlutut, wanita, wanita berlutut: warna kulit sedang, warna kulit sedang
🧎🏾‍♀	berlutut, wanita, wanita berlutut: warna kulit gelap-sedang, warna kulit gelap-sedang
🧎🏿‍♀	berlutut, wanita, wanita berlutut: warna kulit gelap, warna kulit gelap
🧎‍➡	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, orang berlutut menghadap kanan, simpuh
🧎🏻‍➡	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, orang berlutut menghadap kanan, simpuh
🧎🏼‍➡	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, orang berlutut menghadap kanan, simpuh
🧎🏽‍➡	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, orang berlutut menghadap kanan, simpuh
🧎🏾‍➡	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, orang berlutut menghadap kanan, simpuh
🧎🏿‍➡	berlutut, bersimpuh, bertelut, dengkul, lutut, orang berlutut, orang berlutut menghadap kanan, simpuh
🧎‍♀‍➡	berlutut, wanita, wanita berlutut menghadap kanan
🧎🏻‍♀‍➡	berlutut, wanita, wanita berlutut menghadap kanan
🧎🏼‍♀‍➡	berlutut, wanita, wanita berlutut menghadap kanan
🧎🏽‍♀‍➡	berlutut, wanita, wanita berlutut menghadap kanan
🧎🏾‍♀‍➡	berlutut, wanita, wanita berlutut menghadap kanan
🧎🏿‍♀‍➡	berlutut, wanita, wanita berlutut menghadap kanan
🧎‍♂‍➡	berlutut, pria, pria berlutut menghadap kanan
🧎🏻‍♂‍➡	berlutut, pria, pria berlutut menghadap kanan
🧎🏼‍♂‍➡	berlutut, pria, pria berlutut menghadap kanan
🧎🏽‍♂‍➡	berlutut, pria, pria berlutut menghadap kanan
🧎🏾‍♂‍➡	berlutut, pria, pria berlutut menghadap kanan
🧎🏿‍♂‍➡	berlutut, pria, pria berlutut menghadap kanan
🧑‍🦯	aksesibilitas, buta, orang dengan tongkat
🧑🏻‍🦯	aksesibilitas, buta, orang dengan tongkat, orang dengan tongkat: warna kulit cerah, warna kulit cerah
🧑🏼‍🦯	aksesibilitas, buta, orang dengan tongkat, orang dengan tongkat: warna kulit cerah-sedang, warna kulit cerah-sedang
🧑🏽‍🦯	aksesibilitas, buta, orang dengan tongkat, orang dengan tongkat: warna kulit sedang, warna kulit sedang
🧑🏾‍🦯	aksesibilitas, buta, orang dengan tongkat, orang dengan tongkat: warna kulit gelap-sedang, warna kulit gelap-sedang
🧑🏿‍🦯	aksesibilitas, buta, orang dengan tongkat, orang dengan tongkat: warna kulit gelap, warna kulit gelap
🧑‍🦯‍➡	aksesibilitas, buta, orang dengan tongkat, orang dengan tongkat menghadap kanan
🧑🏻‍🦯‍➡	aksesibilitas, buta, orang dengan tongkat, orang dengan tongkat menghadap kanan
🧑🏼‍🦯‍➡	aksesibilitas, buta, orang dengan tongkat, orang dengan tongkat menghadap kanan
🧑🏽‍🦯‍➡	aksesibilitas, buta, orang dengan tongkat, orang dengan tongkat menghadap kanan
🧑🏾‍🦯‍➡	aksesibilitas, buta, orang dengan tongkat, orang dengan tongkat menghadap kanan
🧑🏿‍🦯‍➡	aksesibilitas, buta, orang dengan tongkat, orang dengan tongkat menghadap kanan
👨‍🦯	aksesiblitas, buta, pria, pria dengan tongkat, tongkat, tunanetra
👨🏻‍🦯	aksesiblitas, buta, pria, pria dengan tongkat, pria dengan tongkat: warna kulit cerah, tongkat, tunanetra, warna kulit cerah
👨🏼‍🦯	aksesiblitas, buta, pria, pria dengan tongkat, pria dengan tongkat: warna kulit cerah-sedang, tongkat, tunanetra, warna kulit cerah-sedang
👨🏽‍🦯	aksesiblitas, buta, pria, pria dengan tongkat, pria dengan tongkat: warna kulit sedang, tongkat, tunanetra, warna kulit sedang
👨🏾‍🦯	aksesiblitas, buta, pria, pria dengan tongkat, pria dengan tongkat: warna kulit gelap-sedang, tongkat, tunanetra, warna kulit gelap-sedang
👨🏿‍🦯	aksesiblitas, buta, pria, pria dengan tongkat, pria dengan tongkat: warna kulit gelap, tongkat, tunanetra, warna kulit gelap
👨‍🦯‍➡	aksesiblitas, buta, pria, pria dengan tongkat, pria dengan tongkat menghadap kanan, tongkat, tunanetra
👨🏻‍🦯‍➡	aksesiblitas, buta, pria, pria dengan tongkat, pria dengan tongkat menghadap kanan, tongkat, tunanetra
👨🏼‍🦯‍➡	aksesiblitas, buta, pria, pria dengan tongkat, pria dengan tongkat menghadap kanan, tongkat, tunanetra
👨🏽‍🦯‍➡	aksesiblitas, buta, pria, pria dengan tongkat, pria dengan tongkat menghadap kanan, tongkat, tunanetra
👨🏾‍🦯‍➡	aksesiblitas, buta, pria, pria dengan tongkat, pria dengan tongkat menghadap kanan, tongkat, tunanetra
