‾	bovenlijn
🧚🏿‍♂	Oberon, Puck, donkere huidskleur, mannelijk elfje, mannelijk elfje: donkere huidskleur
🧚‍♀	Titania, vrouwelijk elfje
🧚🏻‍♀	Titania, lichte huidskleur, vrouwelijk elfje, vrouwelijk elfje: lichte huidskleur
🧚🏼‍♀	Titania, lichtgetinte huidskleur, vrouwelijk elfje, vrouwelijk elfje: lichtgetinte huidskleur
🧚🏽‍♀	Titania, getinte huidskleur, vrouwelijk elfje, vrouwelijk elfje: getinte huidskleur
🧚🏾‍♀	Titania, donkergetinte huidskleur, vrouwelijk elfje, vrouwelijk elfje: donkergetinte huidskleur
🧚🏿‍♀	Titania, donkere huidskleur, vrouwelijk elfje, vrouwelijk elfje: donkere huidskleur
🧛	Dracula, bloed, eng, halloween, ondode, snijtanden, tanden, vampier, verkleden
🧛🏻	Dracula, bloed, eng, halloween, lichte huidskleur, ondode, snijtanden, tanden, vampier, vampier: lichte huidskleur, verkleden
🧛🏼	Dracula, bloed, eng, halloween, lichtgetinte huidskleur, ondode, snijtanden, tanden, vampier, vampier: lichtgetinte huidskleur, verkleden
🧛🏽	Dracula, bloed, eng, getinte huidskleur, halloween, ondode, snijtanden, tanden, vampier, vampier: getinte huidskleur, verkleden
🧛🏾	Dracula, bloed, donkergetinte huidskleur, eng, halloween, ondode, snijtanden, tanden, vampier, vampier: donkergetinte huidskleur, verkleden
🧛🏿	Dracula, bloed, donkere huidskleur, eng, halloween, ondode, snijtanden, tanden, vampier, vampier: donkere huidskleur, verkleden
🧛‍♂	Dracula, mannelijke vampier, ondode
🧛🏻‍♂	Dracula, lichte huidskleur, mannelijke vampier, mannelijke vampier: lichte huidskleur, ondode
🧛🏼‍♂	Dracula, lichtgetinte huidskleur, mannelijke vampier, mannelijke vampier: lichtgetinte huidskleur, ondode
🧛🏽‍♂	Dracula, getinte huidskleur, mannelijke vampier, mannelijke vampier: getinte huidskleur, ondode
🧛🏾‍♂	Dracula, donkergetinte huidskleur, mannelijke vampier, mannelijke vampier: donkergetinte huidskleur, ondode
🧛🏿‍♂	Dracula, donkere huidskleur, mannelijke vampier, mannelijke vampier: donkere huidskleur, ondode
🧛‍♀	ondode, vrouwelijke vampier
🧛🏻‍♀	lichte huidskleur, ondode, vrouwelijke vampier, vrouwelijke vampier: lichte huidskleur
🧛🏼‍♀	lichtgetinte huidskleur, ondode, vrouwelijke vampier, vrouwelijke vampier: lichtgetinte huidskleur
🧛🏽‍♀	getinte huidskleur, ondode, vrouwelijke vampier, vrouwelijke vampier: getinte huidskleur
🧛🏾‍♀	donkergetinte huidskleur, ondode, vrouwelijke vampier, vrouwelijke vampier: donkergetinte huidskleur
🧛🏿‍♀	donkere huidskleur, ondode, vrouwelijke vampier, vrouwelijke vampier: donkere huidskleur
🧜	drietand, folklore, meermin, oceaan, schepsel, sirene, sprookje, zee, zeemeermin
🧜🏻	drietand, folklore, lichte huidskleur, meermin, oceaan, schepsel, sirene, sprookje, zee, zeemeermin: lichte huidskleur
🧜🏼	drietand, folklore, lichtgetinte huidskleur, meermin, oceaan, schepsel, sirene, sprookje, zee, zeemeermin: lichtgetinte huidskleur
🧜🏽	drietand, folklore, getinte huidskleur, meermin, oceaan, schepsel, sirene, sprookje, zee, zeemeermin: getinte huidskleur
🧜🏾	donkergetinte huidskleur, drietand, folklore, meermin, oceaan, schepsel, sirene, sprookje, zee, zeemeermin: donkergetinte huidskleur
🧜🏿	donkere huidskleur, drietand, folklore, meermin, oceaan, schepsel, sirene, sprookje, zee, zeemeermin: donkere huidskleur
🧜‍♂	Triton, zeemeerman
🧜🏻‍♂	Triton, lichte huidskleur, zeemeerman, zeemeerman: lichte huidskleur
🧜🏼‍♂	Triton, lichtgetinte huidskleur, zeemeerman, zeemeerman: lichtgetinte huidskleur
🧜🏽‍♂	Triton, getinte huidskleur, zeemeerman, zeemeerman: getinte huidskleur
🧜🏾‍♂	Triton, donkergetinte huidskleur, zeemeerman, zeemeerman: donkergetinte huidskleur
🧜🏿‍♂	Triton, donkere huidskleur, zeemeerman, zeemeerman: donkere huidskleur
🧜‍♀	meermin, sirene
🧜🏻‍♀	lichte huidskleur, meermin, sirene, sirene: lichte huidskleur
🧜🏼‍♀	lichtgetinte huidskleur, meermin, sirene, sirene: lichtgetinte huidskleur
🧜🏽‍♀	getinte huidskleur, meermin, sirene, sirene: getinte huidskleur
🧜🏾‍♀	donkergetinte huidskleur, meermin, sirene, sirene: donkergetinte huidskleur
🧜🏿‍♀	donkere huidskleur, meermin, sirene, sirene: donkere huidskleur
🧝	In de ban van de ring-stijl, LOTR-stijl, elf, fantasie, folklore, legolas, magisch, mythe
🧝🏻	In de ban van de ring-stijl, LOTR-stijl, elf, elf: lichte huidskleur, fantasie, folklore, legolas, lichte huidskleur, magisch, mythe
🧝🏼	In de ban van de ring-stijl, LOTR-stijl, elf, elf: lichtgetinte huidskleur, fantasie, folklore, legolas, lichtgetinte huidskleur, magisch, mythe
🧝🏽	In de ban van de ring-stijl, LOTR-stijl, elf, elf: getinte huidskleur, fantasie, folklore, getinte huidskleur, legolas, magisch, mythe
🧝🏾	In de ban van de ring-stijl, LOTR-stijl, donkergetinte huidskleur, elf, elf: donkergetinte huidskleur, fantasie, folklore, legolas, magisch, mythe
🧝🏿	In de ban van de ring-stijl, LOTR-stijl, donkere huidskleur, elf, elf: donkere huidskleur, fantasie, folklore, legolas, magisch, mythe
🧝‍♂	magisch, mannelijke elf
🧝🏻‍♂	lichte huidskleur, magisch, mannelijke elf, mannelijke elf: lichte huidskleur
🧝🏼‍♂	lichtgetinte huidskleur, magisch, mannelijke elf, mannelijke elf: lichtgetinte huidskleur
🧝🏽‍♂	getinte huidskleur, magisch, mannelijke elf, mannelijke elf: getinte huidskleur
🧝🏾‍♂	donkergetinte huidskleur, magisch, mannelijke elf, mannelijke elf: donkergetinte huidskleur
🧝🏿‍♂	donkere huidskleur, magisch, mannelijke elf, mannelijke elf: donkere huidskleur
🧝‍♀	magisch, vrouwelijke elf
🧝🏻‍♀	lichte huidskleur, magisch, vrouwelijke elf, vrouwelijke elf: lichte huidskleur
🧝🏼‍♀	lichtgetinte huidskleur, magisch, vrouwelijke elf, vrouwelijke elf: lichtgetinte huidskleur
🧝🏽‍♀	getinte huidskleur, magisch, vrouwelijke elf, vrouwelijke elf: getinte huidskleur
🧝🏾‍♀	donkergetinte huidskleur, magisch, vrouwelijke elf, vrouwelijke elf: donkergetinte huidskleur
🧝🏿‍♀	donkere huidskleur, magisch, vrouwelijke elf, vrouwelijke elf: donkere huidskleur
🧞	aladin, djinn, fantasie, geest, geest in de fles, lamp, mythe, sprookje, wens
🧞‍♂	djinn, mannelijke geest in de fles
🧞‍♀	djinn, vrouwelijke geest in de fles
🧟	eng, halloween, horror, levende doden, lopende dode, monster, ondode, zombie
🧟‍♂	lopende dode, mannelijke zombie, ondode
🧟‍♀	lopende dode, ondode, vrouwelijke zombie
🧌	fantasie, monster, trol, trollen
💆	gespannen, gezicht, gezichtsmassage, hoofdpijn, massage, ontspannen, persoon, persoon die hoofdmassage krijgt, relaxen, salon, spa, spanning
💆🏻	gespannen, gezicht, gezichtsmassage, hoofdpijn, lichte huidskleur, massage, ontspannen, persoon, persoon die hoofdmassage krijgt, persoon die hoofdmassage krijgt: lichte huidskleur, relaxen, salon, spa, spanning
💆🏼	gespannen, gezicht, gezichtsmassage, hoofdpijn, lichtgetinte huidskleur, massage, ontspannen, persoon, persoon die hoofdmassage krijgt, persoon die hoofdmassage krijgt: lichtgetinte huidskleur, relaxen, salon, spa, spanning
💆🏽	gespannen, getinte huidskleur, gezicht, gezichtsmassage, hoofdpijn, massage, ontspannen, persoon, persoon die hoofdmassage krijgt, persoon die hoofdmassage krijgt: getinte huidskleur, relaxen, salon, spa, spanning
💆🏾	donkergetinte huidskleur, gespannen, gezicht, gezichtsmassage, hoofdpijn, massage, ontspannen, persoon, persoon die hoofdmassage krijgt, persoon die hoofdmassage krijgt: donkergetinte huidskleur, relaxen, salon, spa, spanning
💆🏿	donkere huidskleur, gespannen, gezicht, gezichtsmassage, hoofdpijn, massage, ontspannen, persoon, persoon die hoofdmassage krijgt, persoon die hoofdmassage krijgt: donkere huidskleur, relaxen, salon, spa, spanning
💆‍♂	geduld, gezicht, gezichtmassage, man, man die hoofdmassage krijgt, man krijgt gezichtsmassage, massage, masseren, ontspannen, ontspannend, persoon, relaxen, relaxing
💆🏻‍♂	geduld, gezicht, gezichtmassage, lichte huidskleur, man, man die hoofdmassage krijgt, man die hoofdmassage krijgt: lichte huidskleur, man krijgt gezichtsmassage, massage, masseren, ontspannen, ontspannend, persoon, relaxen, relaxing
💆🏼‍♂	geduld, gezicht, gezichtmassage, lichtgetinte huidskleur, man, man die hoofdmassage krijgt, man die hoofdmassage krijgt: lichtgetinte huidskleur, man krijgt gezichtsmassage, massage, masseren, ontspannen, ontspannend, persoon, relaxen, relaxing
💆🏽‍♂	geduld, getinte huidskleur, gezicht, gezichtmassage, man, man die hoofdmassage krijgt, man die hoofdmassage krijgt: getinte huidskleur, man krijgt gezichtsmassage, massage, masseren, ontspannen, ontspannend, persoon, relaxen, relaxing
💆🏾‍♂	donkergetinte huidskleur, geduld, gezicht, gezichtmassage, man, man die hoofdmassage krijgt, man die hoofdmassage krijgt: donkergetinte huidskleur, man krijgt gezichtsmassage, massage, masseren, ontspannen, ontspannend, persoon, relaxen, relaxing
💆🏿‍♂	donkere huidskleur, geduld, gezicht, gezichtmassage, man, man die hoofdmassage krijgt, man die hoofdmassage krijgt: donkere huidskleur, man krijgt gezichtsmassage, massage, masseren, ontspannen, ontspannend, persoon, relaxen, relaxing
💆‍♀	gezicht, massage, vrouw, vrouw die hoofdmassage krijgt
💆🏻‍♀	gezicht, lichte huidskleur, massage, vrouw, vrouw die hoofdmassage krijgt, vrouw die hoofdmassage krijgt: lichte huidskleur
💆🏼‍♀	gezicht, lichtgetinte huidskleur, massage, vrouw, vrouw die hoofdmassage krijgt, vrouw die hoofdmassage krijgt: lichtgetinte huidskleur
💆🏽‍♀	getinte huidskleur, gezicht, massage, vrouw, vrouw die hoofdmassage krijgt, vrouw die hoofdmassage krijgt: getinte huidskleur
💆🏾‍♀	donkergetinte huidskleur, gezicht, massage, vrouw, vrouw die hoofdmassage krijgt, vrouw die hoofdmassage krijgt: donkergetinte huidskleur
💆🏿‍♀	donkere huidskleur, gezicht, massage, vrouw, vrouw die hoofdmassage krijgt, vrouw die hoofdmassage krijgt: donkere huidskleur
💇	beauty, beroep, haar knippen, kapper, kapsalon, kapsel, kapster, persoon die wordt geknipt, salon, schaar, schoonheid
💇🏻	beauty, beroep, haar knippen, kapper, kapsalon, kapsel, kapster, lichte huidskleur, persoon die wordt geknipt, persoon die wordt geknipt: lichte huidskleur, salon, schaar, schoonheid
💇🏼	beauty, beroep, haar knippen, kapper, kapsalon, kapsel, kapster, lichtgetinte huidskleur, persoon die wordt geknipt, persoon die wordt geknipt: lichtgetinte huidskleur, salon, schaar, schoonheid
💇🏽	beauty, beroep, getinte huidskleur, haar knippen, kapper, kapsalon, kapsel, kapster, persoon die wordt geknipt, persoon die wordt geknipt: getinte huidskleur, salon, schaar, schoonheid
💇🏾	beauty, beroep, donkergetinte huidskleur, haar knippen, kapper, kapsalon, kapsel, kapster, persoon die wordt geknipt, persoon die wordt geknipt: donkergetinte huidskleur, salon, schaar, schoonheid
💇🏿	beauty, beroep, donkere huidskleur, haar knippen, kapper, kapsalon, kapsel, kapster, persoon die wordt geknipt, persoon die wordt geknipt: donkere huidskleur, salon, schaar, schoonheid
💇‍♂	haar, kapper, kapsel, knippen, man, man die wordt geknipt, man wordt geknipt, persoon, verzorging
💇🏻‍♂	haar, kapper, kapsel, knippen, lichte huidskleur, man, man die wordt geknipt, man die wordt geknipt: lichte huidskleur, man wordt geknipt, persoon, verzorging
💇🏼‍♂	haar, kapper, kapsel, knippen, lichtgetinte huidskleur, man, man die wordt geknipt, man die wordt geknipt: lichtgetinte huidskleur, man wordt geknipt, persoon, verzorging
💇🏽‍♂	getinte huidskleur, haar, kapper, kapsel, knippen, man, man die wordt geknipt, man die wordt geknipt: getinte huidskleur, man wordt geknipt, persoon, verzorging
💇🏾‍♂	donkergetinte huidskleur, haar, kapper, kapsel, knippen, man, man die wordt geknipt, man die wordt geknipt: donkergetinte huidskleur, man wordt geknipt, persoon, verzorging
💇🏿‍♂	donkere huidskleur, haar, kapper, kapsel, knippen, man, man die wordt geknipt, man die wordt geknipt: donkere huidskleur, man wordt geknipt, persoon, verzorging
💇‍♀	kapsel, vrouw, vrouw die wordt geknipt
💇🏻‍♀	kapsel, lichte huidskleur, vrouw, vrouw die wordt geknipt, vrouw die wordt geknipt: lichte huidskleur
💇🏼‍♀	kapsel, lichtgetinte huidskleur, vrouw, vrouw die wordt geknipt, vrouw die wordt geknipt: lichtgetinte huidskleur
💇🏽‍♀	getinte huidskleur, kapsel, vrouw, vrouw die wordt geknipt, vrouw die wordt geknipt: getinte huidskleur
💇🏾‍♀	donkergetinte huidskleur, kapsel, vrouw, vrouw die wordt geknipt, vrouw die wordt geknipt: donkergetinte huidskleur
💇🏿‍♀	donkere huidskleur, kapsel, vrouw, vrouw die wordt geknipt, vrouw die wordt geknipt: donkere huidskleur
🚶	lopen, persoon, slenteren, stappen, struien, voetganger, wandelaar, wandelen
🚶🏻	lichte huidskleur, lopen, persoon, slenteren, stappen, struien, voetganger, voetganger: lichte huidskleur, wandelaar, wandelen
🚶🏼	lichtgetinte huidskleur, lopen, persoon, slenteren, stappen, struien, voetganger, voetganger: lichtgetinte huidskleur, wandelaar, wandelen
🚶🏽	getinte huidskleur, lopen, persoon, slenteren, stappen, struien, voetganger, voetganger: getinte huidskleur, wandelaar, wandelen
🚶🏾	donkergetinte huidskleur, lopen, persoon, slenteren, stappen, struien, voetganger, voetganger: donkergetinte huidskleur, wandelaar, wandelen
🚶🏿	donkere huidskleur, lopen, persoon, slenteren, stappen, struien, voetganger, voetganger: donkere huidskleur, wandelaar, wandelen
🚶‍♂	lopen, man, wandelen, wandelende man
🚶🏻‍♂	lichte huidskleur, lopen, man, wandelen, wandelende man, wandelende man: lichte huidskleur
🚶🏼‍♂	lichtgetinte huidskleur, lopen, man, wandelen, wandelende man, wandelende man: lichtgetinte huidskleur
🚶🏽‍♂	getinte huidskleur, lopen, man, wandelen, wandelende man, wandelende man: getinte huidskleur
🚶🏾‍♂	donkergetinte huidskleur, lopen, man, wandelen, wandelende man, wandelende man: donkergetinte huidskleur
🚶🏿‍♂	donkere huidskleur, lopen, man, wandelen, wandelende man, wandelende man: donkere huidskleur
🚶‍♀	kuieren, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw
🚶🏻‍♀	kuieren, lichte huidskleur, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw, wandelende vrouw: lichte huidskleur
🚶🏼‍♀	kuieren, lichtgetinte huidskleur, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw, wandelende vrouw: lichtgetinte huidskleur
🚶🏽‍♀	getinte huidskleur, kuieren, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw, wandelende vrouw: getinte huidskleur
🚶🏾‍♀	donkergetinte huidskleur, kuieren, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw, wandelende vrouw: donkergetinte huidskleur
🚶🏿‍♀	donkere huidskleur, kuieren, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw, wandelende vrouw: donkere huidskleur
🚶‍➡	lopen, persoon, slenteren, stappen, struien, voetganger, voetganger naar rechts gericht, wandelaar, wandelen
🚶🏻‍➡	lopen, persoon, slenteren, stappen, struien, voetganger, voetganger naar rechts gericht, wandelaar, wandelen
🚶🏼‍➡	lopen, persoon, slenteren, stappen, struien, voetganger, voetganger naar rechts gericht, wandelaar, wandelen
🚶🏽‍➡	lopen, persoon, slenteren, stappen, struien, voetganger, voetganger naar rechts gericht, wandelaar, wandelen
🚶🏾‍➡	lopen, persoon, slenteren, stappen, struien, voetganger, voetganger naar rechts gericht, wandelaar, wandelen
🚶🏿‍➡	lopen, persoon, slenteren, stappen, struien, voetganger, voetganger naar rechts gericht, wandelaar, wandelen
🚶‍♀‍➡	kuieren, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw, wandelende vrouw naar rechts gericht
🚶🏻‍♀‍➡	kuieren, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw, wandelende vrouw naar rechts gericht
🚶🏼‍♀‍➡	kuieren, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw, wandelende vrouw naar rechts gericht
🚶🏽‍♀‍➡	kuieren, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw, wandelende vrouw naar rechts gericht
🚶🏾‍♀‍➡	kuieren, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw, wandelende vrouw naar rechts gericht
🚶🏿‍♀‍➡	kuieren, lopen, persoon, slenteren, voetganger, vrouw, wandelaar, wandelen, wandelende vrouw, wandelende vrouw naar rechts gericht
🚶‍♂‍➡	lopen, man, wandelen, wandelende man, wandelende man naar rechts gericht
🚶🏻‍♂‍➡	lopen, man, wandelen, wandelende man, wandelende man naar rechts gericht
🚶🏼‍♂‍➡	lopen, man, wandelen, wandelende man, wandelende man naar rechts gericht
🚶🏽‍♂‍➡	lopen, man, wandelen, wandelende man, wandelende man naar rechts gericht
🚶🏾‍♂‍➡	lopen, man, wandelen, wandelende man, wandelende man naar rechts gericht
🚶🏿‍♂‍➡	lopen, man, wandelen, wandelende man, wandelende man naar rechts gericht
🧍	persoon, staan, staand, staande persoon
