‾	brūkšnys viršuje
👯‍♂	dvyniai, kiškio ausytės, vakarėlis, vakarėlyje dalyvaujantys vyrai, vyrai, šokėjas
👯‍♀	kiškio ausytės, moteris, moterys, vakarėlis, vakarėlyje dalyvaujančios moterys, šokėja
🧖	SPA, asmuo garų kambaryje, atsipalaidavimas, garai, garų kambarys, moteris, moteris pirtyje, pirtis, prabanga, sauna
🧖🏻	SPA, asmuo garų kambaryje, asmuo garų kambaryje: šviesios odos, atsipalaidavimas, garai, garų kambarys, moteris, moteris pirtyje, pirtis, prabanga, sauna, šviesios odos
🧖🏼	SPA, asmuo garų kambaryje, asmuo garų kambaryje: vidutinio gymio, atsipalaidavimas, garai, garų kambarys, moteris, moteris pirtyje, pirtis, prabanga, sauna, vidutinio gymio
🧖🏽	SPA, asmuo garų kambaryje, asmuo garų kambaryje: rusvos odos, atsipalaidavimas, garai, garų kambarys, moteris, moteris pirtyje, pirtis, prabanga, rusvos odos, sauna
🧖🏾	SPA, asmuo garų kambaryje, asmuo garų kambaryje: tamsios odos, atsipalaidavimas, garai, garų kambarys, moteris, moteris pirtyje, pirtis, prabanga, sauna, tamsios odos
🧖🏿	SPA, asmuo garų kambaryje, asmuo garų kambaryje: itin tamsios odos, atsipalaidavimas, garai, garų kambarys, itin tamsios odos, moteris, moteris pirtyje, pirtis, prabanga, sauna
🧖‍♂	garų kambarys, sauna, vyras garų kambaryje
🧖🏻‍♂	garų kambarys, sauna, vyras garų kambaryje, vyras garų kambaryje: šviesios odos, šviesios odos
🧖🏼‍♂	garų kambarys, sauna, vidutinio gymio, vyras garų kambaryje, vyras garų kambaryje: vidutinio gymio
🧖🏽‍♂	garų kambarys, rusvos odos, sauna, vyras garų kambaryje, vyras garų kambaryje: rusvos odos
🧖🏾‍♂	garų kambarys, sauna, tamsios odos, vyras garų kambaryje, vyras garų kambaryje: tamsios odos
🧖🏿‍♂	garų kambarys, itin tamsios odos, sauna, vyras garų kambaryje, vyras garų kambaryje: itin tamsios odos
🧖‍♀	garų kambarys, moteris garų kambaryje, sauna
🧖🏻‍♀	garų kambarys, moteris garų kambaryje, moteris garų kambaryje: šviesios odos, sauna, šviesios odos
🧖🏼‍♀	garų kambarys, moteris garų kambaryje, moteris garų kambaryje: vidutinio gymio, sauna, vidutinio gymio
🧖🏽‍♀	garų kambarys, moteris garų kambaryje, moteris garų kambaryje: rusvos odos, rusvos odos, sauna
🧖🏾‍♀	garų kambarys, moteris garų kambaryje, moteris garų kambaryje: tamsios odos, sauna, tamsios odos
🧖🏿‍♀	garų kambarys, itin tamsios odos, moteris garų kambaryje, moteris garų kambaryje: itin tamsios odos, sauna
🧗	alpinistas, kalnas, kopiantis žmogus, kopimas į kalną, kopimas į uolą, laipiotojas, uola
🧗🏻	alpinistas, kalnas, kopiantis žmogus, kopiantis žmogus: šviesios odos, kopimas į kalną, kopimas į uolą, laipiotojas, uola, šviesios odos
🧗🏼	alpinistas, kalnas, kopiantis žmogus, kopiantis žmogus: vidutinio gymio, kopimas į kalną, kopimas į uolą, laipiotojas, uola, vidutinio gymio
🧗🏽	alpinistas, kalnas, kopiantis žmogus, kopiantis žmogus: rusvos odos, kopimas į kalną, kopimas į uolą, laipiotojas, rusvos odos, uola
🧗🏾	alpinistas, kalnas, kopiantis žmogus, kopiantis žmogus: tamsios odos, kopimas į kalną, kopimas į uolą, laipiotojas, tamsios odos, uola
🧗🏿	alpinistas, itin tamsios odos, kalnas, kopiantis žmogus, kopiantis žmogus: itin tamsios odos, kopimas į kalną, kopimas į uolą, laipiotojas, uola
🧗‍♂	alpinistas, kopiantis vyras
🧗🏻‍♂	alpinistas, kopiantis vyras, kopiantis vyras: šviesios odos, šviesios odos
🧗🏼‍♂	alpinistas, kopiantis vyras, kopiantis vyras: vidutinio gymio, vidutinio gymio
🧗🏽‍♂	alpinistas, kopiantis vyras, kopiantis vyras: rusvos odos, rusvos odos
🧗🏾‍♂	alpinistas, kopiantis vyras, kopiantis vyras: tamsios odos, tamsios odos
🧗🏿‍♂	alpinistas, itin tamsios odos, kopiantis vyras, kopiantis vyras: itin tamsios odos
🧗‍♀	kopianti moteris
🧗🏻‍♀	kopianti moteris, kopianti moteris: šviesios odos, šviesios odos
🧗🏼‍♀	kopianti moteris, kopianti moteris: vidutinio gymio, vidutinio gymio
🧗🏽‍♀	kopianti moteris, kopianti moteris: rusvos odos, rusvos odos
🧗🏾‍♀	kopianti moteris, kopianti moteris: tamsios odos, tamsios odos
🧗🏿‍♀	itin tamsios odos, kopianti moteris, kopianti moteris: itin tamsios odos
🤺	fechtavimas, fechtuotojas, kardas
🏇	arklių lenktynės, arklys, jojikas, lenktynės, sportas
🏇🏻	arklių lenktynės, arklių lenktynės: šviesios odos, arklys, jojikas, lenktynės, sportas, šviesios odos
🏇🏼	arklių lenktynės, arklių lenktynės: vidutinio gymio, arklys, jojikas, lenktynės, sportas, vidutinio gymio
🏇🏽	arklių lenktynės, arklių lenktynės: rusvos odos, arklys, jojikas, lenktynės, rusvos odos, sportas
🏇🏾	arklių lenktynės, arklių lenktynės: tamsios odos, arklys, jojikas, lenktynės, sportas, tamsios odos
🏇🏿	arklių lenktynės, arklių lenktynės: itin tamsios odos, arklys, itin tamsios odos, jojikas, lenktynės, sportas
⛷️	slidininkas, slidinėti, slidės, sniegas
🏂️	slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, sportas
🏂🏻	slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: šviesios odos, sportas, šviesios odos
🏂🏼	slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: vidutinio gymio, sportas, vidutinio gymio
🏂🏽	rusvos odos, slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: rusvos odos, sportas
🏂🏾	slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: tamsios odos, sportas, tamsios odos
🏂🏿	itin tamsios odos, slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: itin tamsios odos, sportas
🏌️	golfas, golfo žaidėjas, kamuoliukas, lygiosios, patarnaujantysis, varyti kamuoliuką į duobutę, žaisti golfą, žalia
🏌🏻	golfas, golfo žaidėjas, golfo žaidėjas: šviesios odos, kamuoliukas, lygiosios, patarnaujantysis, varyti kamuoliuką į duobutę, šviesios odos, žaisti golfą, žalia
🏌🏼	golfas, golfo žaidėjas, golfo žaidėjas: vidutinio gymio, kamuoliukas, lygiosios, patarnaujantysis, varyti kamuoliuką į duobutę, vidutinio gymio, žaisti golfą, žalia
🏌🏽	golfas, golfo žaidėjas, golfo žaidėjas: rusvos odos, kamuoliukas, lygiosios, patarnaujantysis, rusvos odos, varyti kamuoliuką į duobutę, žaisti golfą, žalia
🏌🏾	golfas, golfo žaidėjas, golfo žaidėjas: tamsios odos, kamuoliukas, lygiosios, patarnaujantysis, tamsios odos, varyti kamuoliuką į duobutę, žaisti golfą, žalia
🏌🏿	golfas, golfo žaidėjas, golfo žaidėjas: itin tamsios odos, itin tamsios odos, kamuoliukas, lygiosios, patarnaujantysis, varyti kamuoliuką į duobutę, žaisti golfą, žalia
🏌‍♂	golfas, golfo žaidėjas vyras, vyras
🏌🏻‍♂	golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: šviesios odos, vyras, šviesios odos
🏌🏼‍♂	golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: vidutinio gymio, vidutinio gymio, vyras
🏌🏽‍♂	golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: rusvos odos, rusvos odos, vyras
🏌🏾‍♂	golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: tamsios odos, tamsios odos, vyras
🏌🏿‍♂	golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: itin tamsios odos, itin tamsios odos, vyras
🏌‍♀	golfas, golfo žaidėja, kamuolys, moteris, sportas
🏌🏻‍♀	golfas, golfo žaidėja, golfo žaidėja: šviesios odos, kamuolys, moteris, sportas, šviesios odos
🏌🏼‍♀	golfas, golfo žaidėja, golfo žaidėja: vidutinio gymio, kamuolys, moteris, sportas, vidutinio gymio
🏌🏽‍♀	golfas, golfo žaidėja, golfo žaidėja: rusvos odos, kamuolys, moteris, rusvos odos, sportas
🏌🏾‍♀	golfas, golfo žaidėja, golfo žaidėja: tamsios odos, kamuolys, moteris, sportas, tamsios odos
🏌🏿‍♀	golfas, golfo žaidėja, golfo žaidėja: itin tamsios odos, itin tamsios odos, kamuolys, moteris, sportas
🏄️	bangavimas, banglentininkas, banglenčių sportas, bangos, paplūdimys, sportas, vandenynas
🏄🏻	bangavimas, banglentininkas, banglentininkas: šviesios odos, banglenčių sportas, bangos, paplūdimys, sportas, vandenynas, šviesios odos
🏄🏼	bangavimas, banglentininkas, banglentininkas: vidutinio gymio, banglenčių sportas, bangos, paplūdimys, sportas, vandenynas, vidutinio gymio
🏄🏽	bangavimas, banglentininkas, banglentininkas: rusvos odos, banglenčių sportas, bangos, paplūdimys, rusvos odos, sportas, vandenynas
🏄🏾	bangavimas, banglentininkas, banglentininkas: tamsios odos, banglenčių sportas, bangos, paplūdimys, sportas, tamsios odos, vandenynas
🏄🏿	bangavimas, banglentininkas, banglentininkas: itin tamsios odos, banglenčių sportas, bangos, itin tamsios odos, paplūdimys, sportas, vandenynas
🏄‍♂	banglenčių sportas, vyras, vyras banglentininkas
🏄🏻‍♂	banglenčių sportas, vyras, vyras banglentininkas, vyras banglentininkas: šviesios odos, šviesios odos
🏄🏼‍♂	banglenčių sportas, vidutinio gymio, vyras, vyras banglentininkas, vyras banglentininkas: vidutinio gymio
🏄🏽‍♂	banglenčių sportas, rusvos odos, vyras, vyras banglentininkas, vyras banglentininkas: rusvos odos
🏄🏾‍♂	banglenčių sportas, tamsios odos, vyras, vyras banglentininkas, vyras banglentininkas: tamsios odos
🏄🏿‍♂	banglenčių sportas, itin tamsios odos, vyras, vyras banglentininkas, vyras banglentininkas: itin tamsios odos
🏄‍♀	banglentininkė, banglenčių sportas, moteris, paplūdimys, sportas
🏄🏻‍♀	banglentininkė, banglentininkė: šviesios odos, banglenčių sportas, moteris, paplūdimys, sportas, šviesios odos
🏄🏼‍♀	banglentininkė, banglentininkė: vidutinio gymio, banglenčių sportas, moteris, paplūdimys, sportas, vidutinio gymio
🏄🏽‍♀	banglentininkė, banglentininkė: rusvos odos, banglenčių sportas, moteris, paplūdimys, rusvos odos, sportas
🏄🏾‍♀	banglentininkė, banglentininkė: tamsios odos, banglenčių sportas, moteris, paplūdimys, sportas, tamsios odos
🏄🏿‍♀	banglentininkė, banglentininkė: itin tamsios odos, banglenčių sportas, itin tamsios odos, moteris, paplūdimys, sportas
🚣	ežeras, irklas, irkluojantis žmogus, irkluoti, kanoja, kelionė jūra, laivas, plaustas, transporto priemonė, upė, valtis, žvejoti, žvejyba
🚣🏻	ežeras, irklas, irkluojantis žmogus, irkluojantis žmogus: šviesios odos, irkluoti, kanoja, kelionė jūra, laivas, plaustas, transporto priemonė, upė, valtis, šviesios odos, žvejoti, žvejyba
🚣🏼	ežeras, irklas, irkluojantis žmogus, irkluojantis žmogus: vidutinio gymio, irkluoti, kanoja, kelionė jūra, laivas, plaustas, transporto priemonė, upė, valtis, vidutinio gymio, žvejoti, žvejyba
🚣🏽	ežeras, irklas, irkluojantis žmogus, irkluojantis žmogus: rusvos odos, irkluoti, kanoja, kelionė jūra, laivas, plaustas, rusvos odos, transporto priemonė, upė, valtis, žvejoti, žvejyba
🚣🏾	ežeras, irklas, irkluojantis žmogus, irkluojantis žmogus: tamsios odos, irkluoti, kanoja, kelionė jūra, laivas, plaustas, tamsios odos, transporto priemonė, upė, valtis, žvejoti, žvejyba
🚣🏿	ežeras, irklas, irkluojantis žmogus, irkluojantis žmogus: itin tamsios odos, irkluoti, itin tamsios odos, kanoja, kelionė jūra, laivas, plaustas, transporto priemonė, upė, valtis, žvejoti, žvejyba
🚣‍♂	irkluotojas, valtis, vyras
🚣🏻‍♂	irkluotojas, irkluotojas: šviesios odos, valtis, vyras, šviesios odos
🚣🏼‍♂	irkluotojas, irkluotojas: vidutinio gymio, valtis, vidutinio gymio, vyras
🚣🏽‍♂	irkluotojas, irkluotojas: rusvos odos, rusvos odos, valtis, vyras
🚣🏾‍♂	irkluotojas, irkluotojas: tamsios odos, tamsios odos, valtis, vyras
🚣🏿‍♂	irkluotojas, irkluotojas: itin tamsios odos, itin tamsios odos, valtis, vyras
🚣‍♀	irkluojanti moteris, irkluotoja, moteris, valtis
🚣🏻‍♀	irkluojanti moteris, irkluotoja, irkluotoja: šviesios odos, moteris, valtis, šviesios odos
🚣🏼‍♀	irkluojanti moteris, irkluotoja, irkluotoja: vidutinio gymio, moteris, valtis, vidutinio gymio
🚣🏽‍♀	irkluojanti moteris, irkluotoja, irkluotoja: rusvos odos, moteris, rusvos odos, valtis
🚣🏾‍♀	irkluojanti moteris, irkluotoja, irkluotoja: tamsios odos, moteris, tamsios odos, valtis
🚣🏿‍♀	irkluojanti moteris, irkluotoja, irkluotoja: itin tamsios odos, itin tamsios odos, moteris, valtis
🏊️	laisvasis stilius, plaukiantis žmogus, plaukikas, plaukimas, plaukti, sportas, triatlonas
🏊🏻	laisvasis stilius, plaukiantis žmogus, plaukikas, plaukikas: šviesios odos, plaukimas, plaukti, sportas, triatlonas, šviesios odos
🏊🏼	laisvasis stilius, plaukiantis žmogus, plaukikas, plaukikas: vidutinio gymio, plaukimas, plaukti, sportas, triatlonas, vidutinio gymio
🏊🏽	laisvasis stilius, plaukiantis žmogus, plaukikas, plaukikas: rusvos odos, plaukimas, plaukti, rusvos odos, sportas, triatlonas
🏊🏾	laisvasis stilius, plaukiantis žmogus, plaukikas, plaukikas: tamsios odos, plaukimas, plaukti, sportas, tamsios odos, triatlonas
🏊🏿	itin tamsios odos, laisvasis stilius, plaukiantis žmogus, plaukikas, plaukikas: itin tamsios odos, plaukimas, plaukti, sportas, triatlonas
🏊‍♂	plaukimas, vyras, vyras plaukikas
🏊🏻‍♂	plaukimas, vyras, vyras plaukikas, vyras plaukikas: šviesios odos, šviesios odos
🏊🏼‍♂	plaukimas, vidutinio gymio, vyras, vyras plaukikas, vyras plaukikas: vidutinio gymio
🏊🏽‍♂	plaukimas, rusvos odos, vyras, vyras plaukikas, vyras plaukikas: rusvos odos
🏊🏾‍♂	plaukimas, tamsios odos, vyras, vyras plaukikas, vyras plaukikas: tamsios odos
🏊🏿‍♂	itin tamsios odos, plaukimas, vyras, vyras plaukikas, vyras plaukikas: itin tamsios odos
🏊‍♀	moteris, plaukikė, plaukimas, sportas
🏊🏻‍♀	moteris, plaukikė, plaukikė: šviesios odos, plaukimas, sportas, šviesios odos
🏊🏼‍♀	moteris, plaukikė, plaukikė: vidutinio gymio, plaukimas, sportas, vidutinio gymio
🏊🏽‍♀	moteris, plaukikė, plaukikė: rusvos odos, plaukimas, rusvos odos, sportas
🏊🏾‍♀	moteris, plaukikė, plaukikė: tamsios odos, plaukimas, sportas, tamsios odos
🏊🏿‍♀	itin tamsios odos, moteris, plaukikė, plaukikė: itin tamsios odos, plaukimas, sportas
⛹️	atletas, baudos metimas, kamuolys, krepšininkas, krepšinis, krepšys, sportas, varytis kamuolį, vyras, čempionatas, žmogus su kamuoliu
⛹🏻	atletas, baudos metimas, kamuolys, krepšininkas, krepšinis, krepšys, sportas, varytis kamuolį, vyras, čempionatas, šviesios odos, žmogus su kamuoliu, žmogus su kamuoliu: šviesios odos
⛹🏼	atletas, baudos metimas, kamuolys, krepšininkas, krepšinis, krepšys, sportas, varytis kamuolį, vidutinio gymio, vyras, čempionatas, žmogus su kamuoliu, žmogus su kamuoliu: vidutinio gymio
⛹🏽	atletas, baudos metimas, kamuolys, krepšininkas, krepšinis, krepšys, rusvos odos, sportas, varytis kamuolį, vyras, čempionatas, žmogus su kamuoliu, žmogus su kamuoliu: rusvos odos
⛹🏾	atletas, baudos metimas, kamuolys, krepšininkas, krepšinis, krepšys, sportas, tamsios odos, varytis kamuolį, vyras, čempionatas, žmogus su kamuoliu, žmogus su kamuoliu: tamsios odos
⛹🏿	atletas, baudos metimas, itin tamsios odos, kamuolys, krepšininkas, krepšinis, krepšys, sportas, varytis kamuolį, vyras, čempionatas, žmogus su kamuoliu, žmogus su kamuoliu: itin tamsios odos
⛹‍♂	kamuolys, vyras, vyras su kamuoliu
⛹🏻‍♂	kamuolys, vyras, vyras su kamuoliu, vyras su kamuoliu: šviesios odos, šviesios odos
⛹🏼‍♂	kamuolys, vidutinio gymio, vyras, vyras su kamuoliu, vyras su kamuoliu: vidutinio gymio
⛹🏽‍♂	kamuolys, rusvos odos, vyras, vyras su kamuoliu, vyras su kamuoliu: rusvos odos
⛹🏾‍♂	kamuolys, tamsios odos, vyras, vyras su kamuoliu, vyras su kamuoliu: tamsios odos
⛹🏿‍♂	itin tamsios odos, kamuolys, vyras, vyras su kamuoliu, vyras su kamuoliu: itin tamsios odos
⛹‍♀	kamuolys, krepšinis, moteris, moteris su kamuoliu, sportas
⛹🏻‍♀	kamuolys, krepšinis, moteris, moteris su kamuoliu, moteris su kamuoliu: šviesios odos, sportas, šviesios odos
⛹🏼‍♀	kamuolys, krepšinis, moteris, moteris su kamuoliu, moteris su kamuoliu: vidutinio gymio, sportas, vidutinio gymio
⛹🏽‍♀	kamuolys, krepšinis, moteris, moteris su kamuoliu, moteris su kamuoliu: rusvos odos, rusvos odos, sportas
⛹🏾‍♀	kamuolys, krepšinis, moteris, moteris su kamuoliu, moteris su kamuoliu: tamsios odos, sportas, tamsios odos
⛹🏿‍♀	itin tamsios odos, kamuolys, krepšinis, moteris, moteris su kamuoliu, moteris su kamuoliu: itin tamsios odos, sportas
🏋️	kilnotojas, pakėlimas, sportas, svoris, svorių kilnotojas, treniruotė, štanga
🏋🏻	kilnotojas, pakėlimas, sportas, svoris, svorių kilnotojas, svorių kilnotojas: šviesios odos, treniruotė, štanga, šviesios odos
🏋🏼	kilnotojas, pakėlimas, sportas, svoris, svorių kilnotojas, svorių kilnotojas: vidutinio gymio, treniruotė, vidutinio gymio, štanga
🏋🏽	kilnotojas, pakėlimas, rusvos odos, sportas, svoris, svorių kilnotojas, svorių kilnotojas: rusvos odos, treniruotė, štanga
🏋🏾	kilnotojas, pakėlimas, sportas, svoris, svorių kilnotojas, svorių kilnotojas: tamsios odos, tamsios odos, treniruotė, štanga
🏋🏿	itin tamsios odos, kilnotojas, pakėlimas, sportas, svoris, svorių kilnotojas, svorių kilnotojas: itin tamsios odos, treniruotė, štanga
🏋‍♂	keliantis svorį, svorius keliantis vyras, vyras
🏋🏻‍♂	keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: šviesios odos, vyras, šviesios odos
🏋🏼‍♂	keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: vidutinio gymio, vidutinio gymio, vyras
🏋🏽‍♂	keliantis svorį, rusvos odos, svorius keliantis vyras, svorius keliantis vyras: rusvos odos, vyras
🏋🏾‍♂	keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: tamsios odos, tamsios odos, vyras
🏋🏿‍♂	itin tamsios odos, keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: itin tamsios odos, vyras
