‾	overline
🧍🏻	light na kulay ng balat, nakatayo, nakatayong tao, nakatayong tao: light na kulay ng balat, tumayo
🧍🏼	katamtamang light na kulay ng balat, nakatayo, nakatayong tao, nakatayong tao: katamtamang light na kulay ng balat, tumayo
🧍🏽	katamtamang kulay ng balat, nakatayo, nakatayong tao, nakatayong tao: katamtamang kulay ng balat, tumayo
🧍🏾	katamtamang dark na kulay ng balat, nakatayo, nakatayong tao, nakatayong tao: katamtamang dark na kulay ng balat, tumayo
🧍🏿	dark na kulay ng balat, nakatayo, nakatayong tao, nakatayong tao: dark na kulay ng balat, tumayo
🧍‍♂	lalaki, lalaking nakatayo, nakatayo
🧍🏻‍♂	lalaki, lalaking nakatayo, lalaking nakatayo: light na kulay ng balat, light na kulay ng balat, nakatayo
🧍🏼‍♂	katamtamang light na kulay ng balat, lalaki, lalaking nakatayo, lalaking nakatayo: katamtamang light na kulay ng balat, nakatayo
🧍🏽‍♂	katamtamang kulay ng balat, lalaki, lalaking nakatayo, lalaking nakatayo: katamtamang kulay ng balat, nakatayo
🧍🏾‍♂	katamtamang dark na kulay ng balat, lalaki, lalaking nakatayo, lalaking nakatayo: katamtamang dark na kulay ng balat, nakatayo
🧍🏿‍♂	dark na kulay ng balat, lalaki, lalaking nakatayo, lalaking nakatayo: dark na kulay ng balat, nakatayo
🧍‍♀	babae, babaeng nakatayo, nakatayo
🧍🏻‍♀	babae, babaeng nakatayo, babaeng nakatayo: light na kulay ng balat, light na kulay ng balat, nakatayo
🧍🏼‍♀	babae, babaeng nakatayo, babaeng nakatayo: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, nakatayo
🧍🏽‍♀	babae, babaeng nakatayo, babaeng nakatayo: katamtamang kulay ng balat, katamtamang kulay ng balat, nakatayo
🧍🏾‍♀	babae, babaeng nakatayo, babaeng nakatayo: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, nakatayo
🧍🏿‍♀	babae, babaeng nakatayo, babaeng nakatayo: dark na kulay ng balat, dark na kulay ng balat, nakatayo
🧎	lumuhod, nakaluhod, taong nakaluhod
🧎🏻	light na kulay ng balat, lumuhod, nakaluhod, taong nakaluhod, taong nakaluhod: light na kulay ng balat
🧎🏼	katamtamang light na kulay ng balat, lumuhod, nakaluhod, taong nakaluhod, taong nakaluhod: katamtamang light na kulay ng balat
🧎🏽	katamtamang kulay ng balat, lumuhod, nakaluhod, taong nakaluhod, taong nakaluhod: katamtamang kulay ng balat
🧎🏾	katamtamang dark na kulay ng balat, lumuhod, nakaluhod, taong nakaluhod, taong nakaluhod: katamtamang dark na kulay ng balat
🧎🏿	dark na kulay ng balat, lumuhod, nakaluhod, taong nakaluhod, taong nakaluhod: dark na kulay ng balat
🧎‍♂	lalaki, lalaking nakaluhod, nakaluhod
🧎🏻‍♂	lalaki, lalaking nakaluhod, lalaking nakaluhod: light na kulay ng balat, light na kulay ng balat, nakaluhod
🧎🏼‍♂	katamtamang light na kulay ng balat, lalaki, lalaking nakaluhod, lalaking nakaluhod: katamtamang light na kulay ng balat, nakaluhod
🧎🏽‍♂	katamtamang kulay ng balat, lalaki, lalaking nakaluhod, lalaking nakaluhod: katamtamang kulay ng balat, nakaluhod
🧎🏾‍♂	katamtamang dark na kulay ng balat, lalaki, lalaking nakaluhod, lalaking nakaluhod: katamtamang dark na kulay ng balat, nakaluhod
🧎🏿‍♂	dark na kulay ng balat, lalaki, lalaking nakaluhod, lalaking nakaluhod: dark na kulay ng balat, nakaluhod
🧎‍♀	babae, babaeng nakaluhod, nakaluhod
🧎🏻‍♀	babae, babaeng nakaluhod, babaeng nakaluhod: light na kulay ng balat, light na kulay ng balat, nakaluhod
🧎🏼‍♀	babae, babaeng nakaluhod, babaeng nakaluhod: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, nakaluhod
🧎🏽‍♀	babae, babaeng nakaluhod, babaeng nakaluhod: katamtamang kulay ng balat, katamtamang kulay ng balat, nakaluhod
🧎🏾‍♀	babae, babaeng nakaluhod, babaeng nakaluhod: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, nakaluhod
🧎🏿‍♀	babae, babaeng nakaluhod, babaeng nakaluhod: dark na kulay ng balat, dark na kulay ng balat, nakaluhod
🧎‍➡	lumuhod, nakaluhod, taong nakaluhod, taong nakaluhod nakaharap sa kanan
🧎🏻‍➡	lumuhod, nakaluhod, taong nakaluhod, taong nakaluhod nakaharap sa kanan
🧎🏼‍➡	lumuhod, nakaluhod, taong nakaluhod, taong nakaluhod nakaharap sa kanan
🧎🏽‍➡	lumuhod, nakaluhod, taong nakaluhod, taong nakaluhod nakaharap sa kanan
🧎🏾‍➡	lumuhod, nakaluhod, taong nakaluhod, taong nakaluhod nakaharap sa kanan
🧎🏿‍➡	lumuhod, nakaluhod, taong nakaluhod, taong nakaluhod nakaharap sa kanan
🧎‍♀‍➡	babae, babaeng nakaluhod, babaeng nakaluhod nakaharap sa kanan, nakaluhod
🧎🏻‍♀‍➡	babae, babaeng nakaluhod, babaeng nakaluhod nakaharap sa kanan, nakaluhod
🧎🏼‍♀‍➡	babae, babaeng nakaluhod, babaeng nakaluhod nakaharap sa kanan, nakaluhod
🧎🏽‍♀‍➡	babae, babaeng nakaluhod, babaeng nakaluhod nakaharap sa kanan, nakaluhod
🧎🏾‍♀‍➡	babae, babaeng nakaluhod, babaeng nakaluhod nakaharap sa kanan, nakaluhod
🧎🏿‍♀‍➡	babae, babaeng nakaluhod, babaeng nakaluhod nakaharap sa kanan, nakaluhod
🧎‍♂‍➡	lalaki, lalaking nakaluhod, lalaking nakaluhod nakaharap sa kanan, nakaluhod
🧎🏻‍♂‍➡	lalaki, lalaking nakaluhod, lalaking nakaluhod nakaharap sa kanan, nakaluhod
🧎🏼‍♂‍➡	lalaki, lalaking nakaluhod, lalaking nakaluhod nakaharap sa kanan, nakaluhod
🧎🏽‍♂‍➡	lalaki, lalaking nakaluhod, lalaking nakaluhod nakaharap sa kanan, nakaluhod
🧎🏾‍♂‍➡	lalaki, lalaking nakaluhod, lalaking nakaluhod nakaharap sa kanan, nakaluhod
🧎🏿‍♂‍➡	lalaki, lalaking nakaluhod, lalaking nakaluhod nakaharap sa kanan, nakaluhod
🧑‍🦯	bulag, taong may tungkod, tungkod
🧑🏻‍🦯	bulag, light na kulay ng balat, taong may tungkod, taong may tungkod: light na kulay ng balat, tungkod
🧑🏼‍🦯	bulag, katamtamang light na kulay ng balat, taong may tungkod, taong may tungkod: katamtamang light na kulay ng balat, tungkod
🧑🏽‍🦯	bulag, katamtamang kulay ng balat, taong may tungkod, taong may tungkod: katamtamang kulay ng balat, tungkod
🧑🏾‍🦯	bulag, katamtamang dark na kulay ng balat, taong may tungkod, taong may tungkod: katamtamang dark na kulay ng balat, tungkod
🧑🏿‍🦯	bulag, dark na kulay ng balat, taong may tungkod, taong may tungkod: dark na kulay ng balat, tungkod
🧑‍🦯‍➡	bulag, taong may tungkod, taong may tungkod nakaharap sa kanan, tungkod
🧑🏻‍🦯‍➡	bulag, taong may tungkod, taong may tungkod nakaharap sa kanan, tungkod
🧑🏼‍🦯‍➡	bulag, taong may tungkod, taong may tungkod nakaharap sa kanan, tungkod
🧑🏽‍🦯‍➡	bulag, taong may tungkod, taong may tungkod nakaharap sa kanan, tungkod
🧑🏾‍🦯‍➡	bulag, taong may tungkod, taong may tungkod nakaharap sa kanan, tungkod
🧑🏿‍🦯‍➡	bulag, taong may tungkod, taong may tungkod nakaharap sa kanan, tungkod
👨‍🦯	bulag, lalaki, lalaking may baston, pagiging naa-access
👨🏻‍🦯	bulag, lalaki, lalaking may baston, lalaking may baston: light na kulay ng balat, light na kulay ng balat, pagiging naa-access
👨🏼‍🦯	bulag, katamtamang light na kulay ng balat, lalaki, lalaking may baston, lalaking may baston: katamtamang light na kulay ng balat, pagiging naa-access
👨🏽‍🦯	bulag, katamtamang kulay ng balat, lalaki, lalaking may baston, lalaking may baston: katamtamang kulay ng balat, pagiging naa-access
👨🏾‍🦯	bulag, katamtamang dark na kulay ng balat, lalaki, lalaking may baston, lalaking may baston: katamtamang dark na kulay ng balat, pagiging naa-access
👨🏿‍🦯	bulag, dark na kulay ng balat, lalaki, lalaking may baston, lalaking may baston: dark na kulay ng balat, pagiging naa-access
👨‍🦯‍➡	bulag, lalaki, lalaking may baston, lalaking may baston nakaharap sa kanan, pagiging naa-access
👨🏻‍🦯‍➡	bulag, lalaki, lalaking may baston, lalaking may baston nakaharap sa kanan, pagiging naa-access
👨🏼‍🦯‍➡	bulag, lalaki, lalaking may baston, lalaking may baston nakaharap sa kanan, pagiging naa-access
👨🏽‍🦯‍➡	bulag, lalaki, lalaking may baston, lalaking may baston nakaharap sa kanan, pagiging naa-access
👨🏾‍🦯‍➡	bulag, lalaki, lalaking may baston, lalaking may baston nakaharap sa kanan, pagiging naa-access
👨🏿‍🦯‍➡	bulag, lalaki, lalaking may baston, lalaking may baston nakaharap sa kanan, pagiging naa-access
👩‍🦯	babae, babaeng may baston, bulag, pagiging naa-access
👩🏻‍🦯	babae, babaeng may baston, babaeng may baston: light na kulay ng balat, bulag, light na kulay ng balat, pagiging naa-access
👩🏼‍🦯	babae, babaeng may baston, babaeng may baston: katamtamang light na kulay ng balat, bulag, katamtamang light na kulay ng balat, pagiging naa-access
👩🏽‍🦯	babae, babaeng may baston, babaeng may baston: katamtamang kulay ng balat, bulag, katamtamang kulay ng balat, pagiging naa-access
👩🏾‍🦯	babae, babaeng may baston, babaeng may baston: katamtamang dark na kulay ng balat, bulag, katamtamang dark na kulay ng balat, pagiging naa-access
👩🏿‍🦯	babae, babaeng may baston, babaeng may baston: dark na kulay ng balat, bulag, dark na kulay ng balat, pagiging naa-access
👩‍🦯‍➡	babae, babaeng may baston, babaeng may baston nakaharap sa kanan, bulag, pagiging naa-access
👩🏻‍🦯‍➡	babae, babaeng may baston, babaeng may baston nakaharap sa kanan, bulag, pagiging naa-access
👩🏼‍🦯‍➡	babae, babaeng may baston, babaeng may baston nakaharap sa kanan, bulag, pagiging naa-access
👩🏽‍🦯‍➡	babae, babaeng may baston, babaeng may baston nakaharap sa kanan, bulag, pagiging naa-access
👩🏾‍🦯‍➡	babae, babaeng may baston, babaeng may baston nakaharap sa kanan, bulag, pagiging naa-access
👩🏿‍🦯‍➡	babae, babaeng may baston, babaeng may baston nakaharap sa kanan, bulag, pagiging naa-access
🧑‍🦼	pagiging naa-access, tao, tao sa de-kuryenteng wheelchair
🧑🏻‍🦼	light na kulay ng balat, pagiging naa-access, tao, tao sa de-kuryenteng wheelchair, tao sa de-kuryenteng wheelchair: light na kulay ng balat
🧑🏼‍🦼	katamtamang light na kulay ng balat, pagiging naa-access, tao, tao sa de-kuryenteng wheelchair, tao sa de-kuryenteng wheelchair: katamtamang light na kulay ng balat
🧑🏽‍🦼	katamtamang kulay ng balat, pagiging naa-access, tao, tao sa de-kuryenteng wheelchair, tao sa de-kuryenteng wheelchair: katamtamang kulay ng balat
🧑🏾‍🦼	katamtamang dark na kulay ng balat, pagiging naa-access, tao, tao sa de-kuryenteng wheelchair, tao sa de-kuryenteng wheelchair: katamtamang dark na kulay ng balat
🧑🏿‍🦼	dark na kulay ng balat, pagiging naa-access, tao, tao sa de-kuryenteng wheelchair, tao sa de-kuryenteng wheelchair: dark na kulay ng balat
🧑‍🦼‍➡	pagiging naa-access, tao, tao sa de-kuryenteng wheelchair, tao sa de-kuryenteng wheelchair nakaharap sa kanan
🧑🏻‍🦼‍➡	pagiging naa-access, tao, tao sa de-kuryenteng wheelchair, tao sa de-kuryenteng wheelchair nakaharap sa kanan
🧑🏼‍🦼‍➡	pagiging naa-access, tao, tao sa de-kuryenteng wheelchair, tao sa de-kuryenteng wheelchair nakaharap sa kanan
🧑🏽‍🦼‍➡	pagiging naa-access, tao, tao sa de-kuryenteng wheelchair, tao sa de-kuryenteng wheelchair nakaharap sa kanan
🧑🏾‍🦼‍➡	pagiging naa-access, tao, tao sa de-kuryenteng wheelchair, tao sa de-kuryenteng wheelchair nakaharap sa kanan
🧑🏿‍🦼‍➡	pagiging naa-access, tao, tao sa de-kuryenteng wheelchair, tao sa de-kuryenteng wheelchair nakaharap sa kanan
👨‍🦼	lalaki, lalaki sa de-kuryenteng wheelchair, pagiging naa-access, wheelchair
👨🏻‍🦼	lalaki, lalaki sa de-kuryenteng wheelchair, lalaki sa de-kuryenteng wheelchair: light na kulay ng balat, light na kulay ng balat, pagiging naa-access, wheelchair
👨🏼‍🦼	katamtamang light na kulay ng balat, lalaki, lalaki sa de-kuryenteng wheelchair, lalaki sa de-kuryenteng wheelchair: katamtamang light na kulay ng balat, pagiging naa-access, wheelchair
👨🏽‍🦼	katamtamang kulay ng balat, lalaki, lalaki sa de-kuryenteng wheelchair, lalaki sa de-kuryenteng wheelchair: katamtamang kulay ng balat, pagiging naa-access, wheelchair
👨🏾‍🦼	katamtamang dark na kulay ng balat, lalaki, lalaki sa de-kuryenteng wheelchair, lalaki sa de-kuryenteng wheelchair: katamtamang dark na kulay ng balat, pagiging naa-access, wheelchair
👨🏿‍🦼	dark na kulay ng balat, lalaki, lalaki sa de-kuryenteng wheelchair, lalaki sa de-kuryenteng wheelchair: dark na kulay ng balat, pagiging naa-access, wheelchair
👨‍🦼‍➡	lalaki, lalaki sa de-kuryenteng wheelchair, lalaki sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
👨🏻‍🦼‍➡	lalaki, lalaki sa de-kuryenteng wheelchair, lalaki sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
👨🏼‍🦼‍➡	lalaki, lalaki sa de-kuryenteng wheelchair, lalaki sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
👨🏽‍🦼‍➡	lalaki, lalaki sa de-kuryenteng wheelchair, lalaki sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
👨🏾‍🦼‍➡	lalaki, lalaki sa de-kuryenteng wheelchair, lalaki sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
👨🏿‍🦼‍➡	lalaki, lalaki sa de-kuryenteng wheelchair, lalaki sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
👩‍🦼	babae, babae sa de-kuryenteng wheelchair, pagiging naa-access, wheelchair
👩🏻‍🦼	babae, babae sa de-kuryenteng wheelchair, babae sa de-kuryenteng wheelchair: light na kulay ng balat, light na kulay ng balat, pagiging naa-access, wheelchair
👩🏼‍🦼	babae, babae sa de-kuryenteng wheelchair, babae sa de-kuryenteng wheelchair: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, pagiging naa-access, wheelchair
👩🏽‍🦼	babae, babae sa de-kuryenteng wheelchair, babae sa de-kuryenteng wheelchair: katamtamang kulay ng balat, katamtamang kulay ng balat, pagiging naa-access, wheelchair
👩🏾‍🦼	babae, babae sa de-kuryenteng wheelchair, babae sa de-kuryenteng wheelchair: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, pagiging naa-access, wheelchair
👩🏿‍🦼	babae, babae sa de-kuryenteng wheelchair, babae sa de-kuryenteng wheelchair: dark na kulay ng balat, dark na kulay ng balat, pagiging naa-access, wheelchair
👩‍🦼‍➡	babae, babae sa de-kuryenteng wheelchair, babae sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
👩🏻‍🦼‍➡	babae, babae sa de-kuryenteng wheelchair, babae sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
👩🏼‍🦼‍➡	babae, babae sa de-kuryenteng wheelchair, babae sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
👩🏽‍🦼‍➡	babae, babae sa de-kuryenteng wheelchair, babae sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
👩🏾‍🦼‍➡	babae, babae sa de-kuryenteng wheelchair, babae sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
👩🏿‍🦼‍➡	babae, babae sa de-kuryenteng wheelchair, babae sa de-kuryenteng wheelchair nakaharap sa kanan, pagiging naa-access, wheelchair
🧑‍🦽	pagiging naa-access, tao sa manu-manong wheelchair, wheelchair
🧑🏻‍🦽	light na kulay ng balat, pagiging naa-access, tao sa manu-manong wheelchair, tao sa manu-manong wheelchair: light na kulay ng balat, wheelchair
🧑🏼‍🦽	katamtamang light na kulay ng balat, pagiging naa-access, tao sa manu-manong wheelchair, tao sa manu-manong wheelchair: katamtamang light na kulay ng balat, wheelchair
🧑🏽‍🦽	katamtamang kulay ng balat, pagiging naa-access, tao sa manu-manong wheelchair, tao sa manu-manong wheelchair: katamtamang kulay ng balat, wheelchair
🧑🏾‍🦽	katamtamang dark na kulay ng balat, pagiging naa-access, tao sa manu-manong wheelchair, tao sa manu-manong wheelchair: katamtamang dark na kulay ng balat, wheelchair
🧑🏿‍🦽	dark na kulay ng balat, pagiging naa-access, tao sa manu-manong wheelchair, tao sa manu-manong wheelchair: dark na kulay ng balat, wheelchair
🧑‍🦽‍➡	pagiging naa-access, tao sa manu-manong wheelchair, tao sa manu-manong wheelchair nakaharap sa kanan, wheelchair
🧑🏻‍🦽‍➡	pagiging naa-access, tao sa manu-manong wheelchair, tao sa manu-manong wheelchair nakaharap sa kanan, wheelchair
🧑🏼‍🦽‍➡	pagiging naa-access, tao sa manu-manong wheelchair, tao sa manu-manong wheelchair nakaharap sa kanan, wheelchair
