‾	linha, linha superior, superior
👼	anjo, bebê, bebê anjo, conto de fadas, rosto
👼🏻	anjo, bebê, bebê anjo: pele clara, conto de fadas, pele clara, rosto
👼🏼	anjo, bebê, bebê anjo: pele morena clara, conto de fadas, pele morena clara, rosto
👼🏽	anjo, bebê, bebê anjo: pele morena, conto de fadas, pele morena, rosto
👼🏾	anjo, bebê, bebê anjo: pele morena escura, conto de fadas, pele morena escura, rosto
👼🏿	anjo, bebê, bebê anjo: pele escura, conto de fadas, pele escura, rosto
🎅	Papai Noel, comemoração, festas, natal, noel, papai
🎅🏻	Papai Noel: pele clara, comemoração, festas, natal, noel, papai, pele clara
🎅🏼	Papai Noel: pele morena clara, comemoração, festas, natal, noel, papai, pele morena clara
🎅🏽	Papai Noel: pele morena, comemoração, festas, natal, noel, papai, pele morena
🎅🏾	Papai Noel: pele morena escura, comemoração, festas, natal, noel, papai, pele morena escura
🎅🏿	Papai Noel: pele escura, comemoração, festas, natal, noel, papai, pele escura
🤶	Mamãe Noel, Natal, Noel, comemoração, mamãe noel, natal, noel
🤶🏻	Mamãe Noel, Mamãe Noel: pele clara, Natal, Noel, comemoração, mamãe noel, natal, noel, pele clara
🤶🏼	Mamãe Noel, Mamãe Noel: pele morena clara, Natal, Noel, comemoração, mamãe noel, natal, noel, pele morena clara
🤶🏽	Mamãe Noel, Mamãe Noel: pele morena, Natal, Noel, comemoração, mamãe noel, natal, noel, pele morena
🤶🏾	Mamãe Noel, Mamãe Noel: pele morena escura, Natal, Noel, comemoração, mamãe noel, natal, noel, pele morena escura
🤶🏿	Mamãe Noel, Mamãe Noel: pele escura, Natal, Noel, comemoração, mamãe noel, natal, noel, pele escura
🧑‍🎄	Noel, bom velhinho, chapéu, feliz natal, festas, gorro, natal, noel, papai noel, pessoa
🧑🏻‍🎄	Noel, bom velhinho, chapéu, feliz natal, festas, gorro, natal, noel: pele clara, papai noel, pele clara, pessoa
🧑🏼‍🎄	Noel, bom velhinho, chapéu, feliz natal, festas, gorro, natal, noel: pele morena clara, papai noel, pele morena clara, pessoa
🧑🏽‍🎄	Noel, bom velhinho, chapéu, feliz natal, festas, gorro, natal, noel: pele morena, papai noel, pele morena, pessoa
🧑🏾‍🎄	Noel, bom velhinho, chapéu, feliz natal, festas, gorro, natal, noel: pele morena escura, papai noel, pele morena escura, pessoa
🧑🏿‍🎄	Noel, bom velhinho, chapéu, feliz natal, festas, gorro, natal, noel: pele escura, papai noel, pele escura, pessoa
🦸	bem, boa, bom, heroína, herói, super-herói, super-homem, superman, superpoder
🦸🏻	bem, boa, bom, heroína, herói, pele clara, super-herói, super-herói: pele clara, super-homem, superman, superpoder
🦸🏼	bem, boa, bom, heroína, herói, pele morena clara, super-herói, super-herói: pele morena clara, super-homem, superman, superpoder
🦸🏽	bem, boa, bom, heroína, herói, pele morena, super-herói, super-herói: pele morena, super-homem, superman, superpoder
🦸🏾	bem, boa, bom, heroína, herói, pele morena escura, super-herói, super-herói: pele morena escura, super-homem, superman, superpoder
🦸🏿	bem, boa, bom, heroína, herói, pele escura, super-herói, super-herói: pele escura, super-homem, superman, superpoder
🦸‍♂	bom, herói, homem, homem super-herói, superpoder
🦸🏻‍♂	bom, herói, homem, homem super-herói, homem super-herói: pele clara, pele clara, superpoder
🦸🏼‍♂	bom, herói, homem, homem super-herói, homem super-herói: pele morena clara, pele morena clara, superpoder
🦸🏽‍♂	bom, herói, homem, homem super-herói, homem super-herói: pele morena, pele morena, superpoder
🦸🏾‍♂	bom, herói, homem, homem super-herói, homem super-herói: pele morena escura, pele morena escura, superpoder
🦸🏿‍♂	bom, herói, homem, homem super-herói, homem super-herói: pele escura, pele escura, superpoder
🦸‍♀	boa, heroína, herói, mulher, super-heroína, superpoder
🦸🏻‍♀	boa, heroína, herói, mulher, pele clara, super-heroína, super-heroína: pele clara, superpoder
🦸🏼‍♀	boa, heroína, herói, mulher, pele morena clara, super-heroína, super-heroína: pele morena clara, superpoder
🦸🏽‍♀	boa, heroína, herói, mulher, pele morena, super-heroína, super-heroína: pele morena, superpoder
🦸🏾‍♀	boa, heroína, herói, mulher, pele morena escura, super-heroína, super-heroína: pele morena escura, superpoder
🦸🏿‍♀	boa, heroína, herói, mulher, pele escura, super-heroína, super-heroína: pele escura, superpoder
🦹	bandido, criminoso, mal, malvado, mau, superpoder, supervilão, vilão
🦹🏻	bandido, criminoso, mal, malvado, mau, pele clara, superpoder, supervilão, supervilão: pele clara, vilão
🦹🏼	bandido, criminoso, mal, malvado, mau, pele morena clara, superpoder, supervilão, supervilão: pele morena clara, vilão
🦹🏽	bandido, criminoso, mal, malvado, mau, pele morena, superpoder, supervilão, supervilão: pele morena, vilão
🦹🏾	bandido, criminoso, mal, malvado, mau, pele morena escura, superpoder, supervilão, supervilão: pele morena escura, vilão
🦹🏿	bandido, criminoso, mal, malvado, mau, pele escura, superpoder, supervilão, supervilão: pele escura, vilão
🦹‍♂	criminoso, homem, homem supervilão, mal, superpoder, vilão
🦹🏻‍♂	criminoso, homem, homem supervilão, homem supervilão: pele clara, mal, pele clara, superpoder, vilão
🦹🏼‍♂	criminoso, homem, homem supervilão, homem supervilão: pele morena clara, mal, pele morena clara, superpoder, vilão
🦹🏽‍♂	criminoso, homem, homem supervilão, homem supervilão: pele morena, mal, pele morena, superpoder, vilão
🦹🏾‍♂	criminoso, homem, homem supervilão, homem supervilão: pele morena escura, mal, pele morena escura, superpoder, vilão
🦹🏿‍♂	criminoso, homem, homem supervilão, homem supervilão: pele escura, mal, pele escura, superpoder, vilão
🦹‍♀	criminosa, mulher, má, superpoder, supervilã, vilã
🦹🏻‍♀	criminosa, mulher, má, pele clara, superpoder, supervilã, supervilã: pele clara, vilã
🦹🏼‍♀	criminosa, mulher, má, pele morena clara, superpoder, supervilã, supervilã: pele morena clara, vilã
🦹🏽‍♀	criminosa, mulher, má, pele morena, superpoder, supervilã, supervilã: pele morena, vilã
🦹🏾‍♀	criminosa, mulher, má, pele morena escura, superpoder, supervilã, supervilã: pele morena escura, vilã
🦹🏿‍♀	criminosa, mulher, má, pele escura, superpoder, supervilã, supervilã: pele escura, vilã
🧙	bruxa, fantasia, feiticeira, feiticeiro, feitiço, maga, magia, mago, mago, feiticeiro, bruxo, feiticeiro, feitiço, magia, rpg
🧙🏻	bruxa, fantasia, feiticeira, feiticeiro, feitiço, maga, magia, mago, mago, feiticeiro, bruxo, feiticeiro, feitiço, magia, mago: pele clara, pele clara, rpg
🧙🏼	bruxa, fantasia, feiticeira, feiticeiro, feitiço, maga, magia, mago, mago, feiticeiro, bruxo, feiticeiro, feitiço, magia, mago: pele morena clara, pele morena clara, rpg
🧙🏽	bruxa, fantasia, feiticeira, feiticeiro, feitiço, maga, magia, mago, mago, feiticeiro, bruxo, feiticeiro, feitiço, magia, mago: pele morena, pele morena, rpg
🧙🏾	bruxa, fantasia, feiticeira, feiticeiro, feitiço, maga, magia, mago, mago, feiticeiro, bruxo, feiticeiro, feitiço, magia, mago: pele morena escura, pele morena escura, rpg
🧙🏿	bruxa, fantasia, feiticeira, feiticeiro, feitiço, maga, magia, mago, mago, feiticeiro, bruxo, feiticeiro, feitiço, magia, mago: pele escura, pele escura, rpg
🧙‍♂	feiticeiro, homem mago, mago
🧙🏻‍♂	feiticeiro, homem mago, homem mago: pele clara, mago, pele clara
🧙🏼‍♂	feiticeiro, homem mago, homem mago: pele morena clara, mago, pele morena clara
🧙🏽‍♂	feiticeiro, homem mago, homem mago: pele morena, mago, pele morena
🧙🏾‍♂	feiticeiro, homem mago, homem mago: pele morena escura, mago, pele morena escura
🧙🏿‍♂	feiticeiro, homem mago, homem mago: pele escura, mago, pele escura
🧙‍♀	bruxa, feiticeira, maga
🧙🏻‍♀	bruxa, feiticeira, maga, maga: pele clara, pele clara
🧙🏼‍♀	bruxa, feiticeira, maga, maga: pele morena clara, pele morena clara
🧙🏽‍♀	bruxa, feiticeira, maga, maga: pele morena, pele morena
🧙🏾‍♀	bruxa, feiticeira, maga, maga: pele morena escura, pele morena escura
🧙🏿‍♀	bruxa, feiticeira, maga, maga: pele escura, pele escura
🧚	asas, conto de fadas, fada, fantasia, ser encantado
🧚🏻	asas, conto de fadas, fada, fada: pele clara, fantasia, pele clara, ser encantado
🧚🏼	asas, conto de fadas, fada, fada: pele morena clara, fantasia, pele morena clara, ser encantado
🧚🏽	asas, conto de fadas, fada, fada: pele morena, fantasia, pele morena, ser encantado
🧚🏾	asas, conto de fadas, fada, fada: pele morena escura, fantasia, pele morena escura, ser encantado
🧚🏿	asas, conto de fadas, fada, fada: pele escura, fantasia, pele escura, ser encantado
🧚‍♂	fada, homem fada
🧚🏻‍♂	fada, homem fada, homem fada: pele clara, pele clara
🧚🏼‍♂	fada, homem fada, homem fada: pele morena clara, pele morena clara
🧚🏽‍♂	fada, homem fada, homem fada: pele morena, pele morena
🧚🏾‍♂	fada, homem fada, homem fada: pele morena escura, pele morena escura
🧚🏿‍♂	fada, homem fada, homem fada: pele escura, pele escura
🧚‍♀	fada, mulher fada
🧚🏻‍♀	fada, mulher fada, mulher fada: pele clara, pele clara
🧚🏼‍♀	fada, mulher fada, mulher fada: pele morena clara, pele morena clara
🧚🏽‍♀	fada, mulher fada, mulher fada: pele morena, pele morena
🧚🏾‍♀	fada, mulher fada, mulher fada: pele morena escura, pele morena escura
🧚🏿‍♀	fada, mulher fada, mulher fada: pele escura, pele escura
🧛	Drácula, assustador, dia das bruxas, drácula, fantasia, halloween, monstro, sangue, terror, vampiro
🧛🏻	Drácula, assustador, dia das bruxas, drácula, fantasia, halloween, monstro, pele clara, sangue, terror, vampiro, vampiro: pele clara
🧛🏼	Drácula, assustador, dia das bruxas, drácula, fantasia, halloween, monstro, pele morena clara, sangue, terror, vampiro, vampiro: pele morena clara
🧛🏽	Drácula, assustador, dia das bruxas, drácula, fantasia, halloween, monstro, pele morena, sangue, terror, vampiro, vampiro: pele morena
🧛🏾	Drácula, assustador, dia das bruxas, drácula, fantasia, halloween, monstro, pele morena escura, sangue, terror, vampiro, vampiro: pele morena escura
🧛🏿	Drácula, assustador, dia das bruxas, drácula, fantasia, halloween, monstro, pele escura, sangue, terror, vampiro, vampiro: pele escura
🧛‍♂	Drácula, homem vampiro, vampiro
🧛🏻‍♂	Drácula, homem vampiro, homem vampiro: pele clara, pele clara, vampiro
🧛🏼‍♂	Drácula, homem vampiro, homem vampiro: pele morena clara, pele morena clara, vampiro
🧛🏽‍♂	Drácula, homem vampiro, homem vampiro: pele morena, pele morena, vampiro
🧛🏾‍♂	Drácula, homem vampiro, homem vampiro: pele morena escura, pele morena escura, vampiro
🧛🏿‍♂	Drácula, homem vampiro, homem vampiro: pele escura, pele escura, vampiro
🧛‍♀	mulher vampira, vampira
🧛🏻‍♀	mulher vampira, mulher vampira: pele clara, pele clara, vampira
🧛🏼‍♀	mulher vampira, mulher vampira: pele morena clara, pele morena clara, vampira
🧛🏽‍♀	mulher vampira, mulher vampira: pele morena, pele morena, vampira
🧛🏾‍♀	mulher vampira, mulher vampira: pele morena escura, pele morena escura, vampira
🧛🏿‍♀	mulher vampira, mulher vampira: pele escura, pele escura, vampira
🧜	canto, cauda, contos, criatura, fada, fundo, mar, oceano, pessoa sereia, ser encantado, sereia, sirene, tridente
🧜🏻	canto, cauda, contos, criatura, fada, fundo, mar, oceano, pele clara, pessoa sereia: pele clara, ser encantado, sereia, sirene, tridente
🧜🏼	canto, cauda, contos, criatura, fada, fundo, mar, oceano, pele morena clara, pessoa sereia: pele morena clara, ser encantado, sereia, sirene, tridente
🧜🏽	canto, cauda, contos, criatura, fada, fundo, mar, oceano, pele morena, pessoa sereia: pele morena, ser encantado, sereia, sirene, tridente
🧜🏾	canto, cauda, contos, criatura, fada, fundo, mar, oceano, pele morena escura, pessoa sereia: pele morena escura, ser encantado, sereia, sirene, tridente
🧜🏿	canto, cauda, contos, criatura, fada, fundo, mar, oceano, pele escura, pessoa sereia: pele escura, ser encantado, sereia, sirene, tridente
🧜‍♂	Tritão, sereio
🧜🏻‍♂	Tritão, pele clara, sereio, sereio: pele clara
🧜🏼‍♂	Tritão, pele morena clara, sereio, sereio: pele morena clara
🧜🏽‍♂	Tritão, pele morena, sereio, sereio: pele morena
🧜🏾‍♂	Tritão, pele morena escura, sereio, sereio: pele morena escura
🧜🏿‍♂	Tritão, pele escura, sereio, sereio: pele escura
🧜‍♀	sereia
🧜🏻‍♀	pele clara, sereia, sereia: pele clara
🧜🏼‍♀	pele morena clara, sereia, sereia: pele morena clara
🧜🏽‍♀	pele morena, sereia, sereia: pele morena
🧜🏾‍♀	pele morena escura, sereia, sereia: pele morena escura
🧜🏿‍♀	pele escura, sereia, sereia: pele escura
🧝	Elfo, duende, légolas, elfo, fantasia, magia, mágico, místico, rpg, ser encantado
🧝🏻	Elfo, duende, légolas, elfo, elfo: pele clara, fantasia, magia, mágico, místico, pele clara, rpg, ser encantado
🧝🏼	Elfo, duende, légolas, elfo, elfo: pele morena clara, fantasia, magia, mágico, místico, pele morena clara, rpg, ser encantado
🧝🏽	Elfo, duende, légolas, elfo, elfo: pele morena, fantasia, magia, mágico, místico, pele morena, rpg, ser encantado
🧝🏾	Elfo, duende, légolas, elfo, elfo: pele morena escura, fantasia, magia, mágico, místico, pele morena escura, rpg, ser encantado
🧝🏿	Elfo, duende, légolas, elfo, elfo: pele escura, fantasia, magia, mágico, místico, pele escura, rpg, ser encantado
🧝‍♂	duende homem, elfo, elfo homem
🧝🏻‍♂	duende homem, elfo, elfo homem, elfo homem: pele clara, pele clara
