‾	үстіңгі сызық
🏊️	жүзгіш, жүзу, жүзуші, жүзіп бара жатқан адам, спорт, триатлон, фристайл
🏊🏻	1–2 тері түсі, жүзгіш, жүзу, жүзуші, жүзуші: 1–2 тері түсі, жүзіп бара жатқан адам, спорт, триатлон, фристайл
🏊🏼	3-тері түрі, жүзгіш, жүзу, жүзуші, жүзуші: 3-тері түрі, жүзіп бара жатқан адам, спорт, триатлон, фристайл
🏊🏽	4-тері түсі, жүзгіш, жүзу, жүзуші, жүзуші: 4-тері түсі, жүзіп бара жатқан адам, спорт, триатлон, фристайл
🏊🏾	5-тері түсі, жүзгіш, жүзу, жүзуші, жүзуші: 5-тері түсі, жүзіп бара жатқан адам, спорт, триатлон, фристайл
🏊🏿	6-тері түсі, жүзгіш, жүзу, жүзуші, жүзуші: 6-тері түсі, жүзіп бара жатқан адам, спорт, триатлон, фристайл
🏊‍♂	ер, жүзу, жүзуші ер
🏊🏻‍♂	1–2 тері түсі, ер, жүзу, жүзуші ер, жүзуші ер: 1–2 тері түсі
🏊🏼‍♂	3-тері түрі, ер, жүзу, жүзуші ер, жүзуші ер: 3-тері түрі
🏊🏽‍♂	4-тері түсі, ер, жүзу, жүзуші ер, жүзуші ер: 4-тері түсі
🏊🏾‍♂	5-тері түсі, ер, жүзу, жүзуші ер, жүзуші ер: 5-тері түсі
🏊🏿‍♂	6-тері түсі, ер, жүзу, жүзуші ер, жүзуші ер: 6-тері түсі
🏊‍♀	жүзу, жүзуші әйел, спорт, әйел
🏊🏻‍♀	1–2 тері түсі, жүзу, жүзуші әйел, жүзуші әйел: 1–2 тері түсі, спорт, әйел
🏊🏼‍♀	3-тері түрі, жүзу, жүзуші әйел, жүзуші әйел: 3-тері түрі, спорт, әйел
🏊🏽‍♀	4-тері түсі, жүзу, жүзуші әйел, жүзуші әйел: 4-тері түсі, спорт, әйел
🏊🏾‍♀	5-тері түсі, жүзу, жүзуші әйел, жүзуші әйел: 5-тері түсі, спорт, әйел
🏊🏿‍♀	6-тері түсі, жүзу, жүзуші әйел, жүзуші әйел: 6-тері түсі, спорт, әйел
⛹️	адам, баскетбол, доп, доп ойнаған адам, доппен ойнап жатқан адам, ойнау, ойыншы, себет, спорт, чемпионат
⛹🏻	1–2 тері түсі, адам, баскетбол, доп, доп ойнаған адам, доп ойнаған адам: 1–2 тері түсі, доппен ойнап жатқан адам, ойнау, ойыншы, себет, спорт, чемпионат
⛹🏼	3-тері түрі, адам, баскетбол, доп, доп ойнаған адам, доп ойнаған адам: 3-тері түрі, доппен ойнап жатқан адам, ойнау, ойыншы, себет, спорт, чемпионат
⛹🏽	4-тері түсі, адам, баскетбол, доп, доп ойнаған адам, доп ойнаған адам: 4-тері түсі, доппен ойнап жатқан адам, ойнау, ойыншы, себет, спорт, чемпионат
⛹🏾	5-тері түсі, адам, баскетбол, доп, доп ойнаған адам, доп ойнаған адам: 5-тері түсі, доппен ойнап жатқан адам, ойнау, ойыншы, себет, спорт, чемпионат
⛹🏿	6-тері түсі, адам, баскетбол, доп, доп ойнаған адам, доп ойнаған адам: 6-тері түсі, доппен ойнап жатқан адам, ойнау, ойыншы, себет, спорт, чемпионат
⛹‍♂	доп, доп ойнаған ер, ер
⛹🏻‍♂	1–2 тері түсі, доп, доп ойнаған ер, доп ойнаған ер: 1–2 тері түсі, ер
⛹🏼‍♂	3-тері түрі, доп, доп ойнаған ер, доп ойнаған ер: 3-тері түрі, ер
⛹🏽‍♂	4-тері түсі, доп, доп ойнаған ер, доп ойнаған ер: 4-тері түсі, ер
⛹🏾‍♂	5-тері түсі, доп, доп ойнаған ер, доп ойнаған ер: 5-тері түсі, ер
⛹🏿‍♂	6-тері түсі, доп, доп ойнаған ер, доп ойнаған ер: 6-тері түсі, ер
⛹‍♀	доп, доп ойнаған әйел, спорт, әйел
⛹🏻‍♀	1–2 тері түсі, доп, доп ойнаған әйел, доп ойнаған әйел: 1–2 тері түсі, спорт, әйел
⛹🏼‍♀	3-тері түрі, доп, доп ойнаған әйел, доп ойнаған әйел: 3-тері түрі, спорт, әйел
⛹🏽‍♀	4-тері түсі, доп, доп ойнаған әйел, доп ойнаған әйел: 4-тері түсі, спорт, әйел
⛹🏾‍♀	5-тері түсі, доп, доп ойнаған әйел, доп ойнаған әйел: 5-тері түсі, спорт, әйел
⛹🏿‍♀	6-тері түсі, доп, доп ойнаған әйел, доп ойнаған әйел: 6-тері түсі, спорт, әйел
🏋️	атлет, ауыр атлетика, ауырлық, бодибилдер, гантель, жаттығу, зілтемір көтеріп жатқан адам, зілтемірші, пауэрлифтинг, салмақ, салмақ көтеру, спорт, штанга
🏋🏻	1–2 тері түсі, атлет, ауыр атлетика, ауырлық, бодибилдер, гантель, жаттығу, зілтемір көтеріп жатқан адам, зілтемірші, зілтемірші: 1–2 тері түсі, пауэрлифтинг, салмақ, салмақ көтеру, спорт, штанга
🏋🏼	3-тері түрі, атлет, ауыр атлетика, ауырлық, бодибилдер, гантель, жаттығу, зілтемір көтеріп жатқан адам, зілтемірші, зілтемірші: 3-тері түрі, пауэрлифтинг, салмақ, салмақ көтеру, спорт, штанга
🏋🏽	4-тері түсі, атлет, ауыр атлетика, ауырлық, бодибилдер, гантель, жаттығу, зілтемір көтеріп жатқан адам, зілтемірші, зілтемірші: 4-тері түсі, пауэрлифтинг, салмақ, салмақ көтеру, спорт, штанга
🏋🏾	5-тері түсі, атлет, ауыр атлетика, ауырлық, бодибилдер, гантель, жаттығу, зілтемір көтеріп жатқан адам, зілтемірші, зілтемірші: 5-тері түсі, пауэрлифтинг, салмақ, салмақ көтеру, спорт, штанга
🏋🏿	6-тері түсі, атлет, ауыр атлетика, ауырлық, бодибилдер, гантель, жаттығу, зілтемір көтеріп жатқан адам, зілтемірші, зілтемірші: 6-тері түсі, пауэрлифтинг, салмақ, салмақ көтеру, спорт, штанга
🏋‍♂	атлет, ауыр атлет ер, ер, салмақ көтеру
