‾	traço sobrescrito
👷	capacete, chapéu, construção, empreiteiro, obras, pedreiro, pessoa construtora, remodelação, reparação, trabalhador, trabalhador da construção civil, trolha
👷🏻	capacete, chapéu, construção, empreiteiro, obras, pedreiro, pedreiro: tipo de pele 1–2, pessoa construtora, remodelação, reparação, tipo de pele 1–2, trabalhador, trabalhador da construção civil, trolha
👷🏼	capacete, chapéu, construção, empreiteiro, obras, pedreiro, pedreiro: tipo de pele 3, pessoa construtora, remodelação, reparação, tipo de pele 3, trabalhador, trabalhador da construção civil, trolha
👷🏽	capacete, chapéu, construção, empreiteiro, obras, pedreiro, pedreiro: tipo de pele 4, pessoa construtora, remodelação, reparação, tipo de pele 4, trabalhador, trabalhador da construção civil, trolha
👷🏾	capacete, chapéu, construção, empreiteiro, obras, pedreiro, pedreiro: tipo de pele 5, pessoa construtora, remodelação, reparação, tipo de pele 5, trabalhador, trabalhador da construção civil, trolha
👷🏿	capacete, chapéu, construção, empreiteiro, obras, pedreiro, pedreiro: tipo de pele 6, pessoa construtora, remodelação, reparação, tipo de pele 6, trabalhador, trabalhador da construção civil, trolha
👷‍♂	construção, homem, operário da construção civil, trabalhador, trabalhador da construção civil
👷🏻‍♂	construção, homem, operário da construção civil, operário da construção civil: tipo de pele 1–2, tipo de pele 1–2, trabalhador, trabalhador da construção civil
👷🏼‍♂	construção, homem, operário da construção civil, operário da construção civil: tipo de pele 3, tipo de pele 3, trabalhador, trabalhador da construção civil
👷🏽‍♂	construção, homem, operário da construção civil, operário da construção civil: tipo de pele 4, tipo de pele 4, trabalhador, trabalhador da construção civil
👷🏾‍♂	construção, homem, operário da construção civil, operário da construção civil: tipo de pele 5, tipo de pele 5, trabalhador, trabalhador da construção civil
👷🏿‍♂	construção, homem, operário da construção civil, operário da construção civil: tipo de pele 6, tipo de pele 6, trabalhador, trabalhador da construção civil
👷‍♀	capacete, capacete de proteção, construção, mulher, operária da construção civil, trabalhadora, trabalhadora da construção civil
👷🏻‍♀	capacete, capacete de proteção, construção, mulher, operária da construção civil, operária da construção civil: tipo de pele 1–2, tipo de pele 1–2, trabalhadora, trabalhadora da construção civil
👷🏼‍♀	capacete, capacete de proteção, construção, mulher, operária da construção civil, operária da construção civil: tipo de pele 3, tipo de pele 3, trabalhadora, trabalhadora da construção civil
👷🏽‍♀	capacete, capacete de proteção, construção, mulher, operária da construção civil, operária da construção civil: tipo de pele 4, tipo de pele 4, trabalhadora, trabalhadora da construção civil
👷🏾‍♀	capacete, capacete de proteção, construção, mulher, operária da construção civil, operária da construção civil: tipo de pele 5, tipo de pele 5, trabalhadora, trabalhadora da construção civil
👷🏿‍♀	capacete, capacete de proteção, construção, mulher, operária da construção civil, operária da construção civil: tipo de pele 6, tipo de pele 6, trabalhadora, trabalhadora da construção civil
🫅	monarca, nobre, pessoa com coroa, real, rei
🫅🏻	monarca, nobre, pessoa com coroa, pessoa com coroa: tipo de pele 1–2, real, rei, tipo de pele 1–2
🫅🏼	monarca, nobre, pessoa com coroa, pessoa com coroa: tipo de pele 3, real, rei, tipo de pele 3
🫅🏽	monarca, nobre, pessoa com coroa, pessoa com coroa: tipo de pele 4, real, rei, tipo de pele 4
🫅🏾	monarca, nobre, pessoa com coroa, pessoa com coroa: tipo de pele 5, real, rei, tipo de pele 5
🫅🏿	monarca, nobre, pessoa com coroa, pessoa com coroa: tipo de pele 6, real, rei, tipo de pele 6
🤴	monarquia, príncipe, realeza
🤴🏻	monarquia, príncipe, príncipe: tipo de pele 1–2, realeza, tipo de pele 1–2
🤴🏼	monarquia, príncipe, príncipe: tipo de pele 3, realeza, tipo de pele 3
🤴🏽	monarquia, príncipe, príncipe: tipo de pele 4, realeza, tipo de pele 4
🤴🏾	monarquia, príncipe, príncipe: tipo de pele 5, realeza, tipo de pele 5
🤴🏿	monarquia, príncipe, príncipe: tipo de pele 6, realeza, tipo de pele 6
👸	conto de fadas, fantasia, princesa, rainha, realeza
👸🏻	conto de fadas, fantasia, princesa, princesa: tipo de pele 1–2, rainha, realeza, tipo de pele 1–2
👸🏼	conto de fadas, fantasia, princesa, princesa: tipo de pele 3, rainha, realeza, tipo de pele 3
👸🏽	conto de fadas, fantasia, princesa, princesa: tipo de pele 4, rainha, realeza, tipo de pele 4
👸🏾	conto de fadas, fantasia, princesa, princesa: tipo de pele 5, rainha, realeza, tipo de pele 5
👸🏿	conto de fadas, fantasia, princesa, princesa: tipo de pele 6, rainha, realeza, tipo de pele 6
👳	cara com barba, homem, pessoa com turbante, rosto com barba, turbante
👳🏻	cara com barba, homem, pessoa com turbante, pessoa com turbante: tipo de pele 1–2, rosto com barba, tipo de pele 1–2, turbante
👳🏼	cara com barba, homem, pessoa com turbante, pessoa com turbante: tipo de pele 3, rosto com barba, tipo de pele 3, turbante
👳🏽	cara com barba, homem, pessoa com turbante, pessoa com turbante: tipo de pele 4, rosto com barba, tipo de pele 4, turbante
👳🏾	cara com barba, homem, pessoa com turbante, pessoa com turbante: tipo de pele 5, rosto com barba, tipo de pele 5, turbante
👳🏿	cara com barba, homem, pessoa com turbante, pessoa com turbante: tipo de pele 6, rosto com barba, tipo de pele 6, turbante
👳🏻‍♂	homem, homem com turbante, homem com turbante: tipo de pele 1–2, tipo de pele 1–2, turbante
👳🏼‍♂	homem, homem com turbante, homem com turbante: tipo de pele 3, tipo de pele 3, turbante
👳🏽‍♂	homem, homem com turbante, homem com turbante: tipo de pele 4, tipo de pele 4, turbante
👳🏾‍♂	homem, homem com turbante, homem com turbante: tipo de pele 5, tipo de pele 5, turbante
👳🏿‍♂	homem, homem com turbante, homem com turbante: tipo de pele 6, tipo de pele 6, turbante
👳🏻‍♀	mulher, mulher com turbante, mulher com turbante: tipo de pele 1–2, tipo de pele 1–2, turbante
👳🏼‍♀	mulher, mulher com turbante, mulher com turbante: tipo de pele 3, tipo de pele 3, turbante
👳🏽‍♀	mulher, mulher com turbante, mulher com turbante: tipo de pele 4, tipo de pele 4, turbante
👳🏾‍♀	mulher, mulher com turbante, mulher com turbante: tipo de pele 5, tipo de pele 5, turbante
👳🏿‍♀	mulher, mulher com turbante, mulher com turbante: tipo de pele 6, tipo de pele 6, turbante
👲	chapéu, chinês, gua pi mao, homem, homem com chapéu chinês, homem de boné
👲🏻	chapéu, chinês, gua pi mao, homem, homem com chapéu chinês, homem com chapéu chinês: tipo de pele 1–2, homem de boné, tipo de pele 1–2
👲🏼	chapéu, chinês, gua pi mao, homem, homem com chapéu chinês, homem com chapéu chinês: tipo de pele 3, homem de boné, tipo de pele 3
👲🏽	chapéu, chinês, gua pi mao, homem, homem com chapéu chinês, homem com chapéu chinês: tipo de pele 4, homem de boné, tipo de pele 4
👲🏾	chapéu, chinês, gua pi mao, homem, homem com chapéu chinês, homem com chapéu chinês: tipo de pele 5, homem de boné, tipo de pele 5
👲🏿	chapéu, chinês, gua pi mao, homem, homem com chapéu chinês, homem com chapéu chinês: tipo de pele 6, homem de boné, tipo de pele 6
🧕	hijab, lenço, mulher com lenço islâmico, mulher com lenço na cabeça, mulher com véu
🧕🏻	hijab, lenço, mulher com lenço islâmico, mulher com lenço na cabeça, mulher com lenço na cabeça: tipo de pele 1–2, mulher com véu, tipo de pele 1–2
🧕🏼	hijab, lenço, mulher com lenço islâmico, mulher com lenço na cabeça, mulher com lenço na cabeça: tipo de pele 3, mulher com véu, tipo de pele 3
🧕🏽	hijab, lenço, mulher com lenço islâmico, mulher com lenço na cabeça, mulher com lenço na cabeça: tipo de pele 4, mulher com véu, tipo de pele 4
🧕🏾	hijab, lenço, mulher com lenço islâmico, mulher com lenço na cabeça, mulher com lenço na cabeça: tipo de pele 5, mulher com véu, tipo de pele 5
🧕🏿	hijab, lenço, mulher com lenço islâmico, mulher com lenço na cabeça, mulher com lenço na cabeça: tipo de pele 6, mulher com véu, tipo de pele 6
🤵	formal, homem, homem de smoking, noivo, pessoa, pessoa de smoking, smoking
🤵🏻	formal, homem, homem de smoking, noivo, pessoa, pessoa de smoking, pessoa de smoking: tipo de pele 1–2, smoking, tipo de pele 1–2
🤵🏼	formal, homem, homem de smoking, noivo, pessoa, pessoa de smoking, pessoa de smoking: tipo de pele 3, smoking, tipo de pele 3
🤵🏽	formal, homem, homem de smoking, noivo, pessoa, pessoa de smoking, pessoa de smoking: tipo de pele 4, smoking, tipo de pele 4
🤵🏾	formal, homem, homem de smoking, noivo, pessoa, pessoa de smoking, pessoa de smoking: tipo de pele 5, smoking, tipo de pele 5
🤵🏿	formal, homem, homem de smoking, noivo, pessoa, pessoa de smoking, pessoa de smoking: tipo de pele 6, smoking, tipo de pele 6
🤵🏻‍♂	homem, homem de smoking, homem de smoking: tipo de pele 1–2, smoking, tipo de pele 1–2
🤵🏼‍♂	homem, homem de smoking, homem de smoking: tipo de pele 3, smoking, tipo de pele 3
🤵🏽‍♂	homem, homem de smoking, homem de smoking: tipo de pele 4, smoking, tipo de pele 4
🤵🏾‍♂	homem, homem de smoking, homem de smoking: tipo de pele 5, smoking, tipo de pele 5
🤵🏿‍♂	homem, homem de smoking, homem de smoking: tipo de pele 6, smoking, tipo de pele 6
🤵🏻‍♀	mulher, mulher de smoking, mulher de smoking: tipo de pele 1–2, smoking, tipo de pele 1–2
🤵🏼‍♀	mulher, mulher de smoking, mulher de smoking: tipo de pele 3, smoking, tipo de pele 3
🤵🏽‍♀	mulher, mulher de smoking, mulher de smoking: tipo de pele 4, smoking, tipo de pele 4
🤵🏾‍♀	mulher, mulher de smoking, mulher de smoking: tipo de pele 5, smoking, tipo de pele 5
🤵🏿‍♀	mulher, mulher de smoking, mulher de smoking: tipo de pele 6, smoking, tipo de pele 6
👰	casamento, noiva, noiva com véu, pessoa, pessoa com véu, véu
👰🏻	casamento, noiva, noiva com véu, pessoa, pessoa com véu, pessoa com véu: tipo de pele 1–2, tipo de pele 1–2, véu
👰🏼	casamento, noiva, noiva com véu, pessoa, pessoa com véu, pessoa com véu: tipo de pele 3, tipo de pele 3, véu
👰🏽	casamento, noiva, noiva com véu, pessoa, pessoa com véu, pessoa com véu: tipo de pele 4, tipo de pele 4, véu
👰🏾	casamento, noiva, noiva com véu, pessoa, pessoa com véu, pessoa com véu: tipo de pele 5, tipo de pele 5, véu
👰🏿	casamento, noiva, noiva com véu, pessoa, pessoa com véu, pessoa com véu: tipo de pele 6, tipo de pele 6, véu
👰‍♂	homem, homem com véu, véu
👰🏻‍♂	homem, homem com véu, homem com véu: tipo de pele 1–2, tipo de pele 1–2, véu
👰🏼‍♂	homem, homem com véu, homem com véu: tipo de pele 3, tipo de pele 3, véu
👰🏽‍♂	homem, homem com véu, homem com véu: tipo de pele 4, tipo de pele 4, véu
👰🏾‍♂	homem, homem com véu, homem com véu: tipo de pele 5, tipo de pele 5, véu
👰🏿‍♂	homem, homem com véu, homem com véu: tipo de pele 6, tipo de pele 6, véu
👰‍♀	mulher, mulher com véu, véu
👰🏻‍♀	mulher, mulher com véu, mulher com véu: tipo de pele 1–2, tipo de pele 1–2, véu
👰🏼‍♀	mulher, mulher com véu, mulher com véu: tipo de pele 3, tipo de pele 3, véu
👰🏽‍♀	mulher, mulher com véu, mulher com véu: tipo de pele 4, tipo de pele 4, véu
👰🏾‍♀	mulher, mulher com véu, mulher com véu: tipo de pele 5, tipo de pele 5, véu
👰🏿‍♀	mulher, mulher com véu, mulher com véu: tipo de pele 6, tipo de pele 6, véu
🤰	grávida, mulher
🤰🏻	grávida, grávida: tipo de pele 1–2, mulher, tipo de pele 1–2
🤰🏼	grávida, grávida: tipo de pele 3, mulher, tipo de pele 3
🤰🏽	grávida, grávida: tipo de pele 4, mulher, tipo de pele 4
🤰🏾	grávida, grávida: tipo de pele 5, mulher, tipo de pele 5
🤰🏿	grávida, grávida: tipo de pele 6, mulher, tipo de pele 6
🫃	barriga, barriga de cerveja, cheio, comer demais, gravidez, grávido, homem grávido, inchado
🫃🏻	barriga, barriga de cerveja, cheio, comer demais, gravidez, grávido, homem grávido, homem grávido: tipo de pele 1–2, inchado, tipo de pele 1–2
🫃🏼	barriga, barriga de cerveja, cheio, comer demais, gravidez, grávido, homem grávido, homem grávido: tipo de pele 3, inchado, tipo de pele 3
🫃🏽	barriga, barriga de cerveja, cheio, comer demais, gravidez, grávido, homem grávido, homem grávido: tipo de pele 4, inchado, tipo de pele 4
🫃🏾	barriga, barriga de cerveja, cheio, comer demais, gravidez, grávido, homem grávido, homem grávido: tipo de pele 5, inchado, tipo de pele 5
🫃🏿	barriga, barriga de cerveja, cheio, comer demais, gravidez, grávido, homem grávido, homem grávido: tipo de pele 6, inchado, tipo de pele 6
🫄	barriga, barriga cheia, cheio, comer demais, gravidez, inchada, pessoa grávida
🫄🏻	barriga, barriga cheia, cheio, comer demais, gravidez, inchada, pessoa grávida, pessoa grávida: tipo de pele 1–2, tipo de pele 1–2
🫄🏼	barriga, barriga cheia, cheio, comer demais, gravidez, inchada, pessoa grávida, pessoa grávida: tipo de pele 3, tipo de pele 3
🫄🏽	barriga, barriga cheia, cheio, comer demais, gravidez, inchada, pessoa grávida, pessoa grávida: tipo de pele 4, tipo de pele 4
🫄🏾	barriga, barriga cheia, cheio, comer demais, gravidez, inchada, pessoa grávida, pessoa grávida: tipo de pele 5, tipo de pele 5
🫄🏿	barriga, barriga cheia, cheio, comer demais, gravidez, inchada, pessoa grávida, pessoa grávida: tipo de pele 6, tipo de pele 6
🤱	amamentar, amamentação, bebé, dar de mamar, seio
🤱🏻	amamentar, amamentar: tipo de pele 1–2, amamentação, bebé, dar de mamar, seio, tipo de pele 1–2
🤱🏼	amamentar, amamentar: tipo de pele 3, amamentação, bebé, dar de mamar, seio, tipo de pele 3
🤱🏽	amamentar, amamentar: tipo de pele 4, amamentação, bebé, dar de mamar, seio, tipo de pele 4
🤱🏾	amamentar, amamentar: tipo de pele 5, amamentação, bebé, dar de mamar, seio, tipo de pele 5
🤱🏿	amamentar, amamentar: tipo de pele 6, amamentação, bebé, dar de mamar, seio, tipo de pele 6
👩‍🍼	alimentar, amamentação, bebé, mulher, mulher a alimentar bebé, mãe, pessoa
👩🏻‍🍼	alimentar, amamentação, bebé, mulher, mulher a alimentar bebé, mulher a alimentar bebé: tipo de pele 1–2, mãe, pessoa, tipo de pele 1–2
👩🏼‍🍼	alimentar, amamentação, bebé, mulher, mulher a alimentar bebé, mulher a alimentar bebé: tipo de pele 3, mãe, pessoa, tipo de pele 3
👩🏽‍🍼	alimentar, amamentação, bebé, mulher, mulher a alimentar bebé, mulher a alimentar bebé: tipo de pele 4, mãe, pessoa, tipo de pele 4
👩🏾‍🍼	alimentar, amamentação, bebé, mulher, mulher a alimentar bebé, mulher a alimentar bebé: tipo de pele 5, mãe, pessoa, tipo de pele 5
👩🏿‍🍼	alimentar, amamentação, bebé, mulher, mulher a alimentar bebé, mulher a alimentar bebé: tipo de pele 6, mãe, pessoa, tipo de pele 6
👨‍🍼	alimentar, amamentação, bebé, homem, homem a alimentar bebé, pessoa
